baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,a2p85,foot_left_mass,0.1,foot_left_mass_0p1,5,-372.4703632798441,1578.9709743929848,-478.74833779894686,2163.293576165065,-489.577727930062,2003.464604297463
vanilla,a2p85,foot_left_mass,0.2,foot_left_mass_0p2,5,-73.84069578272465,1668.1005779281409,14.178235356250934,2530.415574487407,-71.07148813889371,2246.8099857894053
vanilla,a2p85,foot_left_mass,0.3,foot_left_mass_0p3,5,-185.54052967507187,1719.6341624521167,-391.7761343299996,2818.399182793469,-425.8130388577245,2450.946029642102
vanilla,a2p85,foot_left_mass,0.4,foot_left_mass_0p4,5,-247.41205316273758,1717.3070711529738,-343.7488014092105,2633.0052694169667,-346.6819311286109,2371.844171858161
vanilla,a2p85,foot_left_mass,0.5,foot_left_mass_0p5,5,-36.722824883311475,1441.8072291237734,-86.75134045582573,2232.9852023393587,-170.20537347529245,1925.6894071224426
vanilla,a2p85,foot_left_mass,0.6,foot_left_mass_0p6,5,137.66331290472655,1235.1630200706697,166.68947661888825,2016.6079848395407,72.64513046538582,1835.814884351627
vanilla,a2p85,foot_left_mass,0.7,foot_left_mass_0p7,5,-190.9546189250812,961.9403222216138,-282.9720140158458,1656.5428768330275,-375.01907664690964,1387.4051587249332
vanilla,a2p85,foot_left_mass,0.8,foot_left_mass_0p8,5,-613.4257909601768,652.3159055982551,-1070.5452249622642,1190.9105573199956,-979.7451092033131,1055.5436062699655
vanilla,a2p85,foot_left_mass,0.9,foot_left_mass_0p9,5,-339.2304445749656,210.6006756495762,-676.8676680250749,560.8424387811685,-582.7716190283622,459.49393249183987
vanilla,a2p85,foot_left_mass,1.0,foot_left_mass_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a2p85,foot_left_mass,1.1,foot_left_mass_1p1,5,-287.08079672927477,455.9145347784906,-417.3328947388901,944.8028160710895,-428.49456859709926,591.2121691606478
vanilla,a2p85,foot_left_mass,1.3,foot_left_mass_1p3,5,421.86868983800684,333.08160901166553,711.0104267711826,533.3542486248227,575.4799188988436,435.8444732384714
vanilla,a2p85,foot_left_mass,1.5,foot_left_mass_1p5,5,442.73768172327146,249.84597874349572,660.8138013682122,479.71587045766944,540.438337217944,357.4679011632459
vanilla,a2p85,foot_left_mass,1.7,foot_left_mass_1p7,5,577.8404459029409,501.6411890087848,668.038550850776,532.1141309805878,537.2717163371419,509.3357617071718
vanilla,a2p85,foot_left_mass,2.0,foot_left_mass_2,5,479.07145935464905,65.52175910242288,397.6019800531987,610.487266819444,431.3194085870808,367.8109930099411
vanilla,a2p85,leg_left_mass,0.1,leg_left_mass_0p1,5,701.5869054151974,708.915346727902,968.3645403006507,1243.1086508402047,886.3644495719309,1187.5867217401458
vanilla,a2p85,leg_left_mass,0.2,leg_left_mass_0p2,5,152.19222519293643,761.855835527992,255.11162767867836,1348.4790298946655,205.6601259962353,1163.3602612132443
vanilla,a2p85,leg_left_mass,0.3,leg_left_mass_0p3,5,188.6093207524096,587.619401209404,318.68910137527433,829.9963011514907,314.1120731774787,844.4913711970968
vanilla,a2p85,leg_left_mass,0.4,leg_left_mass_0p4,5,33.15252175052187,532.9507374113418,241.27901439195458,499.4664427563521,160.9481387962293,725.0365202322188
vanilla,a2p85,leg_left_mass,0.5,leg_left_mass_0p5,5,-63.41325255596016,366.3684476536444,106.79018312548222,424.9524270496875,2.1099836702463106,453.9159296443502
vanilla,a2p85,leg_left_mass,0.6,leg_left_mass_0p6,5,-269.1961883664665,246.80148986699368,-41.53119627854956,448.26839221283853,-268.7713718300566,381.3892249330619
vanilla,a2p85,leg_left_mass,0.7,leg_left_mass_0p7,5,-45.460753474292595,393.48575279351707,21.738125455143017,819.1731038651234,42.11560827933126,552.2068394513079
vanilla,a2p85,leg_left_mass,0.8,leg_left_mass_0p8,5,-394.0391212574382,238.94792170974725,-310.34775551840596,735.0087596205179,-440.83178754862973,355.4165056806372
vanilla,a2p85,leg_left_mass,0.9,leg_left_mass_0p9,5,-348.4278016123095,242.59096375781814,-609.4090555764315,584.8198878507578,-585.7158713302315,236.42792203985226
vanilla,a2p85,leg_left_mass,1.0,leg_left_mass_1,5,0.0,0.0,0.0,0.0,0.0,0.0
