axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
foot_left_actuator_gain,vanilla,2853.122297730507,509.92938258808186,0.0,0.0,0,0
foot_left_actuator_gain,a2p85,2240.009544132341,1055.0719573492966,559.8972378668902,1121.412119674605,12,15
foot_left_actuator_gain,a2p95,2857.789699467195,870.4187547689129,-33.84488290625479,1137.6629154682314,8,15
foot_left_actuator_gain,a3p00,2910.9508376438707,325.50076364643365,219.28079381266969,920.8803057995066,9,15
foot_left_damping,vanilla,2975.667956541872,570.9792725734898,0.0,0.0,0,0
foot_left_damping,a2p85,2016.93653518999,910.3195754769127,256.93275171553256,339.68161533598044,15,15
foot_left_damping,a2p95,2951.4953716453265,933.5058371046156,114.94342896127978,346.4737810830976,13,15
foot_left_damping,a3p00,2679.1943189532676,329.07436629053444,161.98738260583414,334.7254612698526,12,15
foot_left_friction,vanilla,2822.3634462118825,701.1887043892099,0.0,0.0,0,0
foot_left_friction,a2p85,2017.2122491835703,859.700740396877,712.6635084953385,840.760982647999,12,15
foot_left_friction,a2p95,3057.385047143987,924.0163391654677,316.39382783636114,1084.3009228228404,14,15
foot_left_friction,a3p00,2559.157758774109,296.6360087362887,723.0890069821006,1178.7225372433725,14,15
leg_left_actuator_gain,vanilla,2898.9370692612006,601.1577216895129,0.0,0.0,0,0
leg_left_actuator_gain,a2p85,2038.1957207391988,870.5669710732855,540.9890676970023,751.7499030695067,15,15
leg_left_actuator_gain,a2p95,2929.6956623018536,828.0142223607891,182.09712107291227,1158.754884208839,13,15
leg_left_actuator_gain,a3p00,2752.0145827072506,336.1579917102481,304.7775048580091,831.3224319352555,13,15
leg_left_damping,vanilla,2763.5841509565885,609.1618991849028,0.0,0.0,0,0
leg_left_damping,a2p85,2177.0567067819175,1084.4451169860793,-111.97538080271846,355.3002739881278,2,15
leg_left_damping,a2p95,2716.6756075926523,650.8353633685541,120.0047450321644,459.6696460887313,12,15
leg_left_damping,a3p00,2646.10806531271,289.49240310898205,-73.15148952284297,436.6576585930886,6,15
thigh_left_actuator_gain,vanilla,2816.2512819070994,537.6519266074802,0.0,0.0,0,0
thigh_left_actuator_gain,a2p85,2037.9252216489738,887.3311803113493,164.3129140954338,791.8456771702918,8,15
thigh_left_actuator_gain,a2p95,2897.248978592065,893.737190870284,-453.67091479497645,1254.4582418128964,0,15
thigh_left_actuator_gain,a3p00,2500.1760812072275,197.95932852353081,351.79780518823026,848.9868176115758,13,15
thigh_left_damping,vanilla,2795.414180176618,446.9992882522289,0.0,0.0,0,0
thigh_left_damping,a2p85,2217.12825644199,1078.167818827396,-99.80961306910952,426.14001768073985,2,15
thigh_left_damping,a2p95,2988.845935364808,904.6665649625064,-87.39118764629453,317.74069057758305,4,15
thigh_left_damping,a3p00,2430.0237970959934,450.0749970295812,257.9192431713523,552.231216680316,14,15
thigh_left_damping,a3p05,2553.6077713407967,732.5296509974308,195.7519948674718,432.1030852352577,14,15
