model_label,axis,factor,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95,seed_iqm_of_mean_return
a2p85,foot_left_actuator_gain,0.0,foot_left_actuator_gain_0,5,513.1208324486932,197.18310877734345,603.9007855031467,310.2198736371647,538.9850340218716,233.21237525924332,527.4057747382365
a2p85,foot_left_actuator_gain,0.1,foot_left_actuator_gain_0p1,5,343.99027164609987,73.04105012007233,340.0433186724638,78.15870590709824,340.9666102980821,76.82518529980433,356.6468043170126
a2p85,foot_left_actuator_gain,0.2,foot_left_actuator_gain_0p2,5,369.8011185188463,48.52485709952043,378.24498716875456,48.19903909377587,375.4064842723475,47.14776437967865,377.54802211817133
a2p85,foot_left_actuator_gain,0.3,foot_left_actuator_gain_0p3,5,386.97406932374355,50.37091768812421,390.96154352230735,46.433875600747605,391.5709116669567,45.654076284429756,401.7235574711356
a2p85,foot_left_actuator_gain,0.4,foot_left_actuator_gain_0p4,5,423.43858689961473,57.42693878230081,403.12778292637984,44.310317536199115,401.9936177701174,43.66718919433084,428.04414624637576
a2p85,foot_left_actuator_gain,0.5,foot_left_actuator_gain_0p5,5,634.4644710890194,419.95697668664485,530.7315584762708,230.09953928216163,567.3341467753487,304.08237402365387,433.18657638406535
a2p85,foot_left_actuator_gain,0.6,foot_left_actuator_gain_0p6,5,812.7576644438628,665.1992427803701,815.6085202572253,639.29830293564,793.7959815431745,614.8751514193779,487.4410186267019
a2p85,foot_left_actuator_gain,0.7,foot_left_actuator_gain_0p7,5,866.0446550253967,575.2451065400012,871.5677707841099,642.3955693542705,867.6855414308262,618.6531062078017,617.9296222775359
a2p85,foot_left_actuator_gain,0.8,foot_left_actuator_gain_0p8,5,1186.0320619608842,733.8103811290438,1127.0023025192115,682.9237144047112,1121.4315057479762,669.6378574932556,1008.7273861230369
a2p85,foot_left_actuator_gain,0.9,foot_left_actuator_gain_0p9,5,1697.688174337873,1004.5261026737954,1735.9787960187464,1113.5856756497492,1707.994500523159,1090.9219583400982,1546.231138370417
a2p85,foot_left_actuator_gain,1.0,foot_left_actuator_gain_1,5,2240.009544132341,1055.0719573492966,2325.6387899441565,1223.8630195427625,2332.416032029562,1232.2572522756084,2179.9065835158585
a2p85,foot_left_actuator_gain,1.1,foot_left_actuator_gain_1p1,5,2373.7779640061244,973.5164882417829,2500.7518956310846,1151.1979961334625,2496.003244229965,1143.7915056869178,2289.9204941088715
a2p85,foot_left_actuator_gain,1.3,foot_left_actuator_gain_1p3,5,2061.1678979516378,950.5387504075256,2162.3019822474257,1120.5887561611185,2124.9580026301055,1102.5074322803544,1974.1444436969207
a2p85,foot_left_actuator_gain,1.5,foot_left_actuator_gain_1p5,5,1860.718945122544,967.1244598410875,1813.3257084779157,1174.4154437799048,1846.5347538396334,1137.7341529490118,1695.795108742036
a2p85,foot_left_actuator_gain,1.7,foot_left_actuator_gain_1p7,5,1834.4402158697376,1115.2430112836641,1865.6276973659383,1263.0624901856456,1853.880411862515,1236.9122892850467,1645.667407337741
a2p85,foot_left_actuator_gain,2.0,foot_left_actuator_gain_2,5,1419.4766122555295,938.0233666131878,1402.681212446051,934.9603197668814,1430.3721893140473,948.0625099880052,1321.866674864168
a2p85,foot_left_damping,0.0,foot_left_damping_0,5,2082.195611011244,915.6738666752935,2155.179288635699,1148.5809958389457,2171.8066636640965,1117.9176513582486,1966.2461315432895
a2p85,foot_left_damping,0.1,foot_left_damping_0p1,5,2080.188276837232,1048.3730886414075,2093.2742650836863,1215.7121233065736,2124.921824798844,1207.5170775282968,1888.5590568527196
a2p85,foot_left_damping,0.2,foot_left_damping_0p2,5,2224.097163505819,1031.5250706801096,2377.5214387893934,1291.3818718100788,2388.433772848615,1255.4034724361516,2225.991369462121
a2p85,foot_left_damping,0.3,foot_left_damping_0p3,5,2217.592636146489,967.7110670454771,2360.3016719785514,1180.7331493530148,2373.3329595775713,1174.1994144736818,2285.5196470910464
a2p85,foot_left_damping,0.4,foot_left_damping_0p4,5,2112.874820009082,961.0913422235074,2197.4941732336747,1200.2922308770162,2189.097865285825,1065.0325634384803,2156.155392110638
a2p85,foot_left_damping,0.5,foot_left_damping_0p5,5,2080.576977814263,975.1503685554384,2021.3837601843509,1155.0053209948394,2094.6877423652977,1140.7178729143036,1924.9016551866898
a2p85,foot_left_damping,0.6,foot_left_damping_0p6,5,2209.7121196456264,997.154907032835,2372.505338417863,1226.2406312376643,2385.7377193369553,1179.3222430470007,2310.8296558360603
a2p85,foot_left_damping,0.7,foot_left_damping_0p7,5,2105.031769866694,966.290015457221,2299.3255427153363,1203.503834224875,2200.0304412666223,1116.437714021397,2063.5037816373806
a2p85,foot_left_damping,0.8,foot_left_damping_0p8,5,2130.8622466227525,1025.1775191859244,2105.3947001509814,1213.5547944123173,2187.026149704593,1205.062000025109,2025.0095358251301
a2p85,foot_left_damping,0.9,foot_left_damping_0p9,5,2032.4766313478267,895.3339417315239,2147.8353749322646,1165.3783283289367,2086.821804689611,1047.8774564475534,2015.6424468135
a2p85,foot_left_damping,1.0,foot_left_damping_1,5,2016.93653518999,910.3195754769127,2037.7450591260156,1121.7784377799303,2068.715335604218,1060.9646164432875,1983.6572566104514
a2p85,foot_left_damping,1.1,foot_left_damping_1p1,5,2296.7870901215524,1160.2496930945858,2401.276528786667,1278.8621560391027,2419.857013754383,1279.6386928258926,2225.208372177782
a2p85,foot_left_damping,1.3,foot_left_damping_1p3,5,2077.1709806439558,953.0111372292182,2231.705378178888,1262.1983049203225,2166.2073022066043,1127.6101470298804,2051.585684678079
a2p85,foot_left_damping,1.5,foot_left_damping_1p5,5,2157.5334916919537,992.8595688713252,2471.848051135103,1289.2346157394595,2345.9079952634247,1187.0732952674564,2188.1756970723964
a2p85,foot_left_damping,1.7,foot_left_damping_1p7,5,2108.985717077116,956.6970817719247,2117.0287174235254,1214.320953004276,2138.5846906081524,1169.7210860388122,2025.9921280657443
a2p85,foot_left_damping,2.0,foot_left_damping_2,5,2044.3355172111756,1033.0132389903158,1990.8435961139899,1209.5206742950652,2028.6343438621018,1198.8068819322357,1857.1213484429636
a2p85,foot_left_friction,0.0,foot_left_friction_0,5,1151.2741439403585,761.4612651652446,1047.7041060262654,673.5695998648706,1058.7831527861258,705.2077957008883,970.916053699577
a2p85,foot_left_friction,0.1,foot_left_friction_0p1,5,1179.7707498173675,734.7554159932739,1014.16446231271,878.9724893823054,1087.5051843159215,780.7500671420574,949.3456615784044
a2p85,foot_left_friction,0.2,foot_left_friction_0p2,5,1147.2033932291822,706.5153480827212,925.2398595032446,591.9345816392356,987.3033130860003,623.8447694164593,971.5597055691228
a2p85,foot_left_friction,0.3,foot_left_friction_0p3,5,1297.5702063542453,909.8342636707671,1376.5623137680554,1019.6600706099731,1349.8241289619093,965.6671405135062,1195.291863044359
a2p85,foot_left_friction,0.4,foot_left_friction_0p4,5,1257.1018671744173,745.6500454667582,1078.223091270099,603.2601145542855,1144.9944722069583,670.5698358368674,1156.9431204104144
a2p85,foot_left_friction,0.5,foot_left_friction_0p5,5,1758.9505688523718,1188.9617182013799,1780.06013527831,1307.4469587770527,1859.9991916918268,1338.9297173939133,1495.040292959379
a2p85,foot_left_friction,0.6,foot_left_friction_0p6,5,1754.7602059586457,1069.5127531694511,1754.8708662791323,1247.8015919741053,1777.8963008249987,1255.550542414313,1465.0678842802074
a2p85,foot_left_friction,0.7,foot_left_friction_0p7,5,1894.3802804213265,1031.1980238379824,2076.820448189695,1366.988417183532,2062.154470067103,1307.6929683358871,1790.7009152459825
a2p85,foot_left_friction,0.8,foot_left_friction_0p8,5,1915.5924383802958,987.4706798269558,2026.7979672604683,1258.9066011918537,2022.6397047519044,1199.496093202831,1827.2563968753047
a2p85,foot_left_friction,0.9,foot_left_friction_0p9,5,2107.9585929596587,1004.0108971161452,2147.313051347318,1233.0878596466653,2184.570849437252,1181.9761878476186,2111.0879493570774
a2p85,foot_left_friction,1.0,foot_left_friction_1,5,2017.2122491835703,859.700740396877,2074.7614105220287,1001.7275483353849,2037.4942759591402,940.9359044236664,2062.9830776749327
