env_id,axis,stress_factor,model_label,baseline_vanilla_nominal_median,catastrophe_threshold,mean_return,median_return,reliability_at_threshold,failure_rate_at_threshold,reliability_auc_0_to_1x_nominal,reliability_auc_0_to_1p25x_nominal,median_delta_vs_same_seed_vanilla,mean_delta_vs_same_seed_vanilla,win_rate_vs_same_seed_vanilla
Walker2d-v4,action_replace,0.5,kle100,2343.194786580756,1171.597393290378,287.7065850815235,287.80064148878307,0.0,1.0,0.12300000000000001,0.0986,88.42942163271266,88.51256094295749,1.0
Walker2d-v4,action_replace,0.5,kle2,2343.194786580756,1171.597393290378,187.88626124482738,206.30641974030868,0.0,1.0,0.0806,0.06420000000000001,-34.2886595053327,-11.307762893738602,0.4
Walker2d-v4,action_replace,0.5,kle20,2343.194786580756,1171.597393290378,208.24968417144183,262.578773130658,0.0,1.0,0.08900000000000001,0.071,15.165371363101201,9.055660032875824,0.6
Walker2d-v4,action_replace,0.5,vanilla,2343.194786580756,1171.597393290378,199.19402413856602,179.7766380272207,0.0,1.0,0.08500000000000002,0.06820000000000001,0.0,0.0,0.0
Walker2d-v4,actuator_gain,0.5,kle100,2410.265435101325,1205.1327175506624,370.7502071040817,388.2878221303524,0.0,1.0,0.1538,0.123,16.235727598176084,24.965024575706003,0.6
Walker2d-v4,actuator_gain,0.5,kle2,2410.265435101325,1205.1327175506624,308.8405399522737,282.88112870979,0.0,1.0,0.1282,0.1022,-50.070626446153824,-36.944642576102,0.2
Walker2d-v4,actuator_gain,0.5,kle20,2410.265435101325,1205.1327175506624,271.4488202134447,320.019310452436,0.0,1.0,0.1148,0.092,-25.086972277513212,-74.33636231493095,0.2
Walker2d-v4,actuator_gain,0.5,vanilla,2410.265435101325,1205.1327175506624,345.7851825283757,365.6335020462299,0.0,1.0,0.1434,0.1146,0.0,0.0,0.0
Walker2d-v4,mass,0.5,kle100,2343.194786580756,1171.597393290378,856.3437943104539,679.2535153859037,0.2,0.8,0.36540000000000006,0.2922,-585.1939216856078,-261.6452055611499,0.2
Walker2d-v4,mass,0.5,kle2,2343.194786580756,1171.597393290378,446.7701408487309,416.7507904686676,0.0,1.0,0.19060000000000002,0.1526,-867.9583526391059,-671.2188590228728,0.0
Walker2d-v4,mass,0.5,kle20,2343.194786580756,1171.597393290378,411.1685106248977,407.9707684903764,0.0,1.0,0.17640000000000006,0.1408,-856.1459482264412,-706.8204892467061,0.4
Walker2d-v4,mass,0.5,vanilla,2343.194786580756,1171.597393290378,1117.988999871604,1264.4474370715116,0.6,0.4,0.47739999999999994,0.38180000000000003,0.0,0.0,0.0
