model_label,axis,factor,scenario_label,n,drop_mean_return_mean,drop_mean_return_ci95,drop_median_return_mean,drop_median_return_ci95,drop_iqm_return_mean,drop_iqm_return_ci95,rel_drop_mean_return_mean,rel_drop_mean_return_ci95
klprho0,action_replace,0.0,action_replace_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
klprho0,action_replace,0.05,action_replace_0p05,30,505.3657337694179,152.0263915538971,181.45107794137968,136.7239864639773,249.77953701890675,139.60971112361145,0.12108627666353895,0.036746680430796604
klprho0,action_replace,0.1,action_replace_0p1,30,1199.9787225735886,281.046945923194,1052.7419357902324,354.0374045649663,1062.1561625413829,330.4832717288542,0.2916776158467307,0.072220206047754
klprho0,action_replace,0.15,action_replace_0p15,30,2063.9081708214467,262.63049641360453,2050.140290320449,363.05119582008933,2107.7563454573647,327.7413849849297,0.49915982042132534,0.06801944539536896
klprho0,action_replace,0.2,action_replace_0p2,30,2748.6651332726005,222.88259069438715,2890.113208483784,293.1698033605277,2849.9102295172765,269.88786117995676,0.6568500904727782,0.05555110820378346
klprho0,action_replace,0.25,action_replace_0p25,30,3294.6050154529667,150.80494943829967,3467.4747969744117,145.39197477278563,3457.2233725208525,151.3419893785841,0.7819619037834874,0.02996649431046029
klprho0,action_replace,0.3,action_replace_0p3,30,3609.0832390426303,147.99561528662966,3785.1806292581177,185.81870174458683,3733.1685051886966,163.09214753496227,0.8545231200351437,0.018710648947177257
klprho0,action_replace,0.35,action_replace_0p35,30,3777.943896914262,175.8442497218391,3895.1992821183553,194.23139958234074,3881.3102799895632,187.39193063766558,0.8920279787884885,0.010478896601184935
klprho0,action_replace,0.4,action_replace_0p4,30,3909.695183891699,185.54908107901844,3979.0812325915176,196.0500931724254,3977.8989503519356,191.15418109663614,0.9225931316168821,0.007980997361864153
klprho0,action_replace,0.45,action_replace_0p45,30,4003.3959249984637,197.9501679872586,4058.05475661815,201.09872375702437,4056.861354964713,197.86498029080815,0.9439785072257157,0.00498626534773149
klprho0,action_replace,0.5,action_replace_0p5,30,4051.587312149653,201.42650085890077,4106.020013400664,202.93872645591992,4110.541419815458,199.90804689025813,0.9553372529113919,0.0053909050980447465
