baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,klprho0,action_replace,0.0,action_replace_0,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,klprho0,action_replace,0.05,action_replace_0p05,30,-225.3024419989698,196.08771096876083,-127.2458154480572,143.63430632139253,-151.3911775646953,156.45395246840647
vanilla,klprho0,action_replace,0.1,action_replace_0p1,30,-24.371192615062153,371.46057650706996,-41.31125747425887,536.5368219909819,-12.905898707062534,493.3059519267961
vanilla,klprho0,action_replace,0.15,action_replace_0p15,30,-42.46409504627306,331.8529762969566,48.46506669630844,469.32261560412803,7.861618376095369,428.18550797451365
vanilla,klprho0,action_replace,0.2,action_replace_0p2,30,-68.2654273992161,299.99779120585407,-62.453557300239616,340.67742565617647,-27.34870440565877,321.5377889380409
vanilla,klprho0,action_replace,0.25,action_replace_0p25,30,-171.45656276196604,225.17894297160515,-190.58653168569387,267.3690115863333,-195.77288868480693,252.7136293730861
vanilla,klprho0,action_replace,0.3,action_replace_0p3,30,-224.27950107299753,232.06473683138645,-247.65136182474845,274.945398382829,-222.88886141535167,248.2482252587004
vanilla,klprho0,action_replace,0.35,action_replace_0p35,30,-222.83730726948477,246.93659990295697,-251.10391923230574,276.6385312174686,-241.15470205030653,266.6499648879787
vanilla,klprho0,action_replace,0.4,action_replace_0p4,30,-272.9960385334529,249.08586442153384,-275.861881921444,266.45981670344565,-274.55466207044105,258.1179670999596
vanilla,klprho0,action_replace,0.45,action_replace_0p45,30,-287.07060325402506,266.8432761844663,-288.3343758612949,275.7014423173667,-279.23976366561897,270.02595359088883
vanilla,klprho0,action_replace,0.5,action_replace_0p5,30,-289.496266410864,275.15318193382103,-270.8723663667843,284.3640837822173,-274.6983429543594,276.215291763241
vanilla,klprho0p05,action_replace,0.0,action_replace_0,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,klprho0p05,action_replace,0.05,action_replace_0p05,30,-84.58302030532244,208.45687013374354,-105.73273062728644,124.77253344483388,-98.85051374544888,152.85606786436773
vanilla,klprho0p05,action_replace,0.1,action_replace_0p1,30,154.96172642997215,398.2900104550692,188.25511359358396,507.3599452085452,172.61148173082648,487.1466820258661
vanilla,klprho0p05,action_replace,0.15,action_replace_0p15,30,238.1480990850446,427.54251774231466,372.150553782637,559.6431174569557,358.50783702098784,541.0571243938538
vanilla,klprho0p05,action_replace,0.2,action_replace_0p2,30,359.5375558962318,402.32470826098495,421.9403195512783,474.71134949135273,452.87731037851995,454.62769198821286
vanilla,klprho0p05,action_replace,0.25,action_replace_0p25,30,387.3500123659753,347.5846406690323,518.0146634235815,428.07860027164384,477.8686771933105,401.20188483424556
vanilla,klprho0p05,action_replace,0.3,action_replace_0p3,30,320.08939262451867,345.0169156509785,425.723877135391,364.5624854476673,397.20792936698234,361.0163027586473
vanilla,klprho0p05,action_replace,0.35,action_replace_0p35,30,308.928086717321,346.0499352089649,348.7913245337872,357.39893908017353,353.02483437332364,352.10799075054365
vanilla,klprho0p05,action_replace,0.4,action_replace_0p4,30,265.66027225691676,354.17369172882485,310.8895932702142,368.5501607470338,300.26243593390143,359.95744993299786
vanilla,klprho0p05,action_replace,0.45,action_replace_0p45,30,266.2166391310664,368.1948395271478,314.12684953744315,372.6206973121201,303.33379690593523,370.29807078692136
vanilla,klprho0p05,action_replace,0.5,action_replace_0p5,30,242.92613719016143,380.04474890945306,321.76411548214594,382.4067678616962,299.9337986299078,378.94077432263833
