axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
friction_damping,vanilla,3955.512840057721,151.22777354148744,0.0,0.0,0,0
friction_damping,klprho0,4131.940741620426,226.62471054240106,-160.04221852743296,363.18292576939325,5,15
friction_damping,klprho0p05,3604.183708057944,385.1747147654972,-45.83986040132183,368.1469144407131,7,15
friction_mass,vanilla,3944.4160371732014,146.2052914843757,0.0,0.0,0,0
friction_mass,klprho0,4131.940741620426,226.62471054240106,-82.43232682332736,321.5228143900594,5,14
friction_mass,klprho0p05,3604.268691708674,381.78725021767815,214.250796539402,378.80884290409404,12,14
friction_mass_damping,vanilla,3955.512840057721,151.22777354148744,0.0,0.0,0,0
friction_mass_damping,klprho0,4131.940741620426,226.62471054240106,-99.08132292327029,322.45281321477114,4,14
friction_mass_damping,klprho0p05,3604.183708057944,385.1747147654972,228.36030663219785,374.5115915354217,12,14
mass_damping,vanilla,3955.512840057721,151.22777354148744,0.0,0.0,0,0
mass_damping,klprho0,4131.940741620426,226.62471054240106,-5.4981009452539515,316.66633886367316,6,14
mass_damping,klprho0p05,3604.183708057944,385.1747147654972,223.6324358590115,376.8350915345148,12,14
