model_label,axis,factor,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95,seed_iqm_of_mean_return
klprho0,friction_damping,0.0,friction_damping_0,30,172.42333851907748,8.89425186525227,173.8535509333336,10.93386878400458,171.29591492775282,10.083191166460693,174.21654279023602
klprho0,friction_damping,0.1,friction_damping_0p1,30,212.86014579784492,18.625406440254952,204.18223124198119,19.11922050848272,204.54484778428207,18.566620243553764,206.8299661090427
klprho0,friction_damping,0.2,friction_damping_0p2,30,504.5583963005947,183.8952384687031,474.9449672651627,241.7307566548303,467.46067040232566,215.85681254664945,341.2285292730142
klprho0,friction_damping,0.3,friction_damping_0p3,30,1444.0450915030087,427.23991375420104,1312.9910836091804,496.61075059764136,1334.8500864053692,457.6843326703222,1150.5377420120728
klprho0,friction_damping,0.4,friction_damping_0p4,30,2337.7945818102658,482.7985728320738,2471.9924466815096,568.4915810956003,2447.234625476559,538.940768920186,2415.105426647627
klprho0,friction_damping,0.5,friction_damping_0p5,30,2936.422270691214,478.70596233728367,2934.295321300297,556.963584703414,2936.868732731433,544.732919979646,3156.1815328546086
klprho0,friction_damping,0.6,friction_damping_0p6,30,3564.976757329731,338.68053750776414,3777.361197594598,365.4215793276436,3703.3727176135703,365.52678715777444,3753.770032679095
klprho0,friction_damping,0.7,friction_damping_0p7,30,3930.501866351887,292.07617943608636,4035.2298018326746,283.8145238758956,4017.596111281804,288.41343568479675,3968.2474013378765
klprho0,friction_damping,0.8,friction_damping_0p8,30,3984.2133757519637,282.2634157316194,4073.1753222626885,278.6775514505319,4065.459817247567,277.74263199750027,4010.1595117680185
klprho0,friction_damping,0.9,friction_damping_0p9,30,4072.7703955965844,233.479861828727,4140.3320217827195,216.53926715748742,4140.326413013806,215.99155320262858,4028.02868080857
klprho0,friction_damping,1.0,friction_damping_1,30,4131.940741620426,226.62471054240106,4182.030415414662,228.91601360511547,4180.875774288766,229.02588788275864,4048.552574258986
klprho0,friction_damping,1.1,friction_damping_1p1,30,4139.870715401079,256.8280111715465,4174.2486156579735,257.1151872924313,4174.485254662538,257.4526034538384,4108.543740838307
klprho0,friction_damping,1.3,friction_damping_1p3,30,4112.72266692753,277.5252187568009,4162.758671544235,272.73527363392145,4157.1889845199685,272.85609167256064,4093.1933180155715
klprho0,friction_damping,1.5,friction_damping_1p5,30,3649.534241638967,458.4356798412004,3720.3469333069106,468.2350823711612,3704.329664119165,470.1581070051518,3968.0630978040367
klprho0,friction_damping,1.7,friction_damping_1p7,30,3431.51763542555,511.4887068819875,3519.6516549555668,529.6558077629348,3503.9319320029417,526.8784978338191,3829.5344315083644
klprho0,friction_damping,2.0,friction_damping_2,30,2746.511672973355,557.1768803791451,2879.7262532155078,612.2168100584279,2847.9757068762283,602.9240078257708,2993.7120347419072
klprho0,friction_mass,0.1,friction_mass_0p1,30,36.17626349228866,11.96101971671967,23.54699619307497,12.66504939399592,26.878104845268926,12.478828805355155,36.27080627574425
klprho0,friction_mass,0.2,friction_mass_0p2,30,150.00070462872785,34.628688866514864,105.4181542039442,22.124128360150355,109.75603459167658,22.288226650209896,143.75443979048666
klprho0,friction_mass,0.3,friction_mass_0p3,30,592.6034237229994,134.80341958038326,283.47897103426715,35.70783564382007,360.45916792677417,95.36904373985953,503.8248353432976
klprho0,friction_mass,0.4,friction_mass_0p4,30,1474.6054826786763,317.088824794352,1301.6560463958963,437.27352914589005,1334.8513512363468,407.6419808291688,1296.469476953847
klprho0,friction_mass,0.5,friction_mass_0p5,30,2506.1642732376317,338.28489227608947,2618.723961190066,471.00021767778816,2624.691428329436,440.553679237479,2488.5429554962443
klprho0,friction_mass,0.6,friction_mass_0p6,30,3153.026546639792,299.89706259596954,3385.545046225165,351.3165523787338,3337.360009226518,329.5025572157334,3178.0231940252856
klprho0,friction_mass,0.7,friction_mass_0p7,30,3667.4102467837643,271.86210359854573,3821.5129632890216,298.42882846973737,3818.2652457812046,288.616672954092,3711.140643511314
klprho0,friction_mass,0.8,friction_mass_0p8,30,3945.917331834406,191.1391066647571,4078.738380276228,199.97114114582936,4061.374010104368,202.1019858057771,3926.156892610104
klprho0,friction_mass,0.9,friction_mass_0p9,30,4105.973014314839,203.59047485543755,4191.491088887648,183.70899857991975,4189.783116680467,184.45396425168593,4010.2194474286794
klprho0,friction_mass,1.0,friction_mass_1,30,4131.940741620426,226.62471054240106,4182.030415414662,228.91601360511547,4180.875774288766,229.02588788275864,4048.552574258986
klprho0,friction_mass,1.1,friction_mass_1p1,30,4048.1851003493452,268.4465077441881,4122.549799908635,275.90679620071484,4108.557796270227,274.4701369714289,4070.302390465032
klprho0,friction_mass,1.3,friction_mass_1p3,30,2373.7509405957944,516.5759631465503,2346.095116081294,581.5957700378209,2399.8659051118216,566.0510661492656,2213.825622758109
klprho0,friction_mass,1.5,friction_mass_1p5,30,1100.674090322422,376.04212370516115,1021.3291731450561,420.8929194594496,1060.6433695422013,413.9363938263023,720.5232403125748
klprho0,friction_mass,1.7,friction_mass_1p7,30,590.8153979505754,244.95745886110376,583.8056349208845,251.0931536762491,584.3690562952332,251.41741804509473,423.61475959145
klprho0,friction_mass,2.0,friction_mass_2,30,313.87925040730005,35.40838202278485,296.5897826557013,26.75891404063672,297.4474109144407,25.86191824489987,313.4187772236943
