baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,klprho0,friction_damping,0.0,friction_damping_0,30,-174.7771978538391,299.112481022797,-182.60234480564864,302.96109482259766,-185.4756898106334,303.52542356114316
vanilla,klprho0,friction_damping,0.1,friction_damping_0p1,30,-170.10288497319272,294.5665207834723,-188.77859566685285,302.64024735058933,-188.2053102190978,302.5595628642791
vanilla,klprho0,friction_damping,0.2,friction_damping_0p2,30,-358.28712860219434,357.857267592195,-405.06814589146217,405.61707883582125,-387.51588868261126,378.42010942469074
vanilla,klprho0,friction_damping,0.3,friction_damping_0p3,30,-685.5297927866338,585.4247086956244,-851.8855667708386,752.9303239315566,-830.7839859529288,682.601743758708
vanilla,klprho0,friction_damping,0.4,friction_damping_0p4,30,-918.5268163553733,587.0359016122952,-1028.644023508639,653.0080081244013,-986.7220135914405,654.0615525761011
vanilla,klprho0,friction_damping,0.5,friction_damping_0p5,30,-575.422857199651,531.608608366734,-764.2487623747642,622.6238192715407,-665.0498396513399,618.7237372913595
vanilla,klprho0,friction_damping,0.6,friction_damping_0p6,30,-336.84583548688556,342.9132053382101,-233.64728765525334,426.9514471668469,-294.3030315885426,409.03400200656483
vanilla,klprho0,friction_damping,0.7,friction_damping_0p7,30,-105.66389977330796,233.25109534130627,-58.39676286397238,251.5382020138066,-82.07214669715945,246.68611069779683
vanilla,klprho0,friction_damping,0.8,friction_damping_0p8,30,-110.97931973359553,203.92624447176598,-60.21724715396293,228.17565851228073,-65.90011312615269,222.5879103664143
vanilla,klprho0,friction_damping,0.9,friction_damping_0p9,30,-25.45737223292975,116.07348673184809,-19.64513256700276,137.90082648866493,-9.528062298291783,120.67139349466606
vanilla,klprho0,friction_damping,1.0,friction_damping_1,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,klprho0,friction_damping,1.1,friction_damping_1p1,30,35.45159212902703,63.96166113220496,0.5282639558765444,45.54590501995027,4.554238754086486,46.05116664176042
vanilla,klprho0,friction_damping,1.3,friction_damping_1p3,30,124.91395077519796,132.49677474993456,66.22221711689812,90.98391497399903,80.57849979483541,105.00824906055014
vanilla,klprho0,friction_damping,1.5,friction_damping_1p5,30,165.07591033388064,451.3344806968295,182.26195754977985,450.26387083730447,165.91478001040747,449.52069000692995
vanilla,klprho0,friction_damping,1.7,friction_damping_1p7,30,332.1082480839124,561.3909267570206,339.8482953098936,567.969732546245,334.65112005008825,568.0064764531598
vanilla,klprho0,friction_damping,2.0,friction_damping_2,30,403.4101257640911,686.7905232486614,490.6204502536181,725.8309788895144,481.27560661983733,726.5772124025526
vanilla,klprho0,friction_mass,0.1,friction_mass_0p1,30,-197.6625842344088,290.60787479211257,-205.92683123938326,294.45374899945045,-207.96248266861093,296.4487751263486
vanilla,klprho0,friction_mass,0.2,friction_mass_0p2,30,-190.41088733181476,279.84291700429,-198.13080630438807,296.19138328581107,-200.2868909665721,297.6088678691754
vanilla,klprho0,friction_mass,0.3,friction_mass_0p3,30,-259.5148254666082,314.2245606953104,-371.78170989091217,342.5342535158332,-341.48809214224906,327.8904174742269
vanilla,klprho0,friction_mass,0.4,friction_mass_0p4,30,-316.46097219446625,376.58882666945993,-462.9482151114898,508.69326149518673,-469.8499583850433,486.9950905638226
vanilla,klprho0,friction_mass,0.5,friction_mass_0p5,30,-104.06124160559632,439.81543965385384,-261.3985341342841,614.3610575531897,-232.09223258109995,556.7270688833287
vanilla,klprho0,friction_mass,0.6,friction_mass_0p6,30,-21.38132039996511,353.52341540057904,-60.27792279507911,459.8598169504823,11.146862702605631,407.37067843461165
vanilla,klprho0,friction_mass,0.7,friction_mass_0p7,30,18.592482178742877,305.2860401650903,46.803496202443824,352.1962970695219,53.511272643371846,339.6672948810794
vanilla,klprho0,friction_mass,0.8,friction_mass_0p8,30,-21.792871480223297,194.24091570326345,44.30128132449225,146.27327401692497,25.018194706874677,160.4062081509524
vanilla,klprho0,friction_mass,0.9,friction_mass_0p9,30,12.421015756064254,125.22658108177335,67.98143758574858,118.3969224699529,64.0750553680901,120.29924852450628
vanilla,klprho0,friction_mass,1.0,friction_mass_1,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,klprho0,friction_mass,1.1,friction_mass_1p1,30,-15.164705807092362,161.78291799208247,-49.20354562440608,125.94881247311076,-49.24555223047638,135.36193780990035
vanilla,klprho0,friction_mass,1.3,friction_mass_1p3,30,99.77166199694754,582.9755553098905,-62.31728786566896,648.1307412966642,45.83556893508983,640.3845127642127
vanilla,klprho0,friction_mass,1.5,friction_mass_1p5,30,4.852500184110416,422.49172795012004,-33.751745879903595,473.1518514104025,3.2812557820072925,454.0265937338231
vanilla,klprho0,friction_mass,1.7,friction_mass_1p7,30,4.952623780527392,348.1927847578149,-2.3452098448173575,348.4927104639341,-6.925345414203321,352.7262404017215
vanilla,klprho0,friction_mass,2.0,friction_mass_2,30,-168.19345090280027,306.5198442851903,-197.00815643933495,316.24905989486143,-199.4151817092507,319.3815789590005
vanilla,klprho0,friction_mass_damping,0.1,friction_mass_damping_0p1,30,-180.3072737700547,288.24904174259564,-186.70703080263598,291.64956020361564,-188.66358698897395,292.47760275596653
