model_label,axis,factor,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95,seed_iqm_of_mean_return
klprho0,action_noise,0.0,action_noise_0,30,4237.02654880978,197.21676704597206,4282.455183283785,189.86913037348637,4282.091880822854,189.92691769047138,4148.576048762623
klprho0,action_noise,0.05,action_noise_0p05,30,4244.247631741563,200.38276528954862,4288.023184975233,189.42243224713005,4279.7953760908695,191.0285079536192,4155.980500521123
klprho0,action_noise,0.1,action_noise_0p1,30,4190.817013310339,226.441267373355,4233.9556774884395,228.13487722550133,4232.928475711405,227.2709338312504,4152.369519452006
klprho0,action_noise,0.2,action_noise_0p2,30,4130.137937002673,246.0687149461681,4196.72818818579,248.55189512296025,4194.779203489448,246.27547290599762,4131.785732795083
klprho0,action_noise,0.3,action_noise_0p3,30,3689.8295783316307,300.9160658269438,3964.5134211654754,314.29744262682874,3912.063540352851,314.36027037826045,3713.7967403279117
klprho0,action_noise,0.5,action_noise_0p5,30,2222.5886984334265,413.8078978789502,2250.1188546541694,492.8411311890153,2293.052408405433,476.2464499589572,2142.3418994981157
klprho0p05,action_noise,0.0,action_noise_0,30,3740.8112194877417,381.9774653941505,3727.5906483039066,401.7101448843615,3735.0654269071624,400.9333472991116,3976.3348995378756
klprho0p05,action_noise,0.05,action_noise_0p05,30,3659.288639598123,386.2524106491746,3710.796748209145,406.7821323181215,3711.317868350821,406.1815792700139,3919.732090982014
klprho0p05,action_noise,0.1,action_noise_0p1,30,3663.8090230880052,374.2309303801946,3710.435005971412,402.05284562559706,3696.5314307681356,392.8384063043849,3894.263294736357
klprho0p05,action_noise,0.2,action_noise_0p2,30,3590.998028949352,396.87130407007015,3639.048006193595,416.1162117843387,3650.9035090649018,409.40655091801176,3848.3231348333475
klprho0p05,action_noise,0.3,action_noise_0p3,30,3330.681875494269,407.21094532140614,3497.2752403862264,432.88401004074973,3465.2092791038044,429.33782878303975,3615.2218839451243
klprho0p05,action_noise,0.5,action_noise_0p5,30,2012.0347636462984,399.2869881584779,2048.681829821894,457.6570557149918,2043.397227910156,440.9762329540719,1931.8641014887369
vanilla,action_noise,0.0,action_noise_0,30,3928.910998120951,137.29067619571873,3994.9350109497655,143.8214793828626,3989.314831037443,140.89389009821846,3899.309541967644
vanilla,action_noise,0.05,action_noise_0p05,30,3930.4441398734093,147.51910652092798,3999.391720468806,142.58887313248056,3974.3848913173283,134.55455234900558,3893.987659920715
vanilla,action_noise,0.1,action_noise_0p1,30,3923.30807435596,147.82755615792422,3987.977040004689,137.49118558779804,3981.2149430921895,136.82641223030296,3892.378185899542
vanilla,action_noise,0.2,action_noise_0p2,30,3844.0536297832346,165.66806480609108,3921.372343061494,175.48719537144677,3911.798389579449,178.54996726879497,3860.6695625102993
vanilla,action_noise,0.3,action_noise_0p3,30,3589.7618454662957,223.37208822460667,3775.5545372573715,243.7846568579223,3734.6481833680746,246.88927808373927,3675.524271236333
vanilla,action_noise,0.5,action_noise_0p5,30,1991.2986991181258,345.84880048716786,1949.2231633940203,404.75193687502764,1992.8271405265202,397.0999290393588,1967.8598930652183
