axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
actuator_gain,vanilla,3955.512840057721,151.22777354148744,0.0,0.0,0,0
actuator_gain,klprho0,4131.940741620426,226.62471054240106,-46.32576506098637,333.67059615791965,4,15
actuator_gain,klprho0p05,3604.183708057944,385.1747147654972,258.7255088137892,378.72387316813655,13,15
damping,vanilla,3955.512840057721,151.22777354148744,0.0,0.0,0,0
damping,klprho0,4134.915666816267,221.20990227050038,19.76222584367527,52.69934286314822,12,15
damping,klprho0p05,3604.183708057944,385.1747147654972,-0.7798539605317253,50.989656904660734,7,15
friction,vanilla,3955.512840057721,151.22777354148744,0.0,0.0,0,0
friction,klprho0,4134.915666816267,221.20990227050038,-178.6005679080696,362.57344553909337,5,15
friction,klprho0p05,3604.183708057944,385.1747147654972,-30.837204104644083,376.2116232285412,9,15
mass,vanilla,3942.8486917045548,146.80004814432118,0.0,0.0,0,0
mass,klprho0,4131.940741620426,226.62471054240106,-2.1683096513174536,317.53989096701315,6,14
mass,klprho0p05,3604.183708057944,385.1747147654972,200.31250768883848,381.9248224051422,11,14
