model_label,axis,factor,scenario_label,n,drop_mean_return_mean,drop_mean_return_ci95,drop_median_return_mean,drop_median_return_ci95,drop_iqm_return_mean,drop_iqm_return_ci95,rel_drop_mean_return_mean,rel_drop_mean_return_ci95
klprho0,actuator_gain,0.0,actuator_gain_0,30,4037.97411290026,226.62567981953916,4089.551573758762,229.01019677331917,4088.2852152115497,229.0285687199088,0.976659084441836,0.0015427976019606773
klprho0,actuator_gain,0.1,actuator_gain_0p1,30,4102.751591812982,228.80555778645214,4152.930416658649,231.50587554567778,4151.742037505514,231.62511016241837,0.9927344243981929,0.0054235347549501205
klprho0,actuator_gain,0.2,actuator_gain_0p2,30,4008.1346538381445,247.0686963252497,4058.3032336828705,250.81572637190482,4057.2559403356613,250.9046043698813,0.9673896467319455,0.012979391867465637
klprho0,actuator_gain,0.3,actuator_gain_0p3,30,3920.2244885202545,246.09571555932735,3970.429550193851,246.96083457175888,3970.555097387431,247.65059746095807,0.9457683644586435,0.012887742851804909
klprho0,actuator_gain,0.4,actuator_gain_0p4,30,3841.490254659412,240.72021132714409,3894.133313038571,242.25381778140368,3892.0705038815167,242.40639103180905,0.9265219432052466,0.011318060464439136
klprho0,actuator_gain,0.5,actuator_gain_0p5,30,3763.926078920146,235.43868786776173,3828.724209279209,244.46435159272716,3828.9268780553202,246.1168918542402,0.907839280225225,0.014140532755676229
klprho0,actuator_gain,0.6,actuator_gain_0p6,30,3393.8556323017906,275.46812835972753,3446.4740176669893,297.051103883781,3447.469159649879,296.3524440948718,0.8294890526963951,0.05543055755761423
klprho0,actuator_gain,0.7,actuator_gain_0p7,30,2605.484352830207,330.06311576727205,2647.9587109438967,375.79199503181314,2666.850143580391,368.86160325046797,0.6470277471316476,0.08524205667053857
klprho0,actuator_gain,0.8,actuator_gain_0p8,30,1396.5825009735568,375.39447709351265,1423.227208467377,431.58635615660154,1412.1590781249863,414.9853446645579,0.35093573448493964,0.09422388281487491
klprho0,actuator_gain,0.9,actuator_gain_0p9,30,252.8326648146593,174.37910603128685,150.34105023520326,173.91811480720034,185.4998268126918,172.08065864312778,0.06485212297032138,0.0442740427663903
klprho0,actuator_gain,1.0,actuator_gain_1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
klprho0,actuator_gain,1.1,actuator_gain_1p1,30,50.626454081421706,73.81400483627206,23.681456409285406,31.850244595904638,21.62030768303092,31.709951202079715,0.012002074385224751,0.01948329826172786
klprho0,actuator_gain,1.3,actuator_gain_1p3,30,302.8689281100742,174.4863909632903,248.3437266556982,175.49558208309742,254.1577168595288,158.654939741203,0.06942571453188567,0.0424970671320234
klprho0,actuator_gain,1.5,actuator_gain_1p5,30,716.8289860222452,298.7116119784662,599.1295089320039,302.85796065857505,630.9471555975583,298.91405033009096,0.16454381501718587,0.06781786300448667
klprho0,actuator_gain,1.7,actuator_gain_1p7,30,1070.3699237600774,320.47407351202133,964.6227494025686,367.2781109722949,995.6890971639162,347.9797587462558,0.2554830566201162,0.07509842702672971
klprho0,actuator_gain,2.0,actuator_gain_2,30,1836.6016617594216,365.4259341254607,1723.0119337212245,444.6440649214728,1801.5600998085104,425.9963041408654,0.4457261321586003,0.08605038592635636
klprho0,damping,0.0,damping_0,30,-24.39420576154363,39.51851512625216,17.023761497698448,22.572367120599985,14.340392695153696,18.74351855863934,-0.005709243934649596,0.010658961004116127
klprho0,damping,0.1,damping_0p1,30,10.284167051551064,40.28031242709126,20.55324349286481,26.764303371112465,7.360973627805197,8.211550192588907,0.001898725261256385,0.010364193836810415
klprho0,damping,0.2,damping_0p2,30,9.343051327542934,40.35503309735811,24.3725976892951,29.716137079276077,17.979290399326132,22.600699919987576,0.0021628159773757526,0.010902933178118957
klprho0,damping,0.3,damping_0p3,30,-24.289920194565774,37.00743059790306,-10.960646197807955,34.53968044879857,-3.0971835189669794,16.948071998870486,-0.007736639456176725,0.00960193839021315
klprho0,damping,0.4,damping_0p4,30,-0.13320619941146106,42.10449020033321,24.214209408390307,38.228945857834034,20.455415883391932,35.39293884371143,0.0003286696031398734,0.011690024040730138
klprho0,damping,0.5,damping_0p5,30,3.8683210222715387,36.31459243600843,17.986089187005653,26.723209886787565,15.533846868496555,27.18790722374812,0.0015562369294086563,0.010708706011309051
