baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,klprho0,actuator_gain,0.0,actuator_gain_0,30,-176.40958981614713,295.46147295727724,-187.88875109699973,298.7335820654816,-187.6485407737677,299.4423631845644
vanilla,klprho0,actuator_gain,0.1,actuator_gain_0p1,30,-175.19952404011926,307.6760259247985,-186.74820351055538,311.41341111759067,-186.4795407594646,312.1011119957144
vanilla,klprho0,actuator_gain,0.2,actuator_gain_0p2,30,-136.70753504017938,339.2614450533966,-140.6041651342943,338.16705924433376,-144.67684760068283,341.8492360483006
vanilla,klprho0,actuator_gain,0.3,actuator_gain_0p3,30,-127.5551666462539,339.6597297950312,-141.1358717957565,341.0114660676795,-140.75622795641374,342.1090596957211
vanilla,klprho0,actuator_gain,0.4,actuator_gain_0p4,30,-124.45266651748811,318.73451777304473,-132.76568315990107,324.5509829560074,-132.5666912129231,325.420593545754
vanilla,klprho0,actuator_gain,0.5,actuator_gain_0p5,30,-124.44710498348111,311.12775201662095,-141.79838019951112,321.7183057109361,-151.20372219839368,324.6138998257393
vanilla,klprho0,actuator_gain,0.6,actuator_gain_0p6,30,114.37169832329957,337.9752654046377,113.25007684599154,351.7430196806559,112.29143374836228,352.8559418048075
vanilla,klprho0,actuator_gain,0.7,actuator_gain_0p7,30,303.62983511019826,369.2713391377665,391.9524319360502,404.8922810084849,347.5151035707387,389.86986161559116
vanilla,klprho0,actuator_gain,0.8,actuator_gain_0p8,30,-110.85015228414743,533.787424596075,-196.55483276152984,632.5663748574343,-143.11257864581916,604.3555230198297
vanilla,klprho0,actuator_gain,0.9,actuator_gain_0p9,30,-101.10173435576475,236.90131685644968,36.22116984220121,332.3577606857626,-30.942495511890062,262.9762684431638
vanilla,klprho0,actuator_gain,1.0,actuator_gain_1,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,klprho0,actuator_gain,1.1,actuator_gain_1p1,30,-11.295311692345786,82.08363948845971,25.092679178384213,40.262188675876985,28.374797297637723,39.471214317676186
vanilla,klprho0,actuator_gain,1.3,actuator_gain_1p3,30,1.4822456316039279,246.9797912621038,25.35449054101573,258.1405112618937,16.902091328881685,239.91276782289577
vanilla,klprho0,actuator_gain,1.5,actuator_gain_1p5,30,-34.55508125133942,401.57877151267445,50.9218788414095,478.76363380699706,11.695469102685184,450.2059119521008
vanilla,klprho0,actuator_gain,1.7,actuator_gain_1p7,30,24.71761549346151,433.729512111195,-59.95808064919385,528.2315099424367,-79.7452988963582,502.94998518340816
vanilla,klprho0,actuator_gain,2.0,actuator_gain_2,30,-16.514003846092685,450.8309384792642,-127.85073597136021,579.9537221928521,-124.9060605943186,552.4298254362766
vanilla,klprho0,damping,0.0,damping_0,30,40.56503724377409,58.36143333847114,-6.597505550915715,23.698009245081654,-1.427213440054811,21.62144708965465
vanilla,klprho0,damping,0.1,damping_0p1,30,-8.61364881222653,46.23524429356293,-10.350493700760929,30.026756417726624,2.7068890583501193,12.77588774585325
vanilla,klprho0,damping,0.2,damping_0p2,30,8.938619682830145,49.99674391413191,-15.90751900524474,31.019289596897664,-8.081562427995125,23.999793898482686
vanilla,klprho0,damping,0.3,damping_0p3,30,48.151819329634144,53.9148683107012,21.770350948580546,36.860711936493374,16.5637220657212,23.080875437554187
vanilla,klprho0,damping,0.4,damping_0p4,30,8.704484618104516,52.05155274660126,-15.782366092375659,39.596321254111324,-9.748713964638705,37.083125650709505
vanilla,klprho0,damping,0.5,damping_0p5,30,-4.543333480600995,38.08152142230891,-13.857811991898522,27.92216629182874,-8.405580687582415,29.055610434140846
vanilla,klprho0,damping,0.6,damping_0p6,30,21.43177246993861,74.15665572297509,-16.06827479632587,55.49432237880325,-10.0986901522989,57.177034772554606
vanilla,klprho0,damping,0.7,damping_0p7,30,32.45590477322665,59.23692166888429,2.549819067696838,16.472972292666228,8.785307814081671,37.40365905568993
