model_label,axis,factor,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95,seed_iqm_of_mean_return
klprho0,actuator_gain,0.0,actuator_gain_0,30,93.96662872016603,0.6893727938887609,92.47884165589987,0.7097887253369363,92.59055907721569,0.6218786516990391,93.8175882648551
klprho0,actuator_gain,0.1,actuator_gain_0p1,30,29.189149807444554,21.77292223816238,29.099998756013168,21.70402846825867,29.133736783250704,21.736304270568166,11.873619786627486
klprho0,actuator_gain,0.2,actuator_gain_0p2,30,123.80608778228198,47.59499556208179,123.72718173179084,48.43382063431828,123.61983395310368,48.39538402017319,96.21710492673823
klprho0,actuator_gain,0.3,actuator_gain_0p3,30,211.71625310017134,46.07183358083016,211.6008652208112,46.94026812252232,210.32067690133454,46.65928641517016,253.80102562308744
klprho0,actuator_gain,0.4,actuator_gain_0p4,30,290.45048696101395,34.77738212192944,287.89710237608955,35.9632526776717,288.8052704072474,35.94247124140627,296.8922303987465
klprho0,actuator_gain,0.5,actuator_gain_0p5,30,368.0146627002793,48.18051675717728,353.30620613545267,40.452895126561415,351.9488962334447,40.78722167867322,349.33658763803913
klprho0,actuator_gain,0.6,actuator_gain_0p6,30,738.0851093186359,302.1640313480595,735.5563977476723,320.97049039892073,733.4066146388863,319.18643945408445,493.4115787275916
klprho0,actuator_gain,0.7,actuator_gain_0p7,30,1526.4563887902186,423.16295665729206,1534.071704470765,476.80527014039563,1514.0256307083737,456.61297528879226,1113.022597372425
klprho0,actuator_gain,0.8,actuator_gain_0p8,30,2735.358240646869,471.27086686775135,2758.8032069472843,536.0156003124521,2768.716696163779,518.9976148603993,2681.131870286
klprho0,actuator_gain,0.9,actuator_gain_0p9,30,3879.1080768057673,299.9922180836812,4031.6893651794585,297.42860231857503,3995.3759474760736,297.5129161986265,3901.2755580293947
klprho0,actuator_gain,1.0,actuator_gain_1,30,4131.940741620426,226.62471054240106,4182.030415414662,228.91601360511547,4180.875774288766,229.02588788275864,4048.552574258986
klprho0,actuator_gain,1.1,actuator_gain_1p1,30,4081.314287539005,239.03092822086543,4158.348959005377,229.5929904250397,4159.255466605734,227.0511189140487,4046.314823427602
klprho0,actuator_gain,1.3,actuator_gain_1p3,30,3829.071813510352,239.316481874767,3933.686688758964,266.78039392429383,3926.7180574292365,251.18582157952372,3921.718956974296
klprho0,actuator_gain,1.5,actuator_gain_1p5,30,3415.111755598182,292.27807997242945,3582.9009064826587,312.4253783027141,3549.9286186912063,302.8255699058706,3555.1956578007303
klprho0,actuator_gain,1.7,actuator_gain_1p7,30,3061.5708178603486,339.6002840226451,3217.4076660120936,399.28801402476455,3185.186677124849,381.5008105763672,3127.116077915163
klprho0,actuator_gain,2.0,actuator_gain_2,30,2295.3390798610044,377.37636319600574,2459.0184816934375,486.96395375460577,2379.315674480255,469.3611632865461,2247.5878504387556
klprho0,damping,0.0,damping_0,30,4159.309872577812,224.0307100795877,4179.7599223229945,229.68704341947668,4183.9877166495335,223.48775822982404,4120.619781166949
klprho0,damping,0.1,damping_0p1,30,4124.631499764716,216.04922563273445,4176.230440327827,231.9982300614218,4190.967135716882,215.30126621746828,4084.3395793422783
klprho0,damping,0.2,damping_0p2,30,4125.572615488725,221.6625299227906,4172.4110861313975,232.23552525658164,4180.34881894536,224.57161199013794,4033.708843778139
klprho0,damping,0.3,damping_0p3,30,4159.205587010833,207.15194265286775,4207.7443300185005,200.23371596047593,4201.425292863654,205.1976096063066,4102.967081948518
klprho0,damping,0.4,damping_0p4,30,4135.048873015679,222.57226882780796,4172.569474412301,239.88742934754967,4177.872693461296,233.91685402170552,4084.958326353554
klprho0,damping,0.5,damping_0p5,30,4131.047345793996,225.12685792689956,4178.7975946336865,233.05390338366482,4182.79426247619,228.73009137531088,4061.696595095638
klprho0,damping,0.6,damping_0p6,30,4141.617227947679,228.1449655684743,4165.924055864885,246.3255110168614,4170.455142652714,242.07395424229378,4090.1132348700435
klprho0,damping,0.7,damping_0p7,30,4144.8458375546825,222.13173346283548,4190.686923892482,222.10952525301389,4187.311932674533,219.97246451898923,4077.832426163317
klprho0,damping,0.8,damping_0p8,30,4173.200061103499,208.90877055614132,4210.410453328891,202.35084759503476,4212.341024782803,200.5246900364006,4089.443269214764
klprho0,damping,0.9,damping_0p9,30,4143.528686651811,228.74035863392436,4182.091837058748,232.94371531083263,4182.415209617802,230.95967215289633,4072.598748673369
klprho0,damping,1.0,damping_1,30,4134.915666816267,221.20990227050038,4196.783683820691,218.26602219916128,4198.328109344688,214.93876797701796,4046.503631399103
klprho0,damping,1.1,damping_1p1,30,4156.294381985136,220.27869399868192,4195.559945307103,216.25706459511795,4191.48667788032,219.74374990829529,4080.5234306074017
klprho0,damping,1.3,damping_1p3,30,4134.226235156323,227.04600072104355,4190.969667286996,223.03087028500434,4183.743172019906,222.56535804188977,4068.3976275902232
