env_id,axis,model_label,comparison,reliability_auc_delta,catastrophe_recovery_area,catastrophe_harm_area,dominance_threshold_fraction,strict_improvement_threshold_fraction,worst_survival_delta,worst_survival_delta_threshold,max_survival_delta,max_survival_delta_threshold
Walker2d-v5,action_noise,klprho0,klprho0_minus_vanilla,0.015350000000000008,0.01621666666666667,0.0008666666666666654,0.900497512437811,0.5422885572139303,-0.01333333333333342,0.84,0.23333333333333334,1.0
Walker2d-v5,action_noise,klprho0p05,klprho0p05_minus_vanilla,-0.06331666666666666,0.0014500000000000014,0.06476666666666667,0.04477611940298507,0.03482587064676617,-0.1200000000000001,0.81,0.07333333333333336,0.995
Walker2d-v5,action_noise,vanilla,vanilla_minus_vanilla,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Walker2d-v5,action_replace,klprho0,klprho0_minus_vanilla,0.02503333333333333,0.02503333333333333,0.0,1.0,0.9850746268656716,0.0,0.0,0.06333333333333335,0.125
Walker2d-v5,action_replace,klprho0p05,klprho0p05_minus_vanilla,0.005541666666666669,0.010416666666666668,0.004874999999999999,0.681592039800995,0.6268656716417911,-0.026666666666666672,0.41500000000000004,0.06333333333333335,0.065
Walker2d-v5,action_replace,vanilla,vanilla_minus_vanilla,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Walker2d-v5,actuator_gain,klprho0,klprho0_minus_vanilla,0.021716666666666662,0.02255,0.0008333333333333346,0.8656716417910447,0.8308457711442786,-0.013333333333333364,0.63,0.07111111111111112,0.98
Walker2d-v5,actuator_gain,klprho0p05,klprho0p05_minus_vanilla,-0.028450000000000003,0.003538888888888886,0.031988888888888886,0.20398009950248755,0.19402985074626866,-0.06444444444444447,0.65,0.04222222222222216,0.08
Walker2d-v5,actuator_gain,vanilla,vanilla_minus_vanilla,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Walker2d-v5,damping,klprho0,klprho0_minus_vanilla,0.006544444444444443,0.011399999999999997,0.004855555555555553,0.7512437810945274,0.208955223880597,-0.033333333333333326,0.71,0.19111111111111112,0.995
Walker2d-v5,damping,klprho0p05,klprho0p05_minus_vanilla,-0.09732777777777778,5.5555555555555965e-06,0.09733333333333331,0.009950248756218905,0.004975124378109453,-0.2666666666666667,0.875,0.0022222222222222365,1.0
Walker2d-v5,damping,vanilla,vanilla_minus_vanilla,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Walker2d-v5,foot_left_actuator_gain,klprho0,klprho0_minus_vanilla,0.053655555555555554,0.05371111111111111,5.555555555555591e-05,0.9800995024875622,0.9552238805970149,-0.004444444444444473,0.035,0.18444444444444447,0.9450000000000001
Walker2d-v5,foot_left_actuator_gain,klprho0p05,klprho0p05_minus_vanilla,0.006227777777777774,0.017355555555555548,0.011127777777777775,0.572139303482587,0.5223880597014925,-0.0733333333333333,0.84,0.08222222222222225,0.9450000000000001
Walker2d-v5,foot_left_actuator_gain,vanilla,vanilla_minus_vanilla,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
