env_id,model_label,threshold,survival,baseline_survival,survival_delta
Walker2d-v5,klprho0,0.0,0.9976349206349207,0.9976349206349207,0.0
Walker2d-v5,klprho0,0.005,0.988984126984127,0.988984126984127,0.0
Walker2d-v5,klprho0,0.01,0.985111111111111,0.985111111111111,0.0
Walker2d-v5,klprho0,0.015,0.9799761904761904,0.9799761904761904,0.0
Walker2d-v5,klprho0,0.02,0.9770238095238095,0.9770238095238095,0.0
Walker2d-v5,klprho0,0.025,0.9721428571428572,0.9721428571428572,0.0
Walker2d-v5,klprho0,0.03,0.9696746031746031,0.9696746031746031,0.0
Walker2d-v5,klprho0,0.035,0.967095238095238,0.967095238095238,0.0
Walker2d-v5,klprho0,0.04,0.9633492063492064,0.9633492063492064,0.0
Walker2d-v5,klprho0,0.045,0.956936507936508,0.956936507936508,0.0
Walker2d-v5,klprho0,0.05,0.9502619047619048,0.9502619047619048,0.0
Walker2d-v5,klprho0,0.055,0.944484126984127,0.944484126984127,0.0
Walker2d-v5,klprho0,0.06,0.9377063492063492,0.9377063492063492,0.0
Walker2d-v5,klprho0,0.065,0.9318015873015874,0.9318015873015874,0.0
Walker2d-v5,klprho0,0.07,0.9256904761904762,0.9256904761904762,0.0
Walker2d-v5,klprho0,0.075,0.918047619047619,0.918047619047619,0.0
Walker2d-v5,klprho0,0.08,0.9113730158730158,0.9113730158730158,0.0
Walker2d-v5,klprho0,0.085,0.9043095238095239,0.9043095238095239,0.0
Walker2d-v5,klprho0,0.09,0.8977619047619048,0.8977619047619048,0.0
Walker2d-v5,klprho0,0.095,0.8913253968253969,0.8913253968253969,0.0
Walker2d-v5,klprho0,0.1,0.885047619047619,0.885047619047619,0.0
Walker2d-v5,klprho0,0.105,0.8794365079365078,0.8794365079365078,0.0
Walker2d-v5,klprho0,0.11,0.8752301587301587,0.8752301587301587,0.0
Walker2d-v5,klprho0,0.115,0.8710000000000001,0.8710000000000001,0.0
Walker2d-v5,klprho0,0.12,0.8667857142857143,0.8667857142857143,0.0
Walker2d-v5,klprho0,0.125,0.8637222222222223,0.8637222222222223,0.0
Walker2d-v5,klprho0,0.13,0.8591031746031745,0.8591031746031745,0.0
Walker2d-v5,klprho0,0.135,0.8554841269841269,0.8554841269841269,0.0
Walker2d-v5,klprho0,0.14,0.8522460317460319,0.8522460317460319,0.0
Walker2d-v5,klprho0,0.145,0.8491031746031746,0.8491031746031746,0.0
Walker2d-v5,klprho0,0.15,0.8464126984126985,0.8464126984126985,0.0
Walker2d-v5,klprho0,0.155,0.8437539682539683,0.8437539682539683,0.0
Walker2d-v5,klprho0,0.16,0.8411349206349206,0.8411349206349206,0.0
Walker2d-v5,klprho0,0.165,0.8391904761904762,0.8391904761904762,0.0
Walker2d-v5,klprho0,0.17,0.8365634920634921,0.8365634920634921,0.0
Walker2d-v5,klprho0,0.17500000000000002,0.8342698412698413,0.8342698412698413,0.0
Walker2d-v5,klprho0,0.18,0.8323174603174603,0.8323174603174603,0.0
Walker2d-v5,klprho0,0.185,0.830642857142857,0.830642857142857,0.0
Walker2d-v5,klprho0,0.19,0.8286587301587302,0.8286587301587302,0.0
Walker2d-v5,klprho0,0.195,0.8263730158730158,0.8263730158730158,0.0
Walker2d-v5,klprho0,0.2,0.8248095238095239,0.8248095238095239,0.0
Walker2d-v5,klprho0,0.20500000000000002,0.8227063492063491,0.8227063492063491,0.0
Walker2d-v5,klprho0,0.21,0.8201031746031745,0.8201031746031745,0.0
Walker2d-v5,klprho0,0.215,0.8183412698412699,0.8183412698412699,0.0
Walker2d-v5,klprho0,0.22,0.8161666666666667,0.8161666666666667,0.0
Walker2d-v5,klprho0,0.225,0.8131031746031747,0.8131031746031747,0.0
Walker2d-v5,klprho0,0.23,0.8120873015873016,0.8120873015873016,0.0
Walker2d-v5,klprho0,0.23500000000000001,0.8103412698412699,0.8103412698412699,0.0
Walker2d-v5,klprho0,0.24,0.8083571428571428,0.8083571428571428,0.0
Walker2d-v5,klprho0,0.245,0.8070158730158731,0.8070158730158731,0.0
Walker2d-v5,klprho0,0.25,0.8058809523809524,0.8058809523809524,0.0
Walker2d-v5,klprho0,0.255,0.8042539682539683,0.8042539682539683,0.0
Walker2d-v5,klprho0,0.26,0.802452380952381,0.802452380952381,0.0
Walker2d-v5,klprho0,0.265,0.8004603174603174,0.8004603174603174,0.0
Walker2d-v5,klprho0,0.27,0.7991904761904762,0.7991904761904762,0.0
Walker2d-v5,klprho0,0.275,0.7983492063492064,0.7983492063492064,0.0
Walker2d-v5,klprho0,0.28,0.7961190476190476,0.7961190476190476,0.0
Walker2d-v5,klprho0,0.28500000000000003,0.7948095238095239,0.7948095238095239,0.0
Walker2d-v5,klprho0,0.29,0.7928730158730158,0.7928730158730158,0.0
Walker2d-v5,klprho0,0.295,0.7919444444444445,0.7919444444444445,0.0
Walker2d-v5,klprho0,0.3,0.7900793650793652,0.7900793650793652,0.0
Walker2d-v5,klprho0,0.305,0.7889444444444444,0.7889444444444444,0.0
Walker2d-v5,klprho0,0.31,0.7873015873015874,0.7873015873015874,0.0
Walker2d-v5,klprho0,0.315,0.7857222222222222,0.7857222222222222,0.0
