seed,vanilla_nominal,best_menu_model,best_menu_gain,fixed_gain,group
6,3928.419527430799,klprho0,499.3857248877505,84.72049569116166,middle
7,3723.172279496665,klprho0,618.0341832197521,-1638.6576633580064,weak vanilla
8,2991.251331358844,klprho0,1092.5331326086045,212.49165131091604,weak vanilla
9,3653.3732732049207,klprho0,129.94257903515245,-193.01159694871876,weak vanilla
10,4436.511755220217,klprho0p05,-445.9060241060413,-445.9060241060413,elite vanilla
11,4118.410407173921,klprho0,-9.098594237736052,-381.3107808789043,elite vanilla
12,3824.535018304598,klprho0,1494.7460109254241,326.2411618060603,middle
13,4161.377852903634,klprho0,-466.6201412207449,-1235.4550330777056,elite vanilla
14,3934.0124709917923,klprho0,751.0993803966778,479.55816098822265,middle
15,3559.6960887253736,klprho0,692.4651201204094,49.36645093939683,weak vanilla
16,3730.168073256283,klprho0,425.6889639743765,-12.097018745304467,weak vanilla
17,3655.286214083015,klprho0p05,25.90887461121065,25.90887461121065,weak vanilla
18,4765.816373141467,klprho0,-564.0798540988621,-588.9512305329097,elite vanilla
19,3458.9430408017965,klprho0,227.1612160574532,-1104.8911053178786,weak vanilla
20,4111.053217409834,klprho0,116.58917744102723,-1094.09536303315,elite vanilla
21,3832.049901846914,klprho0,311.68939447996354,-930.6104245167378,middle
22,4085.8066288547193,klprho0,503.96391708799956,360.4489804110731,middle
23,3857.781103765372,klprho0p05,333.15641514299114,333.15641514299114,middle
24,3449.6090526537214,klprho0,98.46377449510555,-115.2080516852252,weak vanilla
25,4620.357199572057,klprho0p05,1453.517566514829,1453.517566514829,elite vanilla
26,4356.185690980487,klprho0p05,-180.60479164699927,-180.60479164699927,elite vanilla
27,3492.6592398846224,klprho0p05,733.4341749404327,733.4341749404327,weak vanilla
28,4747.899624479422,klprho0,-811.2204434510422,-1101.955460309973,elite vanilla
29,4093.254965778356,klprho0,-468.53870407456156,-674.4579752913403,middle
30,4037.146049943078,klprho0,429.20872516240183,297.2076091505214,middle
31,3787.4137510411606,klprho0p05,857.5782129858706,857.5782129858706,middle
32,4346.505142734273,klprho0p05,408.21305721023464,408.21305721023464,elite vanilla
33,3683.8331709148174,klprho0,92.06835126830833,14.233660528284418,weak vanilla
34,4162.457459266257,klprho0p05,-352.5921276641943,-352.5921276641943,elite vanilla
35,3821.785678870572,klprho0,889.8013778499108,-107.64699123517289,middle
