baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,klb0p5,action_replace,0.0,action_replace_0,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,klb0p5,action_replace,0.05,action_replace_0p05,5,517.9798883005085,378.5554009280608,314.75542010073076,551.6101714200098,474.735381634329,438.4111997363648
vanilla,klb0p5,action_replace,0.1,action_replace_0p1,5,1024.7851026673593,737.4142207680984,867.0006994161134,913.2488904228505,1022.9142537665812,844.8406529136831
vanilla,klb0p5,action_replace,0.15,action_replace_0p15,5,1238.369787223722,908.120937374292,1184.4231459099703,1175.1056424341232,1274.451974834027,1051.819750370066
vanilla,klb0p5,action_replace,0.2,action_replace_0p2,5,1415.0129100884321,1060.7192287628911,1353.1440862851039,1311.9340726104033,1450.7070699739568,1202.4869109357837
vanilla,klb0p5,action_replace,0.25,action_replace_0p25,5,1593.176440307435,1139.5661279467174,1465.7488570736982,1377.6833808853771,1586.703352029824,1254.9350855876712
vanilla,klb0p5,action_replace,0.3,action_replace_0p3,5,1651.1991686321169,1199.7593830888,1538.4941845214241,1436.1093306155208,1662.9506358279134,1317.218040745256
vanilla,klb0p5,action_replace,0.35,action_replace_0p35,5,1691.1693013761192,1231.1915615329185,1546.462713682842,1408.468355722409,1673.0530770676257,1314.264999929824
vanilla,klb0p5,action_replace,0.4,action_replace_0p4,5,1740.6902681977413,1201.0392425784428,1613.6257384103494,1399.5661776180298,1734.7313282838143,1295.4526690270593
vanilla,klb0p5,action_replace,0.45,action_replace_0p45,5,1742.8642838366347,1185.6092907805494,1592.6436811009385,1337.8674596371827,1711.7224623826273,1261.7702048690044
vanilla,klb0p5,action_replace,0.5,action_replace_0p5,5,1705.7145678478682,1195.371178392073,1548.7951012874503,1374.213562102897,1678.2259823783018,1282.7308983907617
vanilla,klb1,action_replace,0.0,action_replace_0,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,klb1,action_replace,0.05,action_replace_0p05,5,487.96187145614283,364.15049910694074,283.316800113119,569.6510152656175,407.53059197762997,458.1719214454936
vanilla,klb1,action_replace,0.1,action_replace_0p1,5,941.5817176096049,708.8304538098448,768.6162060783784,960.9029529635677,903.6089757300111,835.245963309961
vanilla,klb1,action_replace,0.15,action_replace_0p15,5,1176.0666279854493,839.0705179816871,1131.3614681711272,1167.879776955619,1185.3259115702963,983.1009982246277
vanilla,klb1,action_replace,0.2,action_replace_0p2,5,1338.7520920928441,1007.8200796416509,1319.1764167009792,1325.4651489685568,1355.4226830939588,1171.314054973935
vanilla,klb1,action_replace,0.25,action_replace_0p25,5,1530.6794308039332,1089.1509531743116,1437.9822705220527,1391.5593951860235,1513.1704425080702,1216.830748936508
vanilla,klb1,action_replace,0.3,action_replace_0p3,5,1591.7246564599423,1113.1413320239863,1490.4616612324915,1416.0966483778593,1575.3936592361401,1251.635964990239
vanilla,klb1,action_replace,0.35,action_replace_0p35,5,1608.356736102181,1159.2109488981766,1483.5839188306581,1427.2784544286872,1555.658070100786,1282.1882536009864
vanilla,klb1,action_replace,0.4,action_replace_0p4,5,1670.0970649956078,1143.7775023352424,1550.5106046732024,1412.6731813736515,1623.1223677738162,1263.8605655707327
vanilla,klb1,action_replace,0.45,action_replace_0p45,5,1684.4070793636067,1119.6888080034848,1569.1027948502235,1374.916255614508,1644.3217554178634,1244.5923494113779
