baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,klb0p5,friction_damping,0.0,friction_damping_0,5,1792.2477352371552,1207.2098171656703,1656.9626585969204,1422.7297575733537,1791.5016235612497,1321.5853194510023
vanilla,klb0p5,friction_damping,0.1,friction_damping_0p1,5,1789.7920078032555,1238.3155850852086,1631.236009893159,1444.630956843433,1753.6377290846074,1327.887298003202
vanilla,klb0p5,friction_damping,0.2,friction_damping_0p2,5,1378.6412448646265,849.8372062379544,1391.6243513077277,1255.7627496990426,1515.3130090389177,1139.5848466084303
vanilla,klb0p5,friction_damping,0.3,friction_damping_0p3,5,705.188909133204,757.7792152306793,600.5478187848205,935.4132445639826,727.3457984037362,884.7633880498656
vanilla,klb0p5,friction_damping,0.4,friction_damping_0p4,5,-148.59920844065056,1230.4364612531122,-245.91283661541001,1740.5219000712773,-134.12817333196318,1495.8208522767425
vanilla,klb0p5,friction_damping,0.5,friction_damping_0p5,5,-110.14688914852152,1223.9355297349605,-254.74055197920978,1680.9679305422496,-125.75919588141059,1453.0134623025629
vanilla,klb0p5,friction_damping,0.6,friction_damping_0p6,5,-153.1441981868787,1190.811750661437,-346.22936486261295,1642.777181725615,-237.90330295102632,1386.0578109312976
vanilla,klb0p5,friction_damping,0.7,friction_damping_0p7,5,-349.84836501185515,955.0724543329045,-614.3102922336535,1401.7461949189124,-459.66966752670544,1170.6271282403072
vanilla,klb0p5,friction_damping,0.8,friction_damping_0p8,5,-223.4788181351843,816.303259989138,-441.1345637908806,1598.2666962412836,-352.4661902434075,1308.0339927072034
vanilla,klb0p5,friction_damping,0.9,friction_damping_0p9,5,-243.5204671740018,397.5165662561604,-745.7982239347887,1207.7665259311188,-412.19200782009085,760.5543720690497
vanilla,klb0p5,friction_damping,1.0,friction_damping_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,klb0p5,friction_damping,1.1,friction_damping_1p1,5,136.26744661272522,393.8608776624019,81.22170805417453,231.86492113900823,204.84054082231256,393.1162243799734
vanilla,klb0p5,friction_damping,1.3,friction_damping_1p3,5,741.7890255736165,1144.6474385727888,619.2130946994025,1054.9969541396931,743.3187196977358,1054.2377823429988
vanilla,klb0p5,friction_damping,1.5,friction_damping_1p5,5,1084.758766766655,1094.5574788409021,970.9796694621646,1030.9433972593583,1090.3357082019998,1027.321216038828
vanilla,klb0p5,friction_damping,1.7,friction_damping_1p7,5,1204.5988352942318,1116.5977824227457,1060.3287948136167,1085.0650320835389,1186.6920006429832,1048.6851873624826
vanilla,klb0p5,friction_damping,2.0,friction_damping_2,5,1229.4845687620254,1125.3460900664122,1097.330940694402,1114.3635731803606,1219.5562511080452,1075.2599822949865
vanilla,klb1,friction_damping,0.0,friction_damping_0,5,1654.376432279605,1074.2772617715207,1520.5539796262642,1364.4231183098327,1621.245418812529,1218.5402371356727
vanilla,klb1,friction_damping,0.1,friction_damping_0p1,5,1756.889790610737,1095.931487758514,1625.612879376278,1379.8044630089978,1706.5205366395428,1222.4818719224245
vanilla,klb1,friction_damping,0.2,friction_damping_0p2,5,1382.6801537964857,712.4013217331574,1435.2914567247183,1195.0526192084512,1511.0661488846968,1038.8122780650685
vanilla,klb1,friction_damping,0.3,friction_damping_0p3,5,784.4275340888387,707.9605841164074,669.8591680946712,877.6261688547822,751.1456685534864,863.3655710705299
vanilla,klb1,friction_damping,0.4,friction_damping_0p4,5,-33.49169503812993,1278.682280826812,-101.39023786765324,1777.6605821072428,-7.9372792626228375,1541.857903245014
vanilla,klb1,friction_damping,0.5,friction_damping_0p5,5,-12.24009454408333,1301.2218903521646,-66.75785134939765,1774.7902074292133,-12.272080078637504,1533.24049480732
