model_label,axis,factor,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95,seed_iqm_of_mean_return
klb0p5,action_noise,0.05,action_noise_0p05,5,368.1421890040417,71.3591547625828,348.88391845184856,68.97175282759666,346.5157120152091,71.01885811775584,381.64360251208774
klb0p5,action_noise,0.1,action_noise_0p1,5,342.9270695463968,119.45556457421242,323.0355907879748,112.88608147008235,332.7734485129593,112.70179678102402,312.7906514804459
klb0p5,action_noise,0.2,action_noise_0p2,5,353.7154785242204,76.60983745258075,336.7340516617768,59.01536542917128,337.9493594840355,67.7735351401946,360.88880952042246
klb0p5,action_noise,0.3,action_noise_0p3,5,360.994420977294,73.53406276528875,348.4257320110934,70.26169149330502,347.7983759035179,69.70871231921403,376.2903876810824
klb0p5,action_noise,0.5,action_noise_0p5,5,352.8270176205448,65.24344986204271,344.5928720287126,75.06115103462005,344.74275653039297,69.19024538646369,363.42013464870735
klb1,action_noise,0.05,action_noise_0p05,5,442.70533810223014,150.53324365744777,415.7553344166564,148.69937660201637,452.7219449122582,156.92225009442572,496.7969833351323
klb1,action_noise,0.1,action_noise_0p1,5,413.016978962803,138.94688289716308,394.7940881787907,161.80502681196376,394.98169903247134,160.20481364660458,447.7348529370099
klb1,action_noise,0.2,action_noise_0p2,5,459.55829187930703,159.61060739324463,430.4599276541852,138.32869779654217,452.86407790793885,152.1724869322547,504.5223242145141
klb1,action_noise,0.3,action_noise_0p3,5,424.50943986830515,136.8277948563934,401.14243841949695,147.13699259613415,412.7884665304453,142.5476406969853,468.8043102184286
klb1,action_noise,0.5,action_noise_0p5,5,374.7916550629244,107.64345138013505,367.30566710959675,104.0506582887455,373.27886049741824,109.01998151672692,399.63251480431154
klb10,action_noise,0.05,action_noise_0p05,5,482.8757140655807,91.00135382137466,504.849814947505,157.64085106856507,480.8367569848795,113.32137669936,497.7188172300737
klb10,action_noise,0.1,action_noise_0p1,5,444.1909985478599,98.19392615799217,432.90419552689116,113.80767870505277,423.8343554455082,114.94699608406557,438.9597799956018
klb10,action_noise,0.2,action_noise_0p2,5,477.9052351091292,92.33058645099226,476.7683313723799,94.35664217754842,478.583050505836,98.07969460712557,488.075086780739
klb10,action_noise,0.3,action_noise_0p3,5,487.361195983382,80.81237727064433,500.0034722048696,85.68209137240406,487.40760905326,78.80010166510667,496.37721968780403
klb10,action_noise,0.5,action_noise_0p5,5,424.1734991985365,121.55882057086389,399.71099874125207,163.22327361846004,409.0426695618297,136.79420020118786,451.6141926621187
klb100,action_noise,0.05,action_noise_0p05,5,606.136989235115,146.04698938418358,593.7382507320337,128.26719196496745,600.7582157160456,140.5303312848285,578.9047973718734
klb100,action_noise,0.1,action_noise_0p1,5,581.7479165925499,137.18637760572093,562.6895177854706,129.95564054995097,575.848754815238,138.8584683736922,547.3128954926732
klb100,action_noise,0.2,action_noise_0p2,5,559.9456634418051,142.75618422551346,551.1679239092933,139.28362373661855,554.0556253254501,137.64167475659897,514.7255510514971
klb100,action_noise,0.3,action_noise_0p3,5,527.216103518034,127.77545761340167,530.4267902051384,111.38230378077239,522.5821133989915,118.85552718410196,498.80571994583835
klb100,action_noise,0.5,action_noise_0p5,5,484.1103617892394,87.49707396147106,484.79965672098905,84.31081654429786,482.74172316184786,82.55258670584574,479.8248115077017
klb2,action_noise,0.05,action_noise_0p05,5,765.4386776539326,233.1717742142243,714.6799601689543,344.8365557763298,753.4565656253292,282.8514253192227,783.9687295446529
klb2,action_noise,0.1,action_noise_0p1,5,739.7954275594244,231.31261716976618,729.3412398682506,311.26171252125187,753.7910700107989,276.093843624564,731.3166982260933
klb2,action_noise,0.2,action_noise_0p2,5,737.720138807599,220.7499046480558,764.4303870536521,261.81065205336927,781.6551203461584,219.45346418231512,718.7126665829537
klb2,action_noise,0.3,action_noise_0p3,5,642.4987808721205,269.17137779272,493.0109113840891,427.90514621348206,610.2562005613008,317.16558905047833,594.4217948091426
klb2,action_noise,0.5,action_noise_0p5,5,578.5475741712453,219.38377203800792,491.78158718749853,418.89077251205697,549.4076701480094,310.17705944436364,572.3040284211698
klb20,action_noise,0.05,action_noise_0p05,5,652.0251651781598,254.2330612117526,642.7761351845216,271.0145202434438,643.7772524977104,266.2759415517376,707.9925161249648
klb20,action_noise,0.1,action_noise_0p1,5,653.3818622118208,270.8623337885978,638.8538745230917,269.945515314868,640.9541684400518,269.83365146419453,704.9079279511807
klb20,action_noise,0.2,action_noise_0p2,5,665.4657315824036,256.1980826372712,634.8911456564572,266.05077580289,632.5992260823632,265.4548666450243,704.6153198707635
klb20,action_noise,0.3,action_noise_0p3,5,627.7847900494254,183.34661208418999,557.3802756669968,201.38027878678042,569.7244917875762,203.3396254028873,645.7029739608032
klb20,action_noise,0.5,action_noise_0p5,5,597.0650003252753,116.78236085171808,596.111811330602,122.4681325008509,592.2340824492145,118.49480806010365,624.2928952856572
klb5,action_noise,0.05,action_noise_0p05,5,469.51252418026127,260.077772366549,508.7462653562432,307.1831348483696,462.8000293834555,257.1019057328336,546.0135776205735
klb5,action_noise,0.1,action_noise_0p1,5,485.8720705611278,283.8162657698332,427.31503790348245,262.32131731869816,465.6017567518205,267.03189821508306,534.8393611532441
klb5,action_noise,0.2,action_noise_0p2,5,497.56696292254856,286.2621029662304,534.1584632185546,312.6432588329083,488.7263171594873,271.58254772415086,556.4310296566692
klb5,action_noise,0.3,action_noise_0p3,5,493.3569795876918,280.1787709502446,446.031656405875,255.60771050923407,466.9720707034623,260.47019184508594,556.9676269612754
klb5,action_noise,0.5,action_noise_0p5,5,449.44540826570835,250.2067959818679,453.7517935060935,289.57454550772866,456.6418915258476,289.66276935938276,499.57582035858286
klb50,action_noise,0.05,action_noise_0p05,5,584.4498258272489,148.05164464814803,583.1649046328639,132.04226753513595,579.4426308238662,132.80110117746815,535.3393556427378
klb50,action_noise,0.1,action_noise_0p1,5,640.0430923542207,249.25095114024754,654.7349499245915,266.4453265972432,652.1426902779419,266.31264121344805,531.3356724616893
klb50,action_noise,0.2,action_noise_0p2,5,609.0453217310876,243.60459864489965,605.2966227993589,240.92036497592426,604.3859538312777,237.84328777085693,502.80378043088075
klb50,action_noise,0.3,action_noise_0p3,5,583.4551546467206,227.16183673165338,564.678844301139,191.75770412863832,577.1280932699137,217.84911912510165,481.5198930279623
klb50,action_noise,0.5,action_noise_0p5,5,499.34879484628084,120.64071259999123,484.5537721749991,99.81391582012564,484.4236910464183,99.66650601385493,451.7740642356251
