model_label,axis,factor,scenario_label,n,drop_mean_return_mean,drop_mean_return_ci95,drop_median_return_mean,drop_median_return_ci95,drop_iqm_return_mean,drop_iqm_return_ci95,rel_drop_mean_return_mean,rel_drop_mean_return_ci95
klb0p5,mass,0.1,mass_0p1,5,291.93761966815293,61.60540869153182,287.9180564565562,48.28049420055944,283.97420406237353,53.68740281662352,0.7905306273955663,0.12115116495827992
klb0p5,mass,0.2,mass_0p2,5,215.0637791262186,54.3689959277566,220.71188895477945,64.21560915926833,218.34695559417537,60.51925358781841,0.5772438547058725,0.08110599859732662
klb0p5,mass,0.3,mass_0p3,5,164.78652626730076,17.161742339795143,172.9513557358513,30.531608499513915,169.56341996688008,25.507847601223425,0.45332942027229217,0.06397962570311413
klb0p5,mass,0.4,mass_0p4,5,116.8643358996098,49.50666377114417,121.17966200613864,77.95515477933066,116.98477180299463,64.99142048397441,0.32053028913911047,0.140898612792277
klb0p5,mass,0.5,mass_0p5,5,90.84377555731123,69.99353615717597,99.08347389937835,78.44792785903988,98.87822652629579,66.06775198314548,0.25020564284942,0.21483771761454956
klb0p5,mass,0.6,mass_0p6,5,59.793002168317415,110.59003630941947,73.19574786373228,113.86752192640121,67.16880793517187,103.91310790851502,0.1780618347412771,0.3292016936694655
klb0p5,mass,0.7,mass_0p7,5,62.58110771117258,117.57360026159031,77.56077369181271,91.55446220213132,75.41164809553297,90.13787791738166,0.16013694391920885,0.3591597211664689
klb0p5,mass,0.8,mass_0p8,5,17.29277513967361,91.87827017507492,44.934866541949475,83.8208227558952,37.502897423144695,83.732572090702,0.040882851795227715,0.2667368654370172
klb0p5,mass,0.9,mass_0p9,5,-0.7707490682269793,55.47494836690782,27.759894868878018,66.25519573655362,15.598214219419571,53.6356342201822,-0.001753481681436375,0.16908590160641512
klb0p5,mass,1.0,mass_1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
klb0p5,mass,1.1,mass_1p1,5,-8.166910832065742,37.465958147994336,11.972931138194804,52.9496379049011,-5.332428804837616,40.56068350693042,-0.02763959890157496,0.11737561107173211
klb0p5,mass,1.3,mass_1p3,5,19.051544801243335,58.50861579239936,41.403267370037355,78.5032913598265,28.6228403092526,68.84693527631924,0.05389537188428177,0.17033951264749464
klb0p5,mass,1.5,mass_1p5,5,-1.4783000045750896,32.037066901459816,3.5275169607796557,45.77395142465201,-0.44141868708269383,42.8717705066769,-0.011736027339928963,0.0949862926688546
