baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,klb0p5,mass,0.1,mass_0p1,5,1742.5115800476892,1051.8705321451484,1511.1954813316186,1177.5994722341206,1682.2301215381478,1104.0214467057133
vanilla,klb0p5,mass,0.2,mass_0p2,5,1637.2365179322996,1054.4218600783827,1431.4164833959915,1193.1899827752404,1592.589356123485,1119.100909053589
vanilla,klb0p5,mass,0.3,mass_0p3,5,1487.5189351797721,1014.7407113765597,1328.6529544804155,1108.7835934798532,1465.126990027607,1058.9006855341036
vanilla,klb0p5,mass,0.4,mass_0p4,5,1313.2329294110073,957.3088417147652,1182.7914186032522,1150.998723183265,1310.0923829533517,1064.170329912055
vanilla,klb0p5,mass,0.5,mass_0p5,5,1143.9414821891921,960.1998922091118,901.168684565139,1011.0196031742128,1083.9295735307383,972.4479501218832
vanilla,klb0p5,mass,0.6,mass_0p6,5,887.0793803369343,970.1432906729848,722.8178426939992,1159.027737267063,855.7039517988657,1061.843511354054
vanilla,klb0p5,mass,0.7,mass_0p7,5,439.05035842246707,622.333890522145,461.1576179155536,1038.580362319359,405.7336053623643,716.1133125714767
vanilla,klb0p5,mass,0.8,mass_0p8,5,-37.674463098395634,317.034107944626,-175.98536830237168,331.99325973403546,-141.46350671551937,250.76132872655518
vanilla,klb0p5,mass,0.9,mass_0p9,5,-11.587802129815595,187.35075865109454,-117.2753492946766,391.43330004681803,-82.31915682329459,280.45726984023514
vanilla,klb0p5,mass,1.0,mass_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,klb0p5,mass,1.1,mass_1p1,5,175.64688354224677,285.426249897564,-135.31425135979083,162.9940941079488,56.97418411498919,121.24121184758823
vanilla,klb0p5,mass,1.3,mass_1p3,5,808.3222000294594,657.6264742913835,561.2636287030912,698.4282617705518,735.3164681851389,645.4311127232985
vanilla,klb0p5,mass,1.5,mass_1p5,5,1476.826591249668,1001.6119366945518,1209.5653341706752,1092.0724839151817,1389.5065130394391,1036.1426372210049
