baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,klb0p5,foot_left_mass,0.1,foot_left_mass_0p1,5,978.2899957960663,798.711141128639,816.8367480535918,782.1677508156797,951.2753541243617,814.2202945383052
vanilla,klb0p5,foot_left_mass,0.2,foot_left_mass_0p2,5,666.6281643232096,785.7111064354303,451.7655281431554,773.124585350233,636.752154288196,849.9389881368043
vanilla,klb0p5,foot_left_mass,0.3,foot_left_mass_0p3,5,694.3060305943307,779.6208298310095,380.6573872575824,645.183217861288,576.9889199769216,774.7523714657889
vanilla,klb0p5,foot_left_mass,0.4,foot_left_mass_0p4,5,635.9391825010223,835.7572337624739,368.2421852000715,686.1558144867461,548.7424436111111,823.1679993202506
vanilla,klb0p5,foot_left_mass,0.5,foot_left_mass_0p5,5,696.5883578508622,854.4690474575256,464.96916785139564,730.263953246787,643.6046641271871,848.8703593601515
vanilla,klb0p5,foot_left_mass,0.6,foot_left_mass_0p6,5,628.4676014533113,730.5818189170027,357.491267538982,470.37384335777244,571.2909971664183,683.01014306866
vanilla,klb0p5,foot_left_mass,0.7,foot_left_mass_0p7,5,421.9519943369645,598.3081005936913,199.51424570616618,289.62360408967885,354.00218902566235,491.90636156439507
vanilla,klb0p5,foot_left_mass,0.8,foot_left_mass_0p8,5,301.18743328005075,435.1076630595268,73.25216433842337,179.98269144091242,266.99374912629753,420.5030344323875
vanilla,klb0p5,foot_left_mass,0.9,foot_left_mass_0p9,5,11.455094331334351,430.93405994616376,-148.70132053120074,409.6583192856163,36.182562411335866,564.5912151137604
vanilla,klb0p5,foot_left_mass,1.0,foot_left_mass_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,klb0p5,foot_left_mass,1.1,foot_left_mass_1p1,5,-421.7769435273919,489.6285893548097,-928.7899508020871,1237.121204661644,-665.5598331350083,853.9491483255433
vanilla,klb0p5,foot_left_mass,1.3,foot_left_mass_1p3,5,62.693497382382176,272.62484922360227,-220.95492647439846,290.30595200766226,-49.02981631562843,204.65133161841175
vanilla,klb0p5,foot_left_mass,1.5,foot_left_mass_1p5,5,20.900002182105062,364.4842890328025,-265.6934606502425,221.87165038033874,-79.1862778696589,231.19027762444887
vanilla,klb0p5,foot_left_mass,1.7,foot_left_mass_1p7,5,312.5803911731392,561.576331457047,64.36822805364258,553.3067477080155,251.59883326962608,509.02455921529963
vanilla,klb0p5,foot_left_mass,2.0,foot_left_mass_2,5,513.558498954546,772.6148989875727,277.89887853227424,879.9440452071789,453.34462501859525,789.2690770201503
vanilla,klb0p5,leg_left_mass,0.1,leg_left_mass_0p1,5,-52.27689487764862,904.6142003034078,-488.9247176112235,1546.758431167178,-320.81876673353815,1355.1597251999417
vanilla,klb0p5,leg_left_mass,0.2,leg_left_mass_0p2,5,193.1766775301706,732.9763906302787,-149.17946618616378,1023.4265426967644,95.56455122822751,888.2811465537758
vanilla,klb0p5,leg_left_mass,0.3,leg_left_mass_0p3,5,97.24134473001213,616.1108030760282,8.601862107755142,688.6749883455128,30.91822198900129,711.3404788891027
vanilla,klb0p5,leg_left_mass,0.4,leg_left_mass_0p4,5,217.92069050790192,770.1528001447825,-109.13752469930384,1048.2974608272673,118.07895985493128,918.7863128643429
vanilla,klb0p5,leg_left_mass,0.5,leg_left_mass_0p5,5,85.9593631261046,524.8196471713006,-161.16880010051779,951.3028434799245,46.67373379896121,756.1833751312068
vanilla,klb0p5,leg_left_mass,0.6,leg_left_mass_0p6,5,70.05852787312986,330.2903709366807,130.81189848352602,372.4678497441503,95.97657770792016,460.43325826258246
vanilla,klb0p5,leg_left_mass,0.7,leg_left_mass_0p7,5,-5.080652514917875,191.7382715333975,23.118812965322114,170.57688062597865,3.747783484828034,252.6866188336125
vanilla,klb0p5,leg_left_mass,0.8,leg_left_mass_0p8,5,5.210609082491561,214.0289724579398,47.10240796986601,319.37133577673023,-1.0408101257830082,326.3626839120947
vanilla,klb0p5,leg_left_mass,0.9,leg_left_mass_0p9,5,7.158940045229121,69.09045606923405,-89.07500592698068,256.9960606771667,-54.99439714827847,152.92889796789873
vanilla,klb0p5,leg_left_mass,1.0,leg_left_mass_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,klb0p5,leg_left_mass,1.1,leg_left_mass_1p1,5,-64.93171715092177,189.2195352904732,-206.85832400409672,323.7669222140745,-89.15766454857533,263.0896327899744
vanilla,klb0p5,leg_left_mass,1.3,leg_left_mass_1p3,5,-38.74706438525802,220.2519197582589,-152.8571961812717,370.2767527565203,-62.22911078450947,331.09912782237643
vanilla,klb0p5,leg_left_mass,1.5,leg_left_mass_1p5,5,24.416973835503985,430.816208562657,-229.41175156642439,312.4971185978512,-32.48945152196942,383.7931933801759
vanilla,klb0p5,leg_left_mass,1.7,leg_left_mass_1p7,5,105.16280977802485,434.80483817544393,-216.58269208212351,329.1385961766682,-24.555571979638824,357.4992883195837
vanilla,klb0p5,leg_left_mass,2.0,leg_left_mass_2,5,69.21452442183406,484.44773533704847,-295.61859795482786,273.2402502837694,-74.13439126168416,320.6203121850896
vanilla,klb0p5,thigh_left_mass,0.1,thigh_left_mass_0p1,5,-36.91688920534731,567.1918329191396,-525.4060956869564,1219.4441951570818,-221.73241782629657,715.6190329167765
