axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
foot_left_actuator_gain,vanilla,2099.766793350815,1067.3391977917054,0.0,0.0,0,0
foot_left_actuator_gain,klb0p5,370.4520330445288,58.7305789828168,945.3718384988845,885.688058746883,13,15
foot_left_actuator_gain,klb1,444.65573620782334,154.29671387681472,949.3216310333377,834.4580954773336,14,15
foot_left_actuator_gain,klb2,821.9750414724067,156.40214879375264,874.9284657423331,894.139734579647,12,15
foot_left_actuator_gain,klb5,392.0456164894925,225.6538213134421,1001.7432783124584,984.103257580385,15,15
foot_left_actuator_gain,klb10,486.69034103525576,80.90105560895722,934.1857903164203,888.2899460122022,15,15
foot_left_actuator_gain,klb20,658.8862018261807,265.08873002926657,1038.5131261931247,862.8476534446218,14,15
foot_left_actuator_gain,klb50,584.6075978216747,113.03369499206465,930.38858099397,876.7165099823299,13,15
foot_left_actuator_gain,klb100,596.3818553910754,114.65911158211915,935.1808167315208,911.8167436816072,15,15
foot_left_damping,vanilla,2099.766793350815,1067.3391977917054,0.0,0.0,0,0
foot_left_damping,klb0p5,368.94151974979434,53.520133744540416,-47.448810808067826,173.96345015430015,5,15
foot_left_damping,klb1,444.65573620782334,154.29671387681472,-53.84632552248502,183.32464018685576,3,15
foot_left_damping,klb2,821.9750414724067,156.40214879375264,-86.76221277101398,180.22322661571005,0,15
foot_left_damping,klb5,386.18238889784755,222.61641412735185,-5.086889348778854,180.66180955180369,8,15
foot_left_damping,klb10,486.69034103525576,80.90105560895722,-51.80969911467202,177.1472619468869,3,15
foot_left_damping,klb20,658.8862018261807,265.08873002926657,-30.9716178013462,203.48698289334828,5,15
foot_left_damping,klb50,584.6075978216747,113.03369499206465,-11.391058422994043,206.20803305424198,5,15
foot_left_damping,klb100,603.9759513872974,124.08759294652711,-15.166237673596557,194.78738530695043,7,15
foot_left_friction,vanilla,2151.99080132167,1174.634853132706,0.0,0.0,0,0
foot_left_friction,klb0p5,368.94151974979434,53.520133744540416,355.55676905337987,837.5707702235574,11,15
foot_left_friction,klb1,422.15676451537126,139.57777692572927,396.297319748153,827.6692325575175,12,15
foot_left_friction,klb2,793.3686654096102,158.91758644730118,352.0190213367006,771.0998478592521,10,13
foot_left_friction,klb5,386.18238889784755,222.61641412735185,398.26583672008496,834.3376015286866,12,15
foot_left_friction,klb10,486.69034103525576,80.90105560895722,320.402134292163,824.6619537599327,11,15
foot_left_friction,klb20,658.8862018261807,265.08873002926657,418.0837719928064,815.9328319958506,12,15
foot_left_friction,klb50,584.6075978216747,113.03369499206465,389.42058366195926,799.6564457636507,12,15
foot_left_friction,klb100,603.9759513872974,124.08759294652711,354.52631335919057,835.0011095430679,11,15
leg_left_actuator_gain,vanilla,2151.99080132167,1174.634853132706,0.0,0.0,0,0
leg_left_actuator_gain,klb0p5,368.94151974979434,53.520133744540416,401.79117331319844,813.6924577817925,10,15
leg_left_actuator_gain,klb1,422.15676451537126,139.57777692572927,447.54504182754084,808.3812251684237,10,15
leg_left_actuator_gain,klb2,821.9750414724067,156.40214879375264,261.5790699636615,850.5777273679329,9,15
leg_left_actuator_gain,klb5,386.18238889784755,222.61641412735185,487.75410914977533,901.7882107086668,10,15
leg_left_actuator_gain,klb10,474.71397908789623,93.98484119815383,360.37587151422593,782.119750402459,9,15
leg_left_actuator_gain,klb20,658.8862018261807,265.08873002926657,380.90788633067126,832.2398704658865,9,15
leg_left_actuator_gain,klb50,584.6075978216747,113.03369499206465,424.3724230096324,809.7780301776642,9,15
leg_left_actuator_gain,klb100,603.9759513872974,124.08759294652711,380.90901165156043,811.4751397026608,9,15
leg_left_damping,vanilla,2151.99080132167,1174.634853132706,0.0,0.0,0,0
leg_left_damping,klb0p5,370.4520330445288,58.7305789828168,-45.6631943153336,79.50099000376274,2,15
leg_left_damping,klb1,422.15676451537126,139.57777692572927,-8.542024840932305,87.56153038353797,4,15
leg_left_damping,klb2,821.9750414724067,156.40214879375264,-69.04299057623845,166.80909339053645,0,15
leg_left_damping,klb5,386.18238889784755,222.61641412735185,-13.227168467258073,82.48252709932252,4,15
leg_left_damping,klb10,474.71397908789623,93.98484119815383,-28.736437666664322,74.48739543700545,1,15
leg_left_damping,klb20,669.2794866473723,286.5305163530922,-49.34034630865041,83.14253653162754,1,15
leg_left_damping,klb50,584.6075978216747,113.03369499206465,-14.370842104285382,73.5261206707582,4,15
leg_left_damping,klb100,603.9759513872974,124.08759294652711,-24.178159136555788,71.14144727475538,4,15
thigh_left_actuator_gain,vanilla,2151.99080132167,1174.634853132706,0.0,0.0,0,0
thigh_left_actuator_gain,klb0p5,368.94151974979434,53.520133744540416,460.0180803205539,829.0410460324453,11,15
thigh_left_actuator_gain,klb1,422.15676451537126,139.57777692572927,468.4943148708101,777.2516618840449,11,15
thigh_left_actuator_gain,klb2,793.3686654096102,158.91758644730118,319.7302319416113,872.0841116041702,11,15
thigh_left_actuator_gain,klb5,386.18238889784755,222.61641412735185,538.7584289788307,878.4794981008889,12,15
thigh_left_actuator_gain,klb10,474.71397908789623,93.98484119815383,431.69319850691744,771.7186416486584,10,15
thigh_left_actuator_gain,klb20,669.2794866473723,286.5305163530922,468.656615483098,824.593459371498,12,15
thigh_left_actuator_gain,klb50,584.6075978216747,113.03369499206465,523.1575728417304,812.7368693022028,11,15
thigh_left_actuator_gain,klb100,596.3818553910754,114.65911158211915,432.37613865188916,801.7542310966421,11,15
thigh_left_damping,vanilla,2151.99080132167,1174.634853132706,0.0,0.0,0,0
thigh_left_damping,klb0p5,368.94151974979434,53.520133744540416,-41.776916020790075,86.99505380336049,3,15
thigh_left_damping,klb1,422.15676451537126,139.57777692572927,-8.771969888424133,94.18515927154499,7,15
thigh_left_damping,klb2,821.9750414724067,156.40214879375264,-71.3343596652679,191.28990622791795,1,15
thigh_left_damping,klb5,386.18238889784755,222.61641412735185,-0.8185766021331058,100.62866966709774,7,15
thigh_left_damping,klb10,474.71397908789623,93.98484119815383,-30.6981483149569,98.1354304841279,3,15
thigh_left_damping,klb20,669.2794866473723,286.5305163530922,-33.793733868414876,100.50550527029426,5,15
thigh_left_damping,klb50,584.6075978216747,113.03369499206465,-6.649748293644111,86.23811239809574,8,15
thigh_left_damping,klb100,596.3818553910754,114.65911158211915,-25.775884319763247,91.6808108739961,7,15
