baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,tvc100,action_replace,0.0,action_replace_0,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc100,action_replace,0.05,action_replace_0p05,30,239.42288642052486,136.05994553875206,303.3610128665814,220.80580050430103,272.0755233697783,177.45310466482013
vanilla,tvc100,action_replace,0.1,action_replace_0p1,30,489.59230208008324,216.57738390472005,549.333503473996,285.7128236979823,531.3156248766458,264.26194391401714
vanilla,tvc100,action_replace,0.15,action_replace_0p15,30,614.3511092868382,266.17551252877126,680.1018953891014,328.72587588770875,660.6661150542852,306.8253423965314
vanilla,tvc100,action_replace,0.2,action_replace_0p2,30,701.0145936290772,297.1951999359134,754.3633834598011,341.9252338222629,735.9682928074401,324.34847992901695
vanilla,tvc100,action_replace,0.25,action_replace_0p25,30,762.380073159801,321.500822815943,789.7629511487072,363.69173784570114,774.7172029850175,348.84768658521523
vanilla,tvc100,action_replace,0.3,action_replace_0p3,30,799.4354663790018,323.12159335769576,839.9118657057874,369.0299999652608,821.918405864016,351.3722924455405
vanilla,tvc100,action_replace,0.35,action_replace_0p35,30,832.8654018043125,326.10534656504086,856.6688866639138,367.6503232774756,844.0112219771721,351.60293379725863
vanilla,tvc100,action_replace,0.4,action_replace_0p4,30,861.6948557568569,330.04182522127076,885.7860592717731,369.16276039783673,881.3100985909182,352.9674006999938
vanilla,tvc100,action_replace,0.45,action_replace_0p45,30,875.5510961900303,333.79149454113616,928.7844222837751,377.271121743965,910.1200072619212,357.50928668338224
vanilla,tvc100,action_replace,0.5,action_replace_0p5,30,871.3897372145437,329.2343837590058,937.7458614075283,366.7179598648611,916.7752346466051,350.2450065279278
vanilla,tvc150,action_replace,0.0,action_replace_0,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc150,action_replace,0.05,action_replace_0p05,30,238.34077469212843,136.322247728714,285.8728156037334,216.2305084056418,265.12315904085176,174.66185667371968
vanilla,tvc150,action_replace,0.1,action_replace_0p1,30,458.546907629877,210.47759250528426,518.0214230583522,277.27742928931275,504.10409030481213,258.1207877413357
vanilla,tvc150,action_replace,0.15,action_replace_0p15,30,578.5929184974178,259.87237266170473,638.8858536243152,319.8249109226998,624.7534742858323,299.86584719310054
vanilla,tvc150,action_replace,0.2,action_replace_0p2,30,652.9436550094771,289.36208675091325,700.2736522689612,332.6756132208856,687.0975913976787,316.31300234591447
vanilla,tvc150,action_replace,0.25,action_replace_0p25,30,710.7752443664368,313.8237978310882,740.0715449525773,349.65247527700683,726.7070402057166,338.38431564377726
vanilla,tvc150,action_replace,0.3,action_replace_0p3,30,743.5346781169254,314.17584918783405,785.0702857991166,359.10465594287837,771.6492458874166,343.9731508805696
vanilla,tvc150,action_replace,0.35,action_replace_0p35,30,767.5435350554,316.5584811146181,787.9279923024508,355.77637262035046,778.8703963372112,342.6348759140496
vanilla,tvc150,action_replace,0.4,action_replace_0p4,30,789.3353834874544,318.80576281769686,808.4312422260763,355.92966804965596,805.8714480996382,343.0808367342536
vanilla,tvc150,action_replace,0.45,action_replace_0p45,30,812.596846940758,320.6694267885747,841.7722869330061,362.31878787216584,835.4565165700466,345.44618232887416
vanilla,tvc150,action_replace,0.5,action_replace_0p5,30,806.3658375022234,321.2573475749115,838.4324089900515,366.0292502069464,828.9337980680629,347.9029330076122
vanilla,tvc200,action_replace,0.0,action_replace_0,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc200,action_replace,0.05,action_replace_0p05,30,193.10264259266748,130.2088778164721,250.7877658754839,220.2074495877079,227.1531105079016,173.19444804177752
vanilla,tvc200,action_replace,0.1,action_replace_0p1,30,364.7003200647472,191.7180528721268,431.97219564623566,258.14242601875736,417.4189604826963,233.77826383643688
vanilla,tvc200,action_replace,0.15,action_replace_0p15,30,448.90654502903215,235.66722146708926,530.8123688705957,298.96495053843796,511.3280357925903,273.94891457052
vanilla,tvc200,action_replace,0.2,action_replace_0p2,30,502.35972703575646,269.57224451717013,556.7310216930726,312.79085449852334,539.4874348624218,293.91995177470875
vanilla,tvc200,action_replace,0.25,action_replace_0p25,30,544.132081374652,296.95055719234466,591.6897813412776,335.12257999099234,574.574565946979,319.9186841013392
vanilla,tvc200,action_replace,0.3,action_replace_0p3,30,541.1754485757968,290.59102171436456,600.9584652632858,336.6407530233499,581.8006876685686,318.3483788884784
