model_label,axis,factor,scenario_label,n,drop_mean_return_mean,drop_mean_return_ci95,drop_median_return_mean,drop_median_return_ci95,drop_iqm_return_mean,drop_iqm_return_ci95,rel_drop_mean_return_mean,rel_drop_mean_return_ci95
tvc100,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tvc100,action_noise,0.05,action_noise_0p05,30,1.415907449580961,10.551128303488271,3.4261407666506085,8.854833110994017,3.4439000964103514,8.284985690082177,-0.0009419358484447707,0.022628510509678224
tvc100,action_noise,0.1,action_noise_0p1,30,-0.2057601183396836,14.316532598542166,1.8652878130977077,17.652677094410777,-0.7159988720571656,12.895903995193972,-0.0010157228136385389,0.026645258646649586
tvc100,action_noise,0.2,action_noise_0p2,30,6.416912897856523,12.98955556869643,12.934048499463891,14.11669539061718,7.767772683366174,11.395240392740567,0.014095693273244543,0.028789032523640387
tvc100,action_noise,0.3,action_noise_0p3,30,11.074172249028189,15.214627178989799,18.89685160469312,19.569077398777566,15.64238276282716,15.658385190131854,0.014827856736857508,0.035713205597389955
tvc100,action_noise,0.5,action_noise_0p5,30,45.1089414676971,26.65995333547434,41.47371734659388,27.353172315167555,40.50794488518521,25.030808349025527,0.08314958093013772,0.04682905644900777
tvc150,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tvc150,action_noise,0.05,action_noise_0p05,30,-8.245530287543112,13.196022334567154,-6.027813652534343,11.282562038187436,-5.189565059232281,11.360201225511432,-0.017896898003844388,0.027198561053239655
tvc150,action_noise,0.1,action_noise_0p1,30,-1.6195387929094958,16.908666308198743,-3.8708585226137586,19.706640662953554,-2.85117028640459,19.92095959950698,-0.0005803732031081477,0.033306111982230345
tvc150,action_noise,0.2,action_noise_0p2,30,20.360760986834315,17.11688323940384,18.55943061060215,18.24282452346195,16.927140769077724,19.54705369216443,0.03654673469194572,0.038437134828216736
tvc150,action_noise,0.3,action_noise_0p3,30,32.949941316560135,19.985225036610096,30.261451749789117,22.681929750864807,30.558362463517696,23.762879285310724,0.06320409696947907,0.04266082856667403
tvc150,action_noise,0.5,action_noise_0p5,30,75.16711694205297,27.00352679894698,74.1980590116493,26.421741251997517,70.6087337079987,27.21590814816279,0.1516223841521029,0.05234855981023558
tvc200,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tvc200,action_noise,0.05,action_noise_0p05,30,9.709501553204944,18.547608445320467,12.545926568109751,15.173471625113848,10.561679393128884,12.391918610053954,0.012985306123889704,0.02169605958402816
tvc200,action_noise,0.1,action_noise_0p1,30,34.979875806254604,21.81732952229921,37.98657918033594,24.359307751063028,35.99966437928885,21.567418395049035,0.040601615163559875,0.021320686348753923
tvc200,action_noise,0.2,action_noise_0p2,30,64.27080424087292,42.34596840337803,54.26500092120509,39.0115127120803,56.036606960445155,39.39031339408569,0.07424953553087811,0.03910790364722287
tvc200,action_noise,0.3,action_noise_0p3,30,104.13394332600562,50.131535397133774,99.03344521261762,49.673253552082805,95.35184551355132,46.78252359440167,0.12542954739440482,0.04385504937882814
tvc200,action_noise,0.5,action_noise_0p5,30,192.73393997345903,75.88127447389768,175.69538068143362,69.7979628587898,178.83018904582434,70.31254447968928,0.2374553671924035,0.06480043551706477
tvc225,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tvc225,action_noise,0.05,action_noise_0p05,30,19.09550247707351,63.640490924359526,46.00503576824716,65.00192877305786,28.805316253740667,72.42172889812639,-0.0035881602972829964,0.04969890782885775
tvc225,action_noise,0.1,action_noise_0p1,30,42.647515858297126,54.112610612479855,39.61256591011258,31.758386411940574,39.214114910336505,60.01342498816873,0.022323045484744675,0.04044518819568358
tvc225,action_noise,0.2,action_noise_0p2,30,96.36291876195172,92.32176742601393,114.41386448577866,125.32041395868283,105.5771230197,120.04481028179521,0.055636728919596354,0.07021491403207673
tvc225,action_noise,0.3,action_noise_0p3,30,186.59550694715068,149.56204523112825,217.94720329058575,185.26495845897495,207.74569842616876,173.66325797247862,0.08828225676316213,0.1299570288974509
tvc225,action_noise,0.5,action_noise_0p5,30,382.68369892072377,219.73793449585102,416.93220462165124,267.6871932531506,399.49556802677034,246.78058623813874,0.25420279105910776,0.13404763927881072
tvc250,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tvc250,action_noise,0.05,action_noise_0p05,30,1.6634081135252425,44.105017160655756,17.519809826071935,30.162106048813474,5.153304159745422,37.306880243744985,-0.01201053193850487,0.03231174971668795
tvc250,action_noise,0.1,action_noise_0p1,30,6.041196202887487,61.81800149233886,29.399265572640115,46.58311415264804,14.39783025049489,55.892498090653305,-0.025692526184188696,0.07794686171133666
tvc250,action_noise,0.2,action_noise_0p2,30,91.9183115110569,101.30723552313202,111.79512292155503,105.05371118893522,111.96311700943862,105.9762902537986,0.019315147382182856,0.10813318300427871
tvc250,action_noise,0.3,action_noise_0p3,30,204.31403411527555,139.80255400864436,244.23924401932643,170.13454742776526,231.75614814980702,164.70654869161476,0.09763383061570846,0.09888214868583055
tvc250,action_noise,0.5,action_noise_0p5,30,530.5326032800049,256.24933022195745,596.7947203191692,291.01139565246785,575.0624127026477,283.7187512100276,0.3006319577954733,0.10880839463663257
tvc275,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tvc275,action_noise,0.05,action_noise_0p05,30,-5.536293754109778,37.47705622988153,-14.200976374935102,30.882108858570337,-9.365622722981053,37.51528594780216,-0.004427893627459062,0.028479291259117263
