baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,tvc100,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc100,action_noise,0.05,action_noise_0p05,30,58.32826571856793,59.00851618420533,118.4025329605519,160.48051754264915,87.85065814461834,100.92368326269266
vanilla,tvc100,action_noise,0.1,action_noise_0p1,30,42.456098927985046,65.54490203286817,72.98250722578058,162.98823838562473,65.763205394051,104.89568380054979
vanilla,tvc100,action_noise,0.2,action_noise_0p2,30,120.692132823003,95.8512863643787,158.26145371657887,181.1867504577339,128.14731791654336,125.26955015828992
vanilla,tvc100,action_noise,0.3,action_noise_0p3,30,301.4344947569234,158.08618927263436,338.1638850996489,253.9917786588397,326.12101743705495,207.91442581044225
vanilla,tvc100,action_noise,0.5,action_noise_0p5,30,541.5743380233583,270.95469355458744,605.941383357435,327.23504482843697,579.6986218742422,304.96866958921134
vanilla,tvc150,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc150,action_noise,0.05,action_noise_0p05,30,67.98970345569202,59.658053833893185,127.85648737973689,162.2369970094458,96.48412330026098,101.2220800037494
vanilla,tvc150,action_noise,0.1,action_noise_0p1,30,43.86987760255485,58.92629840062961,78.71865356149205,156.59499245799202,67.89837680839841,98.32849314691228
vanilla,tvc150,action_noise,0.2,action_noise_0p2,30,106.7482847340252,88.4256254486932,152.63607160544058,167.62110960536117,118.9879498308318,113.88383281153313
vanilla,tvc150,action_noise,0.3,action_noise_0p3,30,279.5587256893915,150.16823191266593,326.7992849545529,248.83571038463316,311.20503773636426,202.3725489962788
vanilla,tvc150,action_noise,0.5,action_noise_0p5,30,511.51616254900256,260.58276013176237,573.2170416923798,315.3398294603921,549.5978330514288,296.5624561054357
vanilla,tvc200,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc200,action_noise,0.05,action_noise_0p05,30,50.03467161494395,63.35277544704221,109.28274715909274,166.1165046480444,80.73287884789981,104.53908664873015
vanilla,tvc200,action_noise,0.1,action_noise_0p1,30,7.27046300339075,66.70737135782359,36.86121585854236,160.0347810516877,29.047542142704987,104.6190740893952
vanilla,tvc200,action_noise,0.2,action_noise_0p2,30,62.83824147998659,103.6005862614926,116.93050129483763,186.1479616462137,79.87848363946439,130.89580464323504
vanilla,tvc200,action_noise,0.3,action_noise_0p3,30,208.37472367994596,144.9661990129795,258.02729149172444,236.7839036670325,246.4115546863307,192.55555603192335
vanilla,tvc200,action_noise,0.5,action_noise_0p5,30,393.9493395175965,246.2433632977968,471.7197200225954,301.91888924824553,441.3763777136033,278.99511921703066
vanilla,tvc225,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc225,action_noise,0.05,action_noise_0p05,30,40.64867069107539,109.41651103324823,75.82363795895536,178.51330545259196,62.48924198728802,150.9974350643268
vanilla,tvc225,action_noise,0.1,action_noise_0p1,30,-0.39717704865176984,99.1266272976312,35.235229128765695,164.24244393261898,25.833091611657327,144.48186435390073
vanilla,tvc225,action_noise,0.2,action_noise_0p2,30,30.74612695890779,119.15960160452481,56.78163773026408,204.80677472716383,30.33796758020954,163.88857304058226
vanilla,tvc225,action_noise,0.3,action_noise_0p3,30,125.91316005880093,154.0230384768649,139.1135334137563,228.85513030769775,134.01770177371324,189.71753617670836
vanilla,tvc225,action_noise,0.5,action_noise_0p5,30,203.99958057033174,229.69491351037468,230.4828960823778,270.1596266623147,220.71099873265715,262.2506086864059
vanilla,tvc250,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc250,action_noise,0.05,action_noise_0p05,30,58.08076505462363,71.4366824750959,104.30886390113058,162.14626094323336,86.14125408128325,106.14531293315814
vanilla,tvc250,action_noise,0.1,action_noise_0p1,30,36.20914260675787,89.54456316790146,45.44852946623817,170.15723778617547,50.64937627149893,121.77567656700182
vanilla,tvc250,action_noise,0.2,action_noise_0p2,30,35.19073420980264,149.85051696486985,59.40037929448768,227.52767635446108,23.95197359047087,179.208469666613
vanilla,tvc250,action_noise,0.3,action_noise_0p3,30,108.19463289067602,210.39357860922848,112.82149268501558,277.66083057308657,110.007252050075,253.7879305557528
vanilla,tvc250,action_noise,0.5,action_noise_0p5,30,56.15067621105059,313.1535067384277,50.62038038485976,346.37129863323605,45.144154056779705,344.95302769239123
vanilla,tvc275,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc275,action_noise,0.05,action_noise_0p05,30,65.28046692225868,68.76393606926278,136.02965010213762,161.5175238852647,100.66018096400973,106.22877614745718
vanilla,tvc275,action_noise,0.1,action_noise_0p1,30,40.11851653159886,78.32644035320908,77.20244245595613,174.34235777609496,59.936198806596956,117.74327905224975
vanilla,tvc275,action_noise,0.2,action_noise_0p2,30,68.45107353198104,133.98130765185115,86.16512535836789,211.58606761427708,65.31980793670279,158.8125305415704
vanilla,tvc275,action_noise,0.3,action_noise_0p3,30,169.95146574136183,161.9474108150286,170.39610080595048,282.77883884781056,183.262305301011,225.31448050416333
vanilla,tvc275,action_noise,0.5,action_noise_0p5,30,192.51756335096158,296.91880978195246,221.8481186702396,400.2152680680808,208.57829108423974,369.93011971524885
vanilla,tvc300,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc300,action_noise,0.05,action_noise_0p05,30,64.58620209977688,71.83579421875628,106.2128701726162,146.10987428272648,89.6509241769416,97.59803742680825
vanilla,tvc300,action_noise,0.1,action_noise_0p1,30,-50.75300637512499,92.28383377019043,5.560790521021712,144.31191261792577,-28.352810897860923,108.01748955927773
vanilla,tvc300,action_noise,0.2,action_noise_0p2,30,-7.473050328444943,68.74059061060657,19.138222319097924,164.09991220533243,-5.767989681359973,108.11700965479716
vanilla,tvc300,action_noise,0.3,action_noise_0p3,30,51.86499214904738,120.20786807741543,63.600312583038516,212.65621163681175,43.58632579377332,181.43519944930958
vanilla,tvc300,action_noise,0.5,action_noise_0p5,30,56.07475575099488,247.74703793541022,60.918662718527756,319.6205787652059,42.949865791095824,299.95761889177135
