axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
actuator_gain,vanilla,1239.1850936808003,324.80313020626437,0.0,0.0,0,0
actuator_gain,tvc100,437.7644116522761,44.76426613259176,540.2149560821794,275.85846543779076,13,15
actuator_gain,tvc150,439.61858319592886,29.07500515618072,515.2512800391947,268.6686517722604,14,15
actuator_gain,tvc200,651.9446664095912,91.41516278453621,382.6685627783524,264.197459041291,13,15
actuator_gain,tvc225,905.4080391001019,233.60135367401486,240.6421347148061,257.558034993101,13,15
actuator_gain,tvc250,1117.126030388593,304.1210335874549,110.2660344080273,309.05299423217906,12,15
actuator_gain,tvc275,1024.094003997095,268.70637520722227,147.34103395979648,309.5675896403798,14,15
actuator_gain,tvc300,1184.023916895026,295.6210168924019,47.39738949525483,259.0028936175102,12,15
damping,vanilla,1254.45755570529,338.4981890491832,0.0,0.0,0,0
damping,tvc100,437.7644116522761,44.76426613259176,31.445629952578006,54.00593083325928,13,15
damping,tvc150,439.61858319592886,29.07500515618072,35.83149664336202,54.1106200586991,13,15
damping,tvc200,651.9446664095912,91.41516278453621,40.590028349433936,57.23600767137259,13,15
damping,tvc225,905.4080391001019,233.60135367401486,58.311681460817276,80.48988001246585,15,15
damping,tvc250,1117.126030388593,304.1210335874549,36.517330468091224,69.7614000987467,12,15
damping,tvc275,1024.094003997095,268.70637520722227,68.06068027040082,66.46849810978635,15,15
damping,tvc300,1184.023916895026,295.6210168924019,28.59458554306665,68.85957862076364,12,15
friction,vanilla,1239.1850936808003,324.80313020626437,0.0,0.0,0,0
friction,tvc100,441.18229023714997,45.71462761113958,351.78841947022534,188.9899255796648,14,15
friction,tvc150,439.61858319592886,29.07500515618072,333.34505116716883,183.50745104052683,14,15
friction,tvc200,651.9446664095912,91.41516278453621,253.11994516268007,195.16186601086437,14,15
friction,tvc225,905.4080391001019,233.60135367401486,121.6110434541771,204.24855314179976,15,15
friction,tvc250,1117.126030388593,304.1210335874549,67.21713439781169,224.35346285255724,12,15
friction,tvc275,1047.314721672719,285.51631136474947,109.19498217410606,212.44440906771968,15,15
friction,tvc300,1184.023916895026,295.6210168924019,5.7155234098301,178.58435516231958,7,15
mass,vanilla,1254.45755570529,338.4981890491832,0.0,0.0,0,0
mass,tvc100,437.7644116522761,44.76426613259176,475.3684288806415,279.470601448486,11,14
mass,tvc150,439.61858319592886,29.07500515618072,479.6639607036946,272.65912351352284,14,14
mass,tvc200,651.9446664095912,91.41516278453621,370.09215131786885,273.78551214545706,14,14
mass,tvc225,928.487607419751,245.0329816754299,206.57674791552137,261.3648568018216,11,14
mass,tvc250,1119.1038593520072,311.3996895515906,136.83332840761037,309.82395052253827,13,14
mass,tvc275,1024.094003997095,268.70637520722227,134.23220429300324,310.0536869659833,12,14
mass,tvc300,1184.023916895026,295.6210168924019,55.150697918089676,268.63029497631527,10,14
