baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,tvc100,actuator_gain,0.0,actuator_gain_0,30,801.4546833214639,333.3256717519471,849.5253306622128,374.4218943231775,828.100414034696,356.611159769142
vanilla,tvc100,actuator_gain,0.1,actuator_gain_0p1,30,964.4582594334838,329.84789424953505,1012.5543995992614,366.3269314664152,989.1812084455836,350.91677983710474
vanilla,tvc100,actuator_gain,0.2,actuator_gain_0p2,30,920.5916193731138,340.70715833129276,947.5528838879134,381.3986704636643,937.026812922524,364.56645874794555
vanilla,tvc100,actuator_gain,0.3,actuator_gain_0p3,30,862.4065014450085,342.9361748578327,901.8773282996119,386.5746492121708,884.7583572721029,368.03033691744866
vanilla,tvc100,actuator_gain,0.4,actuator_gain_0p4,30,836.9656205713253,329.47874207233116,875.022015812404,371.586533269364,861.410053245116,353.635409106698
vanilla,tvc100,actuator_gain,0.5,actuator_gain_0p5,30,803.4852567668153,331.11776658261635,847.8066342181544,368.64747485080386,827.8454711333075,353.4949433619743
vanilla,tvc100,actuator_gain,0.6,actuator_gain_0p6,30,750.9598250985091,339.2856072236523,782.8574565740151,381.35521397309105,766.2901552125938,363.6927647369339
vanilla,tvc100,actuator_gain,0.7,actuator_gain_0p7,30,672.3960634920173,322.1481126844467,713.9304875673339,363.03631199809286,691.4302959168941,345.3738487546796
vanilla,tvc100,actuator_gain,0.8,actuator_gain_0p8,30,516.0607385661901,255.1972149462188,577.8030658033999,310.5905659287314,551.3210087535616,288.67549075565273
vanilla,tvc100,actuator_gain,0.9,actuator_gain_0p9,30,84.99265008974629,95.44274625961933,122.18900673025986,167.8257478488582,100.92299973013786,123.17454869287396
vanilla,tvc100,actuator_gain,1.0,actuator_gain_1,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc100,actuator_gain,1.1,actuator_gain_1p1,30,-48.879619638455246,110.24509056166197,10.229079447788422,169.5169807690818,3.821119679157346,145.71197421483262
vanilla,tvc100,actuator_gain,1.3,actuator_gain_1p3,30,-63.88300492442015,164.28016278351404,-21.606297062362103,270.4201099164667,-64.73444505587575,215.8688560002481
vanilla,tvc100,actuator_gain,1.5,actuator_gain_1p5,30,182.818857575252,233.76408267363308,277.0947969358878,332.18639493070816,246.49843866161194,296.7217593709046
vanilla,tvc100,actuator_gain,1.7,actuator_gain_1p7,30,335.16305307606956,311.16295738681345,472.9249640471125,400.5868304036063,439.99091748548136,371.8839105601042
vanilla,tvc100,actuator_gain,2.0,actuator_gain_2,30,484.23383698656926,298.9375992017457,669.5681161865812,373.00460467981526,594.2881693267868,342.59880809018097
vanilla,tvc100,damping,0.0,damping_0,30,74.99909592643421,67.38649226590043,91.23817792970544,156.1443450717745,83.83775559239889,92.94855129183472
vanilla,tvc100,damping,0.1,damping_0p1,30,44.3502932041767,52.497095310414494,57.02844991880292,88.04632726966362,59.137975678182805,70.4811013080505
vanilla,tvc100,damping,0.2,damping_0p2,30,55.633386986324936,61.00665657681925,57.75641822856222,82.21490726231671,75.25957582471256,76.80670212594953
vanilla,tvc100,damping,0.3,damping_0p3,30,52.341776335641505,72.19274260846892,95.7965502888167,151.91457221335693,102.81971679742965,102.16053415754784
vanilla,tvc100,damping,0.4,damping_0p4,30,63.09837762676855,64.94268610787677,107.2017329354997,152.46893979430595,87.88619337659783,98.85122992000882
vanilla,tvc100,damping,0.5,damping_0p5,30,65.40383942616383,51.09173249791595,24.567683332953106,38.70374047369879,60.40772192706711,60.01272148556508
vanilla,tvc100,damping,0.6,damping_0p6,30,26.13769291888426,49.27840574971181,9.308834148843191,43.21395092580851,48.85010097359157,53.73708605735107
vanilla,tvc100,damping,0.7,damping_0p7,30,5.352409088808044,47.500617110943296,-24.76862229415383,48.32609970019822,15.234597992033587,55.75145634888286
vanilla,tvc100,damping,0.8,damping_0p8,30,21.479330609489914,48.26964847173299,43.52028832068683,94.0206769173471,34.38226958389862,68.27295524709338
vanilla,tvc100,damping,0.9,damping_0p9,30,68.43905729985008,59.809999015947405,116.08764151958651,151.9790345735503,89.07290586687735,92.41288662185308
vanilla,tvc100,damping,1.0,damping_1,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc100,damping,1.1,damping_1p1,30,2.8389496011762447,60.11208636047755,17.111020579976586,94.46415881483048,23.4608835255148,74.45695909432767
vanilla,tvc100,damping,1.3,damping_1p3,30,11.006699578582406,39.36939382089814,19.96400790236354,55.38219137296717,28.997519600744447,47.58823119627898
vanilla,tvc100,damping,1.5,damping_1p5,30,-15.682387805309657,34.10846705864979,-31.591767536077082,44.83866857478778,-9.007522279620398,32.790714161319684
vanilla,tvc100,damping,1.7,damping_1p7,30,1.838421311052349,38.764490937956175,-15.947219320832797,40.47736943304739,16.758174182906682,45.84612820050319
vanilla,tvc100,damping,2.0,damping_2,30,-5.552492819373348,63.758448605176085,16.21311380897192,88.56994782130478,23.343151868416165,77.38029804354545
vanilla,tvc100,friction,0.0,friction_0,30,844.8918264861808,329.39101319777086,886.0472708888078,370.5410668815585,867.0292512415159,353.0893165626087
vanilla,tvc100,friction,0.1,friction_0p1,30,850.197047603005,326.95893129238027,895.2580318490818,367.81097800869907,874.1290606927547,348.8332207296132
vanilla,tvc100,friction,0.2,friction_0p2,30,693.3036676195918,285.0139946533761,739.5137632908542,336.4286696793358,722.5820555933195,314.01140270083994
vanilla,tvc100,friction,0.3,friction_0p3,30,465.99603183136566,221.0544292373288,575.5644072110698,293.28067081787674,540.9060371816207,264.70544898801495
vanilla,tvc100,friction,0.4,friction_0p4,30,337.09264065650564,194.27310902026016,416.42442554596806,247.1288796578331,373.81428775690824,220.67242031682883
vanilla,tvc100,friction,0.5,friction_0p5,30,203.87100737259334,161.4732328942877,274.7386302953744,204.80261883096594,251.73618305066012,178.42965765019403
vanilla,tvc100,friction,0.6,friction_0p6,30,137.71760224939973,126.78543815291995,183.49870023242312,177.58355897175866,159.2269078572308,134.04075070864653
vanilla,tvc100,friction,0.7,friction_0p7,30,80.24645542557559,120.4733511940615,137.65808649168483,185.19337468169766,98.73464204176365,133.27290918540666
vanilla,tvc100,friction,0.8,friction_0p8,30,24.409246605321396,87.1700924100743,90.22040832688806,160.02192120937278,42.253930089749176,83.84600970506143
vanilla,tvc100,friction,0.9,friction_0p9,30,-22.934751088657283,55.039872720828555,54.47835656276921,160.1560211624678,-6.754206630297544,62.39326212694745
vanilla,tvc100,friction,1.0,friction_1,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc100,friction,1.1,friction_1p1,30,61.098576134147805,72.91943982778396,94.19806053103981,165.92140775360255,57.28162532777993,87.69563595486413
vanilla,tvc100,friction,1.3,friction_1p3,30,145.78062413889566,96.61311907495781,158.93915933634705,142.4728353269231,166.5896065570751,140.8586036197372
vanilla,tvc100,friction,1.5,friction_1p5,30,367.66148381263594,217.46119096615857,431.18760157010666,258.9608597163383,386.0385045413634,234.2986646254282
vanilla,tvc100,friction,1.7,friction_1p7,30,469.6385054965067,258.6253242992785,486.56957243040523,267.02171138378407,481.8755382568824,276.1980430929023
vanilla,tvc100,friction,2.0,friction_2,30,617.8563277103134,281.59634475350526,667.6934069779018,307.1419674232558,656.5685371468924,305.14185202895067
vanilla,tvc100,mass,0.1,mass_0p1,30,827.0198289654384,345.3766354809156,855.6959373958126,374.9788496714123,858.3047768103132,368.7842707966714
vanilla,tvc100,mass,0.2,mass_0p2,30,841.132013787866,347.3507645073114,886.2672091349264,377.84497472599446,886.027763705919,372.16177335920975
vanilla,tvc100,mass,0.3,mass_0p3,30,794.4746576221048,335.58439454371523,864.0958776596667,374.8148406072359,862.8176464085783,368.32425625308633
vanilla,tvc100,mass,0.4,mass_0p4,30,672.430595116832,348.8619243273563,763.6943750603336,393.6672370606036,767.6649762633343,386.05479242318347
vanilla,tvc100,mass,0.5,mass_0p5,30,429.36099638802904,325.04512155419906,574.4470700980833,401.80572830396113,542.8526014088678,377.0429020113403
vanilla,tvc100,mass,0.6,mass_0p6,30,212.67696699238155,264.93153859668115,280.136498682974,350.5578798026822,278.80181757348583,328.8082714835787
vanilla,tvc100,mass,0.7,mass_0p7,30,-30.305069107223243,191.29595428455613,-76.80865791893235,246.65702081012188,-49.73739614438187,215.46126826048604
vanilla,tvc100,mass,0.8,mass_0p8,30,-33.14068434246654,186.90454045268314,-57.690030255022734,253.61216985971026,-34.4406036631069,240.86581094483378
vanilla,tvc100,mass,0.9,mass_0p9,30,-45.655234471464986,123.2355936735706,7.96832441396538,168.89638355086424,8.39900239947609,149.02288672280588
vanilla,tvc100,mass,1.0,mass_1,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc100,mass,1.1,mass_1p1,30,105.15460204631042,95.51152098507717,160.5786552909014,163.05672858922966,146.20197585933076,134.246910532862
vanilla,tvc100,mass,1.3,mass_1p3,30,579.2077375261413,300.6322162268092,614.0108880744731,331.6981226667242,615.520166855114,328.5147366777377
vanilla,tvc100,mass,1.5,mass_1p5,30,714.7066421761649,346.5094443478875,739.7284680496144,376.10690440757884,742.3114188356984,370.7073568979271
vanilla,tvc100,mass,1.7,mass_1p7,30,770.6412847536877,354.9297579128569,793.664915755587,385.8425609722445,798.7474631136432,380.1847474244276
vanilla,tvc100,mass,2.0,mass_2,30,817.4536668751799,346.4190133851841,841.4260287384635,377.5679745551922,845.4047408334817,371.2497367975165
vanilla,tvc150,actuator_gain,0.0,actuator_gain_0,30,799.5971279378464,318.84641467916504,839.3044231020665,358.5930779354375,821.0252775319265,342.1860721526566
vanilla,tvc150,actuator_gain,0.1,actuator_gain_0p1,30,846.2181572069663,318.13216133193947,887.2726042748789,353.4529964105663,866.7726822242402,339.05078037131346
vanilla,tvc150,actuator_gain,0.2,actuator_gain_0p2,30,818.6334148716952,331.0589123535901,847.5846790343431,373.6425827861592,837.4927471268528,357.2965104954898
vanilla,tvc150,actuator_gain,0.3,actuator_gain_0p3,30,765.6183210325172,336.6463195554014,806.1517551455755,377.03782233761456,788.4637096499457,360.4010576996059
vanilla,tvc150,actuator_gain,0.4,actuator_gain_0p4,30,746.6759957758455,313.78954113162433,783.8734944551071,354.5900817354609,768.6574585015151,338.27974647271213
vanilla,tvc150,actuator_gain,0.5,actuator_gain_0p5,30,742.9310920957981,310.93147756856627,783.9311215100647,347.8458535731616,766.2950509262289,333.26213902401497
vanilla,tvc150,actuator_gain,0.6,actuator_gain_0p6,30,691.9725163660139,316.3333563906731,726.1092289961939,355.94635873838837,710.5780636498638,339.78676784757016
vanilla,tvc150,actuator_gain,0.7,actuator_gain_0p7,30,623.968900676176,303.88072584901647,661.2426329020145,343.2763629168495,642.0939815856053,326.8084145710224
vanilla,tvc150,actuator_gain,0.8,actuator_gain_0p8,30,472.9957375364401,243.06691385557087,538.0769670953408,297.28093346353694,513.3267649637763,275.7329795554669
vanilla,tvc150,actuator_gain,0.9,actuator_gain_0p9,30,70.2018332072059,94.18870639675973,96.30559945720346,165.04513479486977,83.19150317166685,119.61501638670772
vanilla,tvc150,actuator_gain,1.0,actuator_gain_1,30,0.0,0.0,0.0,0.0,0.0,0.0
