axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
foot_left_actuator_gain,vanilla,1239.1850936808003,324.80313020626437,0.0,0.0,0,0
foot_left_actuator_gain,tvc100,438.0913734904676,46.046577899829906,376.3223137827796,240.95027232202244,14,15
foot_left_actuator_gain,tvc150,439.61858319592886,29.07500515618072,348.4678129080193,230.8055572966242,14,15
foot_left_actuator_gain,tvc200,651.9446664095912,91.41516278453621,251.7227242783462,239.4797431868245,13,15
foot_left_actuator_gain,tvc225,928.487607419751,245.0329816754299,199.20469421590587,243.38529086637968,14,15
foot_left_actuator_gain,tvc250,1119.1038593520072,311.3996895515906,125.28940441267227,301.0853342911949,13,15
foot_left_actuator_gain,tvc275,1024.094003997095,268.70637520722227,76.42040391419623,255.3676377192379,12,15
foot_left_actuator_gain,tvc300,1184.023916895026,295.6210168924019,27.059341217627335,239.3087798699954,12,15
foot_left_damping,vanilla,1239.1850936808003,324.80313020626437,0.0,0.0,0,0
foot_left_damping,tvc100,437.7644116522761,44.76426613259176,13.634031909389853,47.87348345942571,10,15
foot_left_damping,tvc150,433.8129605434466,27.193855628364144,20.00533600583508,49.50005811560426,13,15
foot_left_damping,tvc200,641.917015987295,87.78530380588941,28.92174758658281,48.347904858561634,13,15
foot_left_damping,tvc225,905.4080391001019,233.60135367401486,29.620922679574132,76.21736116738875,13,15
foot_left_damping,tvc250,1117.126030388593,304.1210335874549,34.654530001206346,60.241898292950204,14,15
foot_left_damping,tvc275,1024.094003997095,268.70637520722227,52.30702165035339,63.82566143214884,14,15
foot_left_damping,tvc300,1184.023916895026,295.6210168924019,8.336402659898873,56.23234340697748,9,15
foot_left_friction,vanilla,1254.45755570529,338.4981890491832,0.0,0.0,0,0
foot_left_friction,tvc100,441.18229023714997,45.71462761113958,140.41628182996672,142.35646010506323,13,15
foot_left_friction,tvc150,433.8129605434466,27.193855628364144,135.30233556988432,140.404038883054,13,15
foot_left_friction,tvc200,651.9446664095912,91.41516278453621,109.9030530290725,158.89507295030646,13,15
foot_left_friction,tvc225,928.487607419751,245.0329816754299,51.31600146021617,157.27576591241933,12,15
foot_left_friction,tvc250,1119.1038593520072,311.3996895515906,16.724528414106654,165.35186155780082,11,15
foot_left_friction,tvc275,1024.094003997095,268.70637520722227,57.221969875765076,149.75224655004766,15,15
foot_left_friction,tvc300,1207.8550308308804,310.45194583020805,0.39135677823385606,147.86900277133822,6,15
foot_left_mass,vanilla,1254.45755570529,338.4981890491832,0.0,0.0,0,0
foot_left_mass,tvc100,437.7644116522761,44.76426613259176,136.69406891547388,140.64642270145507,14,14
foot_left_mass,tvc150,439.61858319592886,29.07500515618072,148.44358356041957,142.04320073020563,14,14
foot_left_mass,tvc200,645.7200175901776,88.95048341565585,123.2349236746404,146.45848535442823,14,14
foot_left_mass,tvc225,905.4080391001019,233.60135367401486,47.084267619081444,141.70170058513898,9,14
foot_left_mass,tvc250,1119.1038593520072,311.3996895515906,99.7975365447329,167.78866353906412,11,14
foot_left_mass,tvc275,1047.314721672719,285.51631136474947,109.34866828422788,196.7839421785632,14,14
foot_left_mass,tvc300,1184.023916895026,295.6210168924019,22.799831859920886,143.91078405942946,11,14
leg_left_actuator_gain,vanilla,1239.1850936808003,324.80313020626437,0.0,0.0,0,0
leg_left_actuator_gain,tvc100,441.18229023714997,45.71462761113958,102.7388641132417,122.71686200546611,11,15
leg_left_actuator_gain,tvc150,433.8129605434466,27.193855628364144,114.29847341064384,123.21645737994562,14,15
leg_left_actuator_gain,tvc200,651.9446664095912,91.41516278453621,76.98109368251754,130.63273391582788,14,15
leg_left_actuator_gain,tvc225,905.4080391001019,233.60135367401486,89.31124461543192,146.9233890347077,12,15
leg_left_actuator_gain,tvc250,1119.1038593520072,311.3996895515906,28.24145129125728,167.92948365099417,11,15
leg_left_actuator_gain,tvc275,1024.094003997095,268.70637520722227,43.444005827814095,165.0735988425858,11,15
leg_left_actuator_gain,tvc300,1184.023916895026,295.6210168924019,22.313951800111912,143.7445375221966,8,15
leg_left_damping,vanilla,1239.1850936808003,324.80313020626437,0.0,0.0,0,0
leg_left_damping,tvc100,441.18229023714997,45.71462761113958,-0.13707533928031074,36.2532833397786,5,15
leg_left_damping,tvc150,439.61858319592886,29.07500515618072,6.252001696353618,36.71257646774339,9,15
leg_left_damping,tvc200,645.7200175901776,88.95048341565585,17.888238176122368,40.84716211824062,12,15
leg_left_damping,tvc225,906.8215905316356,233.13925469738373,14.212524153021969,62.65083147139137,12,15
leg_left_damping,tvc250,1119.1038593520072,311.3996895515906,4.097566718097629,41.374952079224364,9,15
leg_left_damping,tvc275,1024.094003997095,268.70637520722227,29.82345140370833,54.97140056183999,13,15
leg_left_damping,tvc300,1184.023916895026,295.6210168924019,-1.990490146320982,53.12740109291513,5,15
leg_left_mass,vanilla,1239.1850936808003,324.80313020626437,0.0,0.0,0,0
leg_left_mass,tvc100,441.18229023714997,45.71462761113958,31.550887722525424,78.0353291651095,14,14
leg_left_mass,tvc150,439.61858319592886,29.07500515618072,41.97837845764196,80.19206949434522,13,14
leg_left_mass,tvc200,651.9446664095912,91.41516278453621,44.647359237540115,91.54530783689242,13,14
leg_left_mass,tvc225,905.4080391001019,233.60135367401486,6.036276553059077,101.23071111073129,9,14
leg_left_mass,tvc250,1117.126030388593,304.1210335874549,23.660646442031688,97.87924718038614,12,14
leg_left_mass,tvc275,1024.094003997095,268.70637520722227,64.83719904510558,107.66761800340802,13,14
leg_left_mass,tvc300,1184.023916895026,295.6210168924019,0.980115300363682,86.99515101720057,3,14
thigh_left_actuator_gain,vanilla,1254.45755570529,338.4981890491832,0.0,0.0,0,0
thigh_left_actuator_gain,tvc100,441.18229023714997,45.71462761113958,232.61247307355447,183.43131796520404,15,15
