baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,tvc100,foot_left_actuator_gain,0.0,foot_left_actuator_gain_0,30,828.6489939547796,319.82543589121997,875.9205033395772,357.746028379202,851.3576322910383,342.1440956314057
vanilla,tvc100,foot_left_actuator_gain,0.1,foot_left_actuator_gain_0p1,30,693.189578439504,327.61745536760594,723.1092386065119,345.58912812983993,712.4150637505132,349.1809860862402
vanilla,tvc100,foot_left_actuator_gain,0.2,foot_left_actuator_gain_0p2,30,701.0855065607927,325.7858746341646,760.9335300900535,340.5766295308786,732.4588222882124,342.54765080593893
vanilla,tvc100,foot_left_actuator_gain,0.3,foot_left_actuator_gain_0p3,30,681.6528740996669,321.0366187422468,746.2772996447969,329.7404235275338,715.6532079004787,332.75989980518983
vanilla,tvc100,foot_left_actuator_gain,0.4,foot_left_actuator_gain_0p4,30,620.5655619215746,318.2909916871432,675.350191545532,335.6812284461668,646.6696324816061,337.24049296165714
vanilla,tvc100,foot_left_actuator_gain,0.5,foot_left_actuator_gain_0p5,30,571.4670812589211,318.2944738217288,614.5855764441095,331.8737538643055,603.7126399817004,336.32813324902423
vanilla,tvc100,foot_left_actuator_gain,0.6,foot_left_actuator_gain_0p6,30,503.7184711668809,318.7290656184324,552.9039019956174,328.05494100807584,533.3726974637971,333.3888686828223
vanilla,tvc100,foot_left_actuator_gain,0.7,foot_left_actuator_gain_0p7,30,427.375325096141,293.35465308209206,474.38962974742026,302.49928080633583,452.85932072874397,308.5385333192381
vanilla,tvc100,foot_left_actuator_gain,0.8,foot_left_actuator_gain_0p8,30,285.9164511416859,184.20914353726496,343.2771498938334,233.47506476724692,317.60108776757926,229.91854902732265
vanilla,tvc100,foot_left_actuator_gain,0.9,foot_left_actuator_gain_0p9,30,7.285760159222845,76.37538432647207,57.81374738620931,88.41326909210758,26.782102546059665,97.19497723006668
vanilla,tvc100,foot_left_actuator_gain,1.0,foot_left_actuator_gain_1,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc100,foot_left_actuator_gain,1.1,foot_left_actuator_gain_1p1,30,-20.613795919246048,93.09687424694845,38.5457591767653,196.8474383320377,-13.434666620577675,112.93022405861002
vanilla,tvc100,foot_left_actuator_gain,1.3,foot_left_actuator_gain_1p3,30,4.220838804379699,148.4930429527457,86.15451438443627,263.8920760983103,33.06338015424869,203.54459604799578
vanilla,tvc100,foot_left_actuator_gain,1.5,foot_left_actuator_gain_1p5,30,28.772372810524764,166.4252679629198,50.536335626716344,241.75808742730547,39.11148077859695,208.24619462159575
vanilla,tvc100,foot_left_actuator_gain,1.7,foot_left_actuator_gain_1p7,30,120.97374079395117,195.26820343198725,132.4837906092607,272.64167863646156,122.32454520308013,229.4155861539571
vanilla,tvc100,foot_left_actuator_gain,2.0,foot_left_actuator_gain_2,30,190.57594645291357,207.45159952736424,221.70744867124407,265.6143824824955,220.51664887318674,236.97938455430267
vanilla,tvc100,foot_left_damping,0.0,foot_left_damping_0,30,-1.0051096225651008,52.28929342858117,49.721511960663705,168.36366530804898,15.438209449185608,93.80738661808877
vanilla,tvc100,foot_left_damping,0.1,foot_left_damping_0p1,30,0.5382428304230605,55.21056962542409,-5.12012541906985,80.39660828155938,5.881061166087104,69.85529744701584
vanilla,tvc100,foot_left_damping,0.2,foot_left_damping_0p2,30,-10.701550959938162,38.34556557028744,-17.610977548666124,55.792386425775746,2.7873294529567127,47.36865035163876
