env_id,axis,stress_factor,seed,best_model,best_return,vanilla_return,best_minus_vanilla,num_models_above_vanilla
Walker2d-v4,action_noise,0.5,1,vanilla,1115.6058460084569,1115.6058460084569,0.0,0
Walker2d-v4,action_noise,0.5,2,tvc275,866.9388265717738,507.8357038390012,359.1031227327726,5
Walker2d-v4,action_noise,0.5,3,tvc250,828.595448108215,714.9692273274503,113.6262207807647,1
Walker2d-v4,action_noise,0.5,4,tvc275,996.2200595512572,408.8625258589298,587.3575336923275,4
Walker2d-v4,action_noise,0.5,5,tvc300,445.68877694223073,395.42492345169705,50.26385349053368,4
Walker2d-v4,action_noise,0.5,6,tvc300,883.636772484421,870.9546317416495,12.682140742771594,1
Walker2d-v4,action_noise,0.5,7,tvc275,653.3788593562489,587.3801129813797,65.99874637486914,1
Walker2d-v4,action_noise,0.5,8,tvc275,772.0647431785458,585.2881527067882,186.77659047175757,4
Walker2d-v4,action_noise,0.5,9,tvc300,557.8799441588204,404.7649501178788,153.1149940409416,5
Walker2d-v4,action_noise,0.5,10,vanilla,589.4459640096604,589.4459640096604,0.0,0
Walker2d-v4,action_noise,0.5,11,vanilla,540.7651760778314,540.7651760778314,0.0,0
Walker2d-v4,action_noise,0.5,12,tvc275,2586.8578030652343,598.9422232429084,1987.915579822326,3
Walker2d-v4,action_noise,0.5,13,vanilla,697.0026823219306,697.0026823219306,0.0,0
Walker2d-v4,action_noise,0.5,14,tvc250,482.5637003980896,365.5692534669277,116.99444693116192,6
Walker2d-v4,action_noise,0.5,15,vanilla,1811.3494032694464,1811.3494032694464,0.0,0
Walker2d-v4,action_noise,0.5,16,tvc225,673.1460170824564,496.7747578115485,176.3712592709079,3
Walker2d-v4,action_noise,0.5,17,tvc100,762.0766935000079,582.044567242023,180.03212625798483,2
Walker2d-v4,action_noise,0.5,18,tvc300,747.4484042389755,709.5703746817433,37.87802955723225,1
Walker2d-v4,action_noise,0.5,19,vanilla,541.7680380947111,541.7680380947111,0.0,0
Walker2d-v4,action_noise,0.5,20,tvc300,1579.271104982036,414.2829997986916,1164.9881051833443,6
Walker2d-v4,action_noise,0.5,21,vanilla,813.0200941605297,813.0200941605297,0.0,0
Walker2d-v4,action_noise,0.5,22,vanilla,860.1191148208507,860.1191148208507,0.0,0
Walker2d-v4,action_noise,0.5,23,tvc250,830.7881252944144,471.5066453151433,359.28147997927107,5
Walker2d-v4,action_noise,0.5,24,tvc300,953.7097529659032,789.4990777600165,164.2106752058868,1
Walker2d-v4,action_noise,0.5,25,tvc300,906.9639893638335,796.214687403233,110.74930196060052,1
Walker2d-v4,action_noise,0.5,26,tvc225,579.8600640855122,401.86464926974,177.99541481577222,5
Walker2d-v4,action_noise,0.5,27,tvc275,541.0131993124824,415.4375541856686,125.57564512681375,5
Walker2d-v4,action_noise,0.5,28,vanilla,692.4263910093935,692.4263910093935,0.0,0
Walker2d-v4,action_noise,0.5,29,tvc250,723.4015546484554,408.904211020138,314.4973436283174,5
Walker2d-v4,action_noise,0.5,30,vanilla,981.1212594072616,981.1212594072616,0.0,0
Walker2d-v4,action_replace,0.5,1,tvc100,282.99270868363806,166.17077285597742,116.82193582766064,7
Walker2d-v4,action_replace,0.5,2,tvc100,216.13472584491404,161.85581040411017,54.27891544080387,2
Walker2d-v4,action_replace,0.5,3,vanilla,269.9945712072732,269.9945712072732,0.0,0
Walker2d-v4,action_replace,0.5,4,tvc100,240.15674356405344,154.6391362481885,85.51760731586495,5
Walker2d-v4,action_replace,0.5,5,tvc100,241.31349851818945,131.05147932011124,110.2620191980782,6
Walker2d-v4,action_replace,0.5,6,tvc225,309.9049020108647,287.27675894853394,22.628143062330764,2
Walker2d-v4,action_replace,0.5,7,tvc300,286.7275721386295,164.77877378597037,121.94879835265914,6
Walker2d-v4,action_replace,0.5,8,tvc300,288.902495079156,206.96787790856973,81.93461717058625,3
Walker2d-v4,action_replace,0.5,9,tvc200,244.14206849538795,140.94118087632475,103.2008876190632,4
Walker2d-v4,action_replace,0.5,10,tvc150,232.6148290621348,168.3963838049162,64.21844525721858,2
Walker2d-v4,action_replace,0.5,11,tvc100,249.6630718193075,216.60310360239504,33.059968216912466,2
Walker2d-v4,action_replace,0.5,12,vanilla,259.0725467613847,259.0725467613847,0.0,0
Walker2d-v4,action_replace,0.5,13,vanilla,231.4938970821736,231.4938970821736,0.0,0
Walker2d-v4,action_replace,0.5,14,tvc100,256.51035737255273,94.87763508736134,161.6327222851914,5
Walker2d-v4,action_replace,0.5,15,tvc275,227.1407517382466,176.22631500402375,50.914436734222846,6
Walker2d-v4,action_replace,0.5,16,tvc100,277.7535085163271,96.09104729026409,181.662461226063,7
Walker2d-v4,action_replace,0.5,17,tvc100,354.041673304001,120.36842189474812,233.67325140925288,6
Walker2d-v4,action_replace,0.5,18,tvc300,280.9131146069885,242.5010058019647,38.41210880502376,2
Walker2d-v4,action_replace,0.5,19,tvc100,249.67778199128003,136.4409377666581,113.23684422462193,7
Walker2d-v4,action_replace,0.5,20,tvc275,222.03071778172085,106.1249636558124,115.90575412590846,7
Walker2d-v4,action_replace,0.5,21,tvc300,277.8540308491547,211.1356687557803,66.7183620933744,3
Walker2d-v4,action_replace,0.5,22,tvc300,298.91968985090523,247.4190232868457,51.50066656405954,2
Walker2d-v4,action_replace,0.5,23,tvc225,286.58522478249864,179.45020148333927,107.13502329915937,3
Walker2d-v4,action_replace,0.5,24,tvc100,266.24240588855025,203.3562362351202,62.886169653430045,3
Walker2d-v4,action_replace,0.5,25,tvc275,246.0676355979296,130.87743563384024,115.19019996408937,7
Walker2d-v4,action_replace,0.5,26,tvc100,232.0926084396045,138.72764710608294,93.36496133352156,2
Walker2d-v4,action_replace,0.5,27,tvc100,283.827101316726,100.43889749219872,183.38820382452727,6
Walker2d-v4,action_replace,0.5,28,tvc275,181.73437550669047,101.0736378310627,80.66073767562777,7
Walker2d-v4,action_replace,0.5,29,tvc225,282.78997357839216,195.6298556127142,87.16011796567795,6
Walker2d-v4,action_replace,0.5,30,tvc100,309.517349757681,214.35642477769176,95.16092497998926,2
Walker2d-v4,actuator_gain,0.5,1,tvc250,437.6509178066661,391.6058371149728,46.04508069169327,3
Walker2d-v4,actuator_gain,0.5,2,tvc225,352.94299538077945,228.5681791331558,124.37481624762364,7
Walker2d-v4,actuator_gain,0.5,3,tvc200,624.178833822201,434.7674477062813,189.4113861159197,2
Walker2d-v4,actuator_gain,0.5,4,tvc100,378.4422635775071,335.16557653228926,43.27668704521784,3
Walker2d-v4,actuator_gain,0.5,5,tvc250,319.88376867656416,281.56798875782715,38.31577991873701,3
Walker2d-v4,actuator_gain,0.5,6,vanilla,491.7297807885424,491.7297807885424,0.0,0
Walker2d-v4,actuator_gain,0.5,7,tvc150,330.045339966711,301.6656867206866,28.379653246024418,1
Walker2d-v4,actuator_gain,0.5,8,tvc275,611.7621868041717,373.1938656879347,238.56832111623703,6
Walker2d-v4,actuator_gain,0.5,9,tvc300,360.6408948558613,274.9106921399261,85.7302027159352,6
Walker2d-v4,actuator_gain,0.5,10,tvc100,419.5035244555928,269.5856242908115,149.91790016478132,7
Walker2d-v4,actuator_gain,0.5,11,tvc150,360.6798023926386,331.9491811729549,28.730621219683655,2
Walker2d-v4,actuator_gain,0.5,12,tvc225,419.25996957219047,310.6204761537045,108.63949341848598,5
Walker2d-v4,actuator_gain,0.5,13,tvc150,491.228071810997,380.148051811166,111.080019999831,3
Walker2d-v4,actuator_gain,0.5,14,tvc150,392.0514768595243,338.1383876599238,53.913089199600506,3
Walker2d-v4,actuator_gain,0.5,15,tvc300,501.48438067217,430.9000784852707,70.58430218689932,1
Walker2d-v4,actuator_gain,0.5,16,tvc225,405.4384804403323,395.3432570619464,10.095223378385867,1
Walker2d-v4,actuator_gain,0.5,17,tvc100,541.4440542764878,351.222217333369,190.22183694311883,1
Walker2d-v4,actuator_gain,0.5,18,tvc100,553.0434849252358,465.742189997288,87.30129492794782,2
Walker2d-v4,actuator_gain,0.5,19,tvc200,428.1496727327564,336.90756055068647,91.24211218206995,4
Walker2d-v4,actuator_gain,0.5,20,tvc225,408.7766473578844,344.1226183285584,64.65402902932601,4
Walker2d-v4,actuator_gain,0.5,21,tvc300,526.0188183687454,455.4549358700498,70.56388249869565,1
Walker2d-v4,actuator_gain,0.5,22,vanilla,426.8454145763687,426.8454145763687,0.0,0
Walker2d-v4,actuator_gain,0.5,23,tvc100,423.4998810385617,327.4430988357922,96.05678220276945,5
Walker2d-v4,actuator_gain,0.5,24,vanilla,453.7178265290343,453.7178265290343,0.0,0
Walker2d-v4,actuator_gain,0.5,25,tvc100,479.00929337479727,380.5854705852847,98.42382278951254,3
Walker2d-v4,actuator_gain,0.5,26,tvc225,430.65502360145217,307.4861702875873,123.16885331386487,7
