baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,tvc100,friction_damping,0.0,friction_damping_0,30,3469.3034211135996,265.91359058962774,3534.3634849041237,263.56154832244124,3523.725760822991,261.8069466607185
vanilla,tvc100,friction_damping,0.1,friction_damping_0p1,30,3475.915958983683,258.37449101092574,3552.2154569453055,258.05674842805865,3540.4676249649274,256.02824277777137
vanilla,tvc100,friction_damping,0.2,friction_damping_0p2,30,3111.18668075524,326.6219200797143,3261.4568523649223,352.82253374347914,3227.212631981588,339.27709080668683
vanilla,tvc100,friction_damping,0.3,friction_damping_0p3,30,2415.706059242081,420.7850067190893,2499.5217977494885,456.0386172783161,2451.313707749407,446.9703703661447
vanilla,tvc100,friction_damping,0.4,friction_damping_0p4,30,1539.200328545693,343.47149403191474,1418.2921237279622,467.89078974821797,1524.2247745276816,414.7056986299163
vanilla,tvc100,friction_damping,0.5,friction_damping_0p5,30,763.8508142281548,286.42649386800605,638.1902872554924,330.69258113123374,637.1142508378549,319.6893303928765
vanilla,tvc100,friction_damping,0.6,friction_damping_0p6,30,321.69822263345134,195.69916086128967,306.5498500999363,253.7880567142131,304.2833798352516,221.93748364197077
vanilla,tvc100,friction_damping,0.7,friction_damping_0p7,30,163.3552082750032,96.780406399441,70.10194439891593,68.60727089568816,78.53372267937333,68.52432913450995
vanilla,tvc100,friction_damping,0.8,friction_damping_0p8,30,100.56978417574904,80.24309458634632,35.08281279288482,70.58508360523507,55.374378566792394,66.07726872413322
vanilla,tvc100,friction_damping,0.9,friction_damping_0p9,30,109.85138704155192,76.78171579805444,69.5606174471368,93.7390593622849,90.95110938499572,88.65560188444138
vanilla,tvc100,friction_damping,1.0,friction_damping_1,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc100,friction_damping,1.1,friction_damping_1p1,30,8.86365926177316,95.65022114385346,37.92109637666288,91.80670044359368,27.202975644042528,92.00221085852785
vanilla,tvc100,friction_damping,1.3,friction_damping_1p3,30,190.84053663107642,165.8890910049422,151.8654259685076,159.8118642210329,146.80862081058,161.52723065162763
vanilla,tvc100,friction_damping,1.5,friction_damping_1p5,30,597.6471237477975,320.1071261105185,522.1833036352765,343.27145735600874,531.8453177053912,342.6836353328991
vanilla,tvc100,friction_damping,1.7,friction_damping_1p7,30,986.8273906583856,377.50744784698185,913.776358473111,405.8190143567711,913.7566240431257,404.51475957408206
vanilla,tvc100,friction_damping,2.0,friction_damping_2,30,1595.2923828211904,485.684224422799,1635.7130806505993,532.1178056401039,1597.7760871486796,516.2343134080195
vanilla,tvc100,friction_mass,0.1,friction_mass_0p1,30,3417.0750402634008,257.10305003185033,3473.976966618077,253.75600728606733,3466.2807564642485,252.2609086684464
vanilla,tvc100,friction_mass,0.2,friction_mass_0p2,30,3443.505564567528,263.73985293057655,3533.752559947595,259.08622019042343,3520.17717006793,256.35497500293457
vanilla,tvc100,friction_mass,0.3,friction_mass_0p3,30,3190.5236274805916,266.79951706029624,3409.551011481702,271.5898257588154,3380.322279083128,268.402747814575
vanilla,tvc100,friction_mass,0.4,friction_mass_0p4,30,2523.717335361578,325.4753651747126,2786.1461100759243,414.6973845052058,2690.9977604434525,376.1391286392098
vanilla,tvc100,friction_mass,0.5,friction_mass_0p5,30,1768.9843227775807,372.8039464830584,1678.7071020474948,494.56950628668193,1717.6944866395486,444.35439978514125
vanilla,tvc100,friction_mass,0.6,friction_mass_0p6,30,1053.9266015626154,324.9527819559457,885.4674951313535,353.50394829183415,929.140637350769,348.62261454644926
vanilla,tvc100,friction_mass,0.7,friction_mass_0p7,30,714.710984597465,274.0260267920758,525.1616131668588,281.86078428759055,606.4819141854429,284.63310868598734
vanilla,tvc100,friction_mass,0.8,friction_mass_0p8,30,470.01597933060253,228.11213803471708,425.68951442782037,222.76200469109634,428.1411989476117,224.45675344139696
vanilla,tvc100,friction_mass,0.9,friction_mass_0p9,30,219.45179560602278,162.33770517882718,229.07427605090126,169.6304796406041,237.30178411002098,174.01880881314753
vanilla,tvc100,friction_mass,1.0,friction_mass_1,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc100,friction_mass,1.1,friction_mass_1p1,30,11.9079615089022,117.91999559445307,3.25962251946875,107.81186432112887,-6.861918318879003,107.8703112528941
vanilla,tvc100,friction_mass,1.3,friction_mass_1p3,30,1331.6960348686064,455.0738933851425,1219.4355011293349,507.95376089520755,1277.7833818182658,485.5424491011857
vanilla,tvc100,friction_mass,1.5,friction_mass_1p5,30,2644.5158486221812,424.91891936058545,2646.8628366174057,469.7632100865932,2660.6281918137643,448.1830983361378
vanilla,tvc100,friction_mass,1.7,friction_mass_1p7,30,3243.837536911547,278.925678280013,3346.625184409726,270.4402232350585,3316.2483360348097,276.16448036470416
vanilla,tvc100,friction_mass,2.0,friction_mass_2,30,3467.247303113868,257.2689069538279,3539.9637599031817,255.9798715119896,3528.698793825576,253.6449719801772
vanilla,tvc100,friction_mass_damping,0.1,friction_mass_damping_0p1,30,3404.792193261606,260.50394943905826,3480.503598174497,250.16227932966024,3475.5450327226677,255.30866552971472
vanilla,tvc100,friction_mass_damping,0.2,friction_mass_damping_0p2,30,3426.73022409129,255.8134654230697,3540.1262392094022,247.24499513108174,3531.123082564696,252.44205776265676
vanilla,tvc100,friction_mass_damping,0.3,friction_mass_damping_0p3,30,3220.4544654530077,265.0834848673668,3454.7920751370175,261.5883476461915,3419.788761739274,264.2778809773929
vanilla,tvc100,friction_mass_damping,0.4,friction_mass_damping_0p4,30,2510.00303363288,276.6278187623996,2754.5622797504243,393.51888517205595,2718.340122114056,337.52258425614747
