baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,tvc100,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc100,action_noise,0.05,action_noise_0p05,30,18.833802680411665,81.41296921004574,-7.296666440474638,22.682869361768734,-7.862800236262774,22.125696476535172
vanilla,tvc100,action_noise,0.1,action_noise_0p1,30,8.640670032016521,96.34866124027172,-8.224510944684623,47.33542073128913,-15.237712518624809,50.08200172226759
vanilla,tvc100,action_noise,0.2,action_noise_0p2,30,3.697855886821166,96.86324479865758,-22.93863217202077,60.64433447418294,-20.830478988787082,49.981963374618424
vanilla,tvc100,action_noise,0.3,action_noise_0p3,30,217.96304740010018,133.26074962119023,72.2406036814261,113.62341581003383,88.05530977754816,102.24526001511589
vanilla,tvc100,action_noise,0.5,action_noise_0p5,30,1673.3641416412959,310.42186813039575,1626.122133563951,376.8912994670501,1616.011491802659,369.96225352934
vanilla,tvc150,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc150,action_noise,0.05,action_noise_0p05,30,1.2839733631317434,79.74896051247784,6.02602533505166,40.41500733359014,-13.602236116537064,34.67097895186898
vanilla,tvc150,action_noise,0.1,action_noise_0p1,30,-53.010992668619565,96.20630886396458,-53.866553305476586,52.82953304636675,-69.99361546816425,50.06876803750352
vanilla,tvc150,action_noise,0.2,action_noise_0p2,30,-113.79272391632897,91.82553342239692,-123.66002953682207,72.80596049299857,-132.968837335698,59.39875665541748
vanilla,tvc150,action_noise,0.3,action_noise_0p3,30,57.51215197169686,129.39683903792996,-95.18731201278236,140.68048149128632,-76.02854202615235,122.3580999474451
vanilla,tvc150,action_noise,0.5,action_noise_0p5,30,1431.7452907358436,319.16185457426127,1391.7474476384073,388.4184394456167,1377.8069892872643,385.47704642360804
vanilla,tvc200,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc200,action_noise,0.05,action_noise_0p05,30,-9.593977157441847,114.58685221529579,-48.55629988536443,135.0258761263755,-26.422492723204886,126.0520373746941
vanilla,tvc200,action_noise,0.1,action_noise_0p1,30,-130.69312970561984,95.39193041236724,-159.25485837776532,199.05884020055416,-148.35146737015745,151.04622959256983
vanilla,tvc200,action_noise,0.2,action_noise_0p2,30,-248.56303200195103,150.49157140818,-247.3652424500936,255.5536567552048,-257.37314269166274,216.9949067739226
vanilla,tvc200,action_noise,0.3,action_noise_0p3,30,-236.36681859357842,173.0602829496558,-367.5271168338219,242.4311111866432,-349.7177571052396,224.3633032195716
vanilla,tvc200,action_noise,0.5,action_noise_0p5,30,891.915650522331,342.1824008048158,897.1231899763999,420.6124502621475,867.5704965446097,404.12657201175523
vanilla,tvc225,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc225,action_noise,0.05,action_noise_0p05,30,-35.57503150147561,118.5410250323524,-151.6357556665099,123.62021268162991,-112.41521329233301,110.1600074348897
vanilla,tvc225,action_noise,0.1,action_noise_0p1,30,-134.7518436384494,154.9807116048889,-240.40127403894337,195.4215432024474,-212.614203373659,183.73955388482204
vanilla,tvc225,action_noise,0.2,action_noise_0p2,30,-387.8779068985639,171.77342129383712,-512.3658183516351,226.35831113623698,-475.4636221470755,203.50740794240266
vanilla,tvc225,action_noise,0.3,action_noise_0p3,30,-385.66897450844834,194.6830218230821,-612.142450644628,232.3265766154378,-573.3371814826538,229.18738070531302
vanilla,tvc225,action_noise,0.5,action_noise_0p5,30,543.3309006274033,368.7240690335696,418.7087357273674,450.4671340833158,437.855940399547,438.25105815593287
vanilla,tvc250,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc250,action_noise,0.05,action_noise_0p05,30,46.74686860345278,118.86839102105674,42.76519564446872,122.49126234301433,18.390940154110847,120.40801874873624
vanilla,tvc250,action_noise,0.1,action_noise_0p1,30,-79.2448478492983,137.46593929241507,-35.90249369022748,143.7736686094302,-63.02862420429369,135.7548901987986
vanilla,tvc250,action_noise,0.2,action_noise_0p2,30,-250.1209946328354,142.15377041123378,-250.6342455687154,136.82269446924283,-261.68217241480204,139.15366336248795
vanilla,tvc250,action_noise,0.3,action_noise_0p3,30,-448.1033135750515,228.0556167346251,-707.5594641184184,291.5047506582516,-677.3146246592075,268.9715075349974
vanilla,tvc250,action_noise,0.5,action_noise_0p5,30,154.1051704464552,419.0849345440983,-111.75929910889187,531.2829475529592,-69.56045184167891,508.72690132032375
vanilla,tvc275,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc275,action_noise,0.05,action_noise_0p05,30,-13.821640771945969,91.98094171133056,-13.345640207499688,71.73582715373831,-42.99607669924083,75.94948909140498
vanilla,tvc275,action_noise,0.1,action_noise_0p1,30,-69.69169602981897,146.98437777849634,-78.19985737791897,112.3682679006371,-90.86999999545313,121.8369215731138
vanilla,tvc275,action_noise,0.2,action_noise_0p2,30,-284.93154296324974,171.07854664621925,-231.35811035644326,207.5352414502634,-241.84436968404606,194.79535393621538
vanilla,tvc275,action_noise,0.3,action_noise_0p3,30,-398.7227662524364,269.69149930634757,-465.3537602463854,315.2790897364708,-493.65493853808135,306.8184453494123
vanilla,tvc275,action_noise,0.5,action_noise_0p5,30,-5.849105793573669,537.2969852611875,-118.68345403693577,675.7798727270919,-147.67308427801606,650.5010182322513
vanilla,tvc300,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc300,action_noise,0.05,action_noise_0p05,30,12.013833606145106,114.89774439238614,10.069438475802448,18.37455334988327,-22.985630720935536,39.23899100668772
vanilla,tvc300,action_noise,0.1,action_noise_0p1,30,-39.58731047165357,120.30653349214188,-4.8600228293647625,53.23980611048352,-32.140666211825334,56.82148001656646
vanilla,tvc300,action_noise,0.2,action_noise_0p2,30,-192.43990683876186,138.62162959366808,-198.61211358330922,153.27989396146222,-172.9798417016443,129.63277582781586
vanilla,tvc300,action_noise,0.3,action_noise_0p3,30,-213.40919523082363,246.16506831362156,-328.2686052682971,287.85553206663667,-305.2679752908346,267.44476703396737
vanilla,tvc300,action_noise,0.5,action_noise_0p5,30,44.23117430845392,487.109421437827,-94.77558124149415,632.9838867047738,-129.51347940889738,591.0980572556907
vanilla,tvc400,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc400,action_noise,0.05,action_noise_0p05,30,27.707678523005338,99.51753144062758,12.791180014771195,14.95616102864579,-4.264253884686582,31.764736525549402
vanilla,tvc400,action_noise,0.1,action_noise_0p1,30,-1.4260104866665642,111.5011197820866,-0.7343982937621528,46.533555776260215,-10.158115723115763,48.12886995916024
vanilla,tvc400,action_noise,0.2,action_noise_0p2,30,-3.840390211351299,113.91346210098352,0.7864634072038825,47.67201508691245,3.944158445895323,34.81837218780273
vanilla,tvc400,action_noise,0.3,action_noise_0p3,30,22.466280492098697,132.49664630459543,14.334474644116911,55.71980448899584,20.01051613508511,59.867164146727475
vanilla,tvc400,action_noise,0.5,action_noise_0p5,30,266.5641383063332,276.35154683068254,331.1536472131563,304.51285708673873,294.40531954975717,307.0032559774244
vanilla,tvc500,action_noise,0.0,action_noise_0,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc500,action_noise,0.05,action_noise_0p05,30,16.559926487951262,89.27008133926628,6.254933571544636,18.098272906788353,-9.524358700205834,32.2881953153128
vanilla,tvc500,action_noise,0.1,action_noise_0p1,30,41.18204302377016,107.85910936272379,3.9349337334076835,49.022112944251106,-1.4603429906819732,49.84474762245801
vanilla,tvc500,action_noise,0.2,action_noise_0p2,30,14.600672155514447,119.71555561571236,3.8739814503634835,55.65622879349262,8.971022299049189,42.49494688521313
vanilla,tvc500,action_noise,0.3,action_noise_0p3,30,7.443131697413261,137.67940338010249,-7.898571133059757,91.25650894291385,-12.3035364809368,82.09592777324322
vanilla,tvc500,action_noise,0.5,action_noise_0p5,30,-90.99572673674864,321.6859658573943,-230.56600573220513,425.6672681611281,-223.46347853916535,404.87548632049044
