axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
actuator_gain,vanilla,3948.1651486990963,249.58057124223922,0.0,0.0,0,0
actuator_gain,tvc100,553.9384642397404,39.48543344544538,2134.1865682293787,276.43316333933984,14,15
actuator_gain,tvc150,782.1713333745902,90.12090190193163,1976.0127921108876,293.81031172966874,14,15
actuator_gain,tvc200,1435.5166992950415,198.95600234579214,1592.2526869752305,354.31373111414734,14,15
actuator_gain,tvc225,1885.680422797591,283.08140004628,1298.3409353038662,364.4608328762015,14,15
actuator_gain,tvc250,2802.9015842035838,293.6307692274993,692.4535513126775,357.68214379471306,13,15
actuator_gain,tvc275,3163.9136050095362,286.06980947293437,414.3329147847331,377.90323277682836,13,15
actuator_gain,tvc300,3561.4788350144986,126.66405573113616,235.6681674657274,354.57763548903023,14,15
actuator_gain,tvc400,4007.9395504694126,258.8385837958263,-12.076918909971555,184.44298922213224,6,15
actuator_gain,tvc500,3704.0919120846474,312.19088774510266,100.90766508688559,311.3650709268452,12,15
damping,vanilla,3956.082002008088,251.25395879891622,0.0,0.0,0,0
damping,tvc100,553.9384642397404,39.48543344544538,1.7179429049984387,48.287616797019275,7,15
damping,tvc150,782.1713333745902,90.12090190193163,-9.730568675781265,53.5553642654827,5,15
damping,tvc200,1435.5166992950415,198.95600234579214,1.5603787975567998,79.46741328073303,9,15
damping,tvc225,1885.680422797591,283.08140004628,5.4841684252886616,87.69821359894952,8,15
damping,tvc250,2802.9015842035838,293.6307692274993,31.82232308207823,101.72761473792815,12,15
damping,tvc275,3141.0477419135227,286.23802839517845,4.910794752004197,76.63435536262139,8,15
damping,tvc300,3561.4788350144986,126.66405573113616,-14.446384423957133,78.34568403096387,7,15
damping,tvc400,4007.9395504694126,258.8385837958263,-12.386748942988444,48.34961270675164,6,15
damping,tvc500,3704.0919120846474,312.19088774510266,-6.715369951648933,58.330563719937395,5,15
friction,vanilla,3948.1651486990963,249.58057124223922,0.0,0.0,0,0
friction,tvc100,559.060005262939,38.56459486502331,1256.4072492505934,255.1729517320542,15,15
friction,tvc150,782.1713333745902,90.12090190193163,1137.3162129563982,266.45175983814437,13,15
friction,tvc200,1435.5166992950415,198.95600234579214,903.0697802146537,290.30646678529536,14,15
friction,tvc225,1869.4403064205367,287.6413761766514,757.6802550167345,304.9290862359043,12,15
friction,tvc250,2799.868364343381,307.08587835318997,491.71116572229863,348.14241235447827,13,15
friction,tvc275,3141.0477419135227,286.23802839517845,322.689351171773,359.7959318186868,12,15
friction,tvc300,3565.1509181570304,133.60193820795598,272.036858833547,336.6403072564231,10,15
friction,tvc400,4007.9395504694126,258.8385837958263,39.98558877217051,177.1032161943144,10,15
friction,tvc500,3659.8703443641202,314.1545115803692,120.05160695217475,261.97023060412477,11,15
mass,vanilla,3948.1651486990963,249.58057124223922,0.0,0.0,0,0
mass,tvc100,553.9384642397404,39.48543344544538,1871.4125612410517,276.05802367558573,13,14
mass,tvc150,782.1713333745902,90.12090190193163,1772.3595591675823,289.5288192528936,13,14
mass,tvc200,1413.8011331447155,178.236588468425,1526.861295300528,327.87645991221746,13,14
mass,tvc225,1885.680422797591,283.08140004628,1222.025561895141,353.7188411536973,13,14
mass,tvc250,2802.9015842035838,293.6307692274993,652.659783355323,364.18658171116124,12,14
mass,tvc275,3141.0477419135227,286.23802839517845,404.1349212196827,365.060045357215,12,14
mass,tvc300,3561.4788350144986,126.66405573113616,225.54652090740964,356.10141039231996,13,14
mass,tvc400,4007.9395504694126,258.8385837958263,-35.94622690738036,198.44003264581244,4,14
mass,tvc500,3704.0919120846474,312.19088774510266,70.6348321357689,322.47267113497463,11,14
