baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,tvc100,actuator_gain,0.0,actuator_gain_0,30,3394.183889897459,259.73166426923285,3477.067545079429,247.98618170108213,3469.5256839045696,252.79302619212493
vanilla,tvc100,actuator_gain,0.1,actuator_gain_0p1,30,3641.0905917995833,262.3367752947548,3723.300696120483,250.8733815794082,3715.795256397466,255.6170719716466
vanilla,tvc100,actuator_gain,0.2,actuator_gain_0p2,30,3643.4306044459768,262.2464597230289,3726.676762622767,250.6121591220344,3718.842227371273,255.9354468709821
vanilla,tvc100,actuator_gain,0.3,actuator_gain_0p3,30,3585.2688762772977,255.58837423992145,3655.6923887470575,244.87101811576954,3652.304596117158,250.291934269086
vanilla,tvc100,actuator_gain,0.4,actuator_gain_0p4,30,3481.5047248526653,267.49655397071587,3559.804809977451,259.007882279495,3554.1240804513423,263.9891575965839
vanilla,tvc100,actuator_gain,0.5,actuator_gain_0p5,30,3409.8292301979222,271.8240398594622,3498.72239563897,259.6855933862659,3484.5235148762436,265.39476231732533
vanilla,tvc100,actuator_gain,0.6,actuator_gain_0p6,30,2971.8550326626,353.8839118228542,3006.433866188228,361.8278194904282,3020.5696634398937,348.85350681918794
vanilla,tvc100,actuator_gain,0.7,actuator_gain_0p7,30,2262.155081042716,400.1131290069754,2427.5555556960003,415.3342880537384,2397.366797321189,406.9910454939817
vanilla,tvc100,actuator_gain,0.8,actuator_gain_0p8,30,1079.1368685147922,423.4908090160369,1047.2615210485299,477.8882226318698,1076.4448958705286,460.1991125331939
vanilla,tvc100,actuator_gain,0.9,actuator_gain_0p9,30,-10.6908086399249,91.65438139273247,-49.7950410456078,43.66961875356457,-48.87465319924104,45.6195637547703
vanilla,tvc100,actuator_gain,1.0,actuator_gain_1,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc100,actuator_gain,1.1,actuator_gain_1p1,30,197.43906157484423,108.68599620017038,201.07314070051578,157.16120342624927,199.7826450763446,141.2289519423712
vanilla,tvc100,actuator_gain,1.3,actuator_gain_1p3,30,425.73414143137086,158.6952461955801,355.0818991229398,146.15862474805664,368.26617527185596,145.1274418083142
vanilla,tvc100,actuator_gain,1.5,actuator_gain_1p5,30,813.4261779038189,300.50248631058764,765.9797685256739,354.9521396837089,779.9431378357934,340.57360945228453
vanilla,tvc100,actuator_gain,1.7,actuator_gain_1p7,30,1274.143806190865,360.19046871675084,1116.9961506936882,439.0801275941464,1155.7474904932037,417.9379578586153
vanilla,tvc100,actuator_gain,2.0,actuator_gain_2,30,1844.2912452886899,370.05715407129367,1712.3318289637782,485.8276644779197,1766.2734373555045,447.2494651615012
vanilla,tvc100,damping,0.0,damping_0,30,4.767763218757583,61.078984322272056,14.479398243190106,39.342845045875414,14.366921564465798,53.975443644184104
vanilla,tvc100,damping,0.1,damping_0p1,30,-13.752448176555736,44.67401331705068,-3.7447788176539536,23.248054117983738,-7.6129909558213,30.241564435843713
vanilla,tvc100,damping,0.2,damping_0p2,30,-4.934042720592809,43.128356245876134,1.8364126725738648,25.002571131806636,0.37652594916833476,31.413927718965216
vanilla,tvc100,damping,0.3,damping_0p3,30,3.1605988823911275,44.77839615914035,10.647263040360858,29.25725342264525,17.792996453863868,50.942630829874844
vanilla,tvc100,damping,0.4,damping_0p4,30,20.499523574915727,54.358812951118225,6.093569907214684,26.88753021489233,11.518199921794434,46.84690489696664
vanilla,tvc100,damping,0.5,damping_0p5,30,45.20306858935098,54.621752057494184,41.78902312641567,48.42447633977838,35.695798363532006,51.595783675839336
vanilla,tvc100,damping,0.6,damping_0p6,30,-17.660116247201437,52.44651800194371,13.956329478436135,21.693259558044584,5.194087562209262,30.819053822234235
vanilla,tvc100,damping,0.7,damping_0p7,30,2.797472454754588,52.77547666872366,20.908790263764622,51.78099037643337,6.109574872598273,49.95104148463859
vanilla,tvc100,damping,0.8,damping_0p8,30,-15.378281133750404,45.29944116514222,10.085239402593363,25.935933888572578,4.153036320032283,38.231362171057945
vanilla,tvc100,damping,0.9,damping_0p9,30,-15.659093972730037,46.097277149304055,0.5333355390881612,20.539831225540016,-8.859162296788842,28.15895483354938
vanilla,tvc100,damping,1.0,damping_1,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc100,damping,1.1,damping_1p1,30,16.24896453762559,47.348804884491926,8.58598930262507,26.205824612449117,13.735712369581977,38.89914974143628
vanilla,tvc100,damping,1.3,damping_1p3,30,19.620205334858493,47.548661169317036,-5.205295763334946,17.133311596132184,0.47619486245802517,21.652726513357706
vanilla,tvc100,damping,1.5,damping_1p5,30,-0.1822509662064912,47.95486887558407,-9.189506486428407,25.77042862432707,-8.43086996695824,21.451243715293376
vanilla,tvc100,damping,1.7,damping_1p7,30,-9.94350324122823,42.76700424116015,-3.1169546933180547,16.10226510046084,5.0802292537181835,19.822704224917395
vanilla,tvc100,damping,2.0,damping_2,30,-9.01871655941236,39.43588474667061,-4.784172835163872,25.859795894198527,-9.96569272335383,21.08119704736096
vanilla,tvc100,friction,0.0,friction_0,30,3463.4498940489434,265.01210538156386,3536.761893495498,263.3400493500276,3530.481987742203,264.5308005937044
vanilla,tvc100,friction,0.1,friction_0p1,30,3463.7462408906936,257.5425848527155,3555.980892351566,254.33250461083605,3547.6514149691566,257.005488569005
vanilla,tvc100,friction,0.2,friction_0p2,30,3118.0046798162975,320.4029857405418,3176.82206960411,388.37068040388516,3214.064941845383,331.37919259253425
vanilla,tvc100,friction,0.3,friction_0p3,30,2464.044116982048,423.00892451408254,2491.0853520724663,466.65712948585326,2519.3075933768478,449.4607439901551
vanilla,tvc100,friction,0.4,friction_0p4,30,1591.1138446327689,345.22196929924894,1542.5230722820704,477.5747262244644,1579.6617993591528,412.27508818713954
vanilla,tvc100,friction,0.5,friction_0p5,30,762.4594917314446,287.28917399573396,676.2848646492098,329.0035631715283,694.8712006498888,322.38521978693007
vanilla,tvc100,friction,0.6,friction_0p6,30,345.5308362482375,197.02505648058852,361.8221781533568,275.18957774631673,343.96071677875887,250.63067390883788
vanilla,tvc100,friction,0.7,friction_0p7,30,186.37319383421863,100.1371751806014,69.03182387644243,53.116111455908076,90.32336485680356,71.00079437085357
vanilla,tvc100,friction,0.8,friction_0p8,30,17.63215230697815,64.70753300309116,12.283964916409206,33.42230423777009,19.69520812544097,51.750079919493665
vanilla,tvc100,friction,0.9,friction_0p9,30,16.726850347707238,59.06040044602962,8.895424408554145,37.38983189256866,31.712929020486126,54.80558993457554
vanilla,tvc100,friction,1.0,friction_1,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc100,friction,1.1,friction_1p1,30,32.50839022537352,105.86566551014826,53.9505703081524,103.54567306115679,46.63958027956931,104.28194787664074
vanilla,tvc100,friction,1.3,friction_1p3,30,191.9866265274613,187.85660335429264,153.93510152738145,174.7666994088292,165.0374022989471,176.68182002181044
vanilla,tvc100,friction,1.5,friction_1p5,30,558.7979897339495,338.1715027618732,543.5956040772901,351.0111661480872,551.1263377453805,350.72808382277566
vanilla,tvc100,friction,1.7,friction_1p7,30,991.0573433831789,381.5211789191145,928.8284433841883,411.834799192315,930.5666122934232,404.50245263718193
vanilla,tvc100,friction,2.0,friction_2,30,1642.6770880495974,494.7714165411871,1681.470739493977,532.6952747411823,1680.1049288197646,521.3907994392913
vanilla,tvc100,mass,0.1,mass_0p1,30,3412.7228234762197,259.928085144369,3489.15786862953,248.80330592003025,3483.801523444024,253.90561360026174
vanilla,tvc100,mass,0.2,mass_0p2,30,3356.27331917572,257.5064450481074,3508.608853921424,250.56383962363122,3490.1185029535604,256.8569835998341
vanilla,tvc100,mass,0.3,mass_0p3,30,3000.632310863532,257.98752414259917,3343.7418058638305,286.5205330171141,3304.8820516572837,277.27637653222394
vanilla,tvc100,mass,0.4,mass_0p4,30,2187.747868497826,317.62264354484654,2242.4548089362606,427.3062580921325,2249.005053705622,379.3715192394483
vanilla,tvc100,mass,0.5,mass_0p5,30,1609.5408804182798,377.0904162553197,1544.2884501978017,484.48766750569035,1539.8089482241196,442.1835311716146
vanilla,tvc100,mass,0.6,mass_0p6,30,968.7104558007838,357.58578854771963,900.6224840948964,413.07891391555046,912.5957765329352,386.53691936292523
vanilla,tvc100,mass,0.7,mass_0p7,30,686.0500878329474,235.26280518924102,588.9375752241353,273.77169150543546,593.4161676844687,248.38181030963517
vanilla,tvc100,mass,0.8,mass_0p8,30,379.8464951633688,147.10417756077848,355.02917342950957,176.17455923212742,357.89603394654995,155.54585046397713
vanilla,tvc100,mass,0.9,mass_0p9,30,193.36787866355,115.35558686663724,176.60897978373384,96.71175962747992,190.75393697258576,102.0542404121931
vanilla,tvc100,mass,1.0,mass_1,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc100,mass,1.1,mass_1p1,30,-18.8740718116043,92.99217827089097,-43.058787912404206,38.75351945587778,-43.21008108821914,44.3678392276212
vanilla,tvc100,mass,1.3,mass_1p3,30,1442.8220785204694,431.3953351012641,1370.7631401620642,490.58588860887295,1438.6105749576795,465.76811159404923
vanilla,tvc100,mass,1.5,mass_1p5,30,2510.441584454663,420.4298896980599,2554.5958462686335,437.0077644795847,2574.353287692788,423.5299061897611
vanilla,tvc100,mass,1.7,mass_1p7,30,3079.557961295948,317.9534002237975,3161.757406497903,319.1180884602571,3171.1639658800077,304.44638196595
vanilla,tvc100,mass,2.0,mass_2,30,3390.9361850230157,276.5980558645694,3499.6430854834684,259.778340673194,3485.0535752176197,264.2015539923745
vanilla,tvc150,actuator_gain,0.0,actuator_gain_0,30,3165.9855797579726,280.49758193817445,3258.172804928904,266.4644782696272,3249.1572195054737,270.97177548101035
vanilla,tvc150,actuator_gain,0.1,actuator_gain_0p1,30,3283.7713015211766,290.48171056150926,3374.780661730603,276.43711942529575,3365.6215408460876,280.844998181549
vanilla,tvc150,actuator_gain,0.2,actuator_gain_0p2,30,3306.4801465427,290.7241653996628,3399.5804449585703,275.6209039062911,3389.221593770475,279.78796634596546
vanilla,tvc150,actuator_gain,0.3,actuator_gain_0p3,30,3285.3873160211324,285.4049859266656,3368.587876947627,270.4348709357681,3363.8170785269276,275.2399310288338
vanilla,tvc150,actuator_gain,0.4,actuator_gain_0p4,30,3195.976474205784,309.711775897128,3290.044367014123,295.9473455268602,3281.71620946532,300.5158257570689
vanilla,tvc150,actuator_gain,0.5,actuator_gain_0p5,30,3132.4118031244643,303.68050285788274,3232.8220994494627,284.5957655884929,3217.1572268492205,290.920599643354
vanilla,tvc150,actuator_gain,0.6,actuator_gain_0p6,30,2681.9469435482038,377.27615762603733,2726.7893910590115,376.901060724712,2739.093513597154,367.6277796092971
vanilla,tvc150,actuator_gain,0.7,actuator_gain_0p7,30,2024.1936549390764,425.9071930595509,2202.5579892817577,433.79162854889177,2170.673942250098,426.5949558145765
vanilla,tvc150,actuator_gain,0.8,actuator_gain_0p8,30,882.7189610996229,452.82749564666545,842.6052070560515,508.5669009954788,876.7611379294206,489.00996472146704
vanilla,tvc150,actuator_gain,0.9,actuator_gain_0p9,30,-134.141607177929,106.94191314319644,-176.5302005769052,76.12718330145547,-175.06452891437277,73.00215633570645
vanilla,tvc150,actuator_gain,1.0,actuator_gain_1,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc150,actuator_gain,1.1,actuator_gain_1p1,30,239.3884890408608,120.80591671630425,234.46661002189413,176.87438001813965,237.0302542549658,158.61966200502528
vanilla,tvc150,actuator_gain,1.3,actuator_gain_1p3,30,533.067935166398,182.49539196464477,432.66530930425114,181.69065820016297,457.42106010879513,178.81805215162467
vanilla,tvc150,actuator_gain,1.5,actuator_gain_1p5,30,925.8734016491095,292.91372934827433,847.4279748054568,351.7871247973485,858.3613549679902,334.6773874268184
vanilla,tvc150,actuator_gain,1.7,actuator_gain_1p7,30,1333.524067826793,332.7933389104765,1140.3821827632046,406.3213568103686,1191.6670602554607,388.8620200908679
vanilla,tvc150,actuator_gain,2.0,actuator_gain_2,30,1783.6074143979447,354.6928169488591,1643.7034230869206,473.863765347578,1695.2764759263353,436.5568117758183
vanilla,tvc150,damping,0.0,damping_0,30,-2.065845003530387,65.2456035903107,14.758576346078103,43.326577508145164,8.572495443586918,56.74515729987789
vanilla,tvc150,damping,0.1,damping_0p1,30,-8.333198651475815,44.678467970928835,13.109537377752288,32.387327384887314,9.026796177884451,38.129804034795995
vanilla,tvc150,damping,0.2,damping_0p2,30,4.404870988918754,48.05724626724254,20.361476663579616,36.2451962404359,16.425073691497595,34.059697176520835
vanilla,tvc150,damping,0.3,damping_0p3,30,13.248363575916937,54.82220539839381,14.813492216457586,37.50391970306474,25.411738233415203,49.01346981301201
vanilla,tvc150,damping,0.4,damping_0p4,30,31.945962092455673,52.57669482464226,22.543132668025784,26.604918668101963,24.478643651521846,40.30754839014364
vanilla,tvc150,damping,0.5,damping_0p5,30,36.117561641054984,55.22807012776309,31.318684549858403,51.58887223071069,25.843304436006893,54.291081149877876
vanilla,tvc150,damping,0.6,damping_0p6,30,-37.809732915358644,53.88785662621381,-8.158473797998173,25.18326941430985,-23.15493781840618,36.761073928504835
vanilla,tvc150,damping,0.7,damping_0p7,30,-26.790427458738048,56.97632403836783,-5.672210785318083,58.35568086169194,-20.160699373009507,52.404037447671215
vanilla,tvc150,damping,0.8,damping_0p8,30,-53.23572248650545,50.87450775108562,-30.660835070467257,33.388811495298796,-37.420651185691284,43.56876314387962
vanilla,tvc150,damping,0.9,damping_0p9,30,-14.155352637327136,55.814002201234345,0.9420583433879055,35.980643669693386,-7.734519729416708,40.84653002510425
vanilla,tvc150,damping,1.0,damping_1,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc150,damping,1.1,damping_1p1,30,3.065823785434467,54.386273154065584,2.0425485859615717,38.31468831415581,-1.7215709282142542,39.10244976765986
vanilla,tvc150,damping,1.3,damping_1p3,30,-14.353241598823779,49.351055591596825,-30.087066935760525,25.729271752531712,-26.981097456595695,28.151665763521564
vanilla,tvc150,damping,1.5,damping_1p5,30,-32.51492077536905,59.859564313689035,-20.778099067546307,24.979993437764552,-31.028572857263764,26.216508064290306
vanilla,tvc150,damping,1.7,damping_1p7,30,-26.428725101394647,51.52448662156146,3.5617985450075613,54.13715456421135,-6.790906390180487,44.73404841709154
vanilla,tvc150,damping,2.0,damping_2,30,-19.053945591976863,50.048105505144825,-7.765277820981386,29.968412021362543,-18.021827670722278,26.37585508270039
vanilla,tvc150,friction,0.0,friction_0,30,3190.5106642060064,283.698963651585,3280.5241286461232,270.07612007688624,3273.031659556789,274.7483203224443
vanilla,tvc150,friction,0.1,friction_0p1,30,3173.254751612479,283.5701867612753,3279.5500457509584,269.1449875569823,3270.5890599716045,273.8695996218328
vanilla,tvc150,friction,0.2,friction_0p2,30,2838.6965415768404,311.02970136836365,2906.213824937127,358.6017075225629,2943.6106227054197,310.7295505407899
