baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,tvc100,foot_left_actuator_gain,0.0,foot_left_actuator_gain_0,30,3372.2324823708227,276.14510689049735,3473.8229097774156,262.99007031365505,3461.783769694479,267.073748790147
vanilla,tvc100,foot_left_actuator_gain,0.1,foot_left_actuator_gain_0p1,30,2971.7114498248875,452.3058446391971,3071.404363424393,463.62050449944957,3052.4727249239054,456.0843539751298
vanilla,tvc100,foot_left_actuator_gain,0.2,foot_left_actuator_gain_0p2,30,2864.023925455562,468.69152532794925,2999.4262807133714,461.3318595272002,2970.499068369839,458.68402971430237
vanilla,tvc100,foot_left_actuator_gain,0.3,foot_left_actuator_gain_0p3,30,2524.9058613364377,513.4974564845504,2622.1115085957986,509.0107966009927,2623.5367630094347,504.60257736411126
vanilla,tvc100,foot_left_actuator_gain,0.4,foot_left_actuator_gain_0p4,30,2338.5073784395895,532.7281494106813,2448.3605440448578,547.9016628631845,2451.2568288486277,538.4748981517035
vanilla,tvc100,foot_left_actuator_gain,0.5,foot_left_actuator_gain_0p5,30,1885.8236251538547,505.9206425576453,1986.1121828437474,537.3716809943325,1965.9700717737992,516.0690160232084
vanilla,tvc100,foot_left_actuator_gain,0.6,foot_left_actuator_gain_0p6,30,1293.0985764436498,502.70673601322875,1240.1918758670538,555.7975199842199,1254.8685068841894,542.8078641071002
vanilla,tvc100,foot_left_actuator_gain,0.7,foot_left_actuator_gain_0p7,30,630.2497869904208,357.57103325635586,518.0140202121921,411.3475811629236,540.8046561078812,392.92383953848616
vanilla,tvc100,foot_left_actuator_gain,0.8,foot_left_actuator_gain_0p8,30,133.19832702035384,199.16979818865732,112.59891146534748,209.51759320186804,132.34193322562243,207.4738989796873
vanilla,tvc100,foot_left_actuator_gain,0.9,foot_left_actuator_gain_0p9,30,-50.162185452149906,67.87091504595361,-35.02754501424806,31.812518996135104,-35.78625106567661,34.82431928344025
vanilla,tvc100,foot_left_actuator_gain,1.0,foot_left_actuator_gain_1,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc100,foot_left_actuator_gain,1.1,foot_left_actuator_gain_1p1,30,114.62221030426281,98.58557578003195,168.52117334443554,150.48281648687862,161.3875455747847,137.04938842267558
vanilla,tvc100,foot_left_actuator_gain,1.3,foot_left_actuator_gain_1p3,30,228.2807690223717,137.45537805399343,226.32378518216777,183.8988167770481,233.86549838310737,165.0412094181959
vanilla,tvc100,foot_left_actuator_gain,1.5,foot_left_actuator_gain_1p5,30,351.55165839539234,131.60759073732544,293.91991983800403,206.0756038328265,298.17652545461254,168.65939319263467
vanilla,tvc100,foot_left_actuator_gain,1.7,foot_left_actuator_gain_1p7,30,501.2534644645888,196.52184481896143,391.0431394637279,178.17419444839362,401.25496191392534,182.99321961478336
vanilla,tvc100,foot_left_actuator_gain,2.0,foot_left_actuator_gain_2,30,736.2975788515622,263.51641539939453,583.111525566151,278.70859412059576,648.3619840439512,260.67245394253047
vanilla,tvc100,foot_left_damping,0.0,foot_left_damping_0,30,-3.2242005177582636,37.04953950263681,4.685677013312689,27.774704379208533,9.371894666729576,28.142134009055333
vanilla,tvc100,foot_left_damping,0.1,foot_left_damping_0p1,30,31.525603705920673,37.7099814995576,22.748877267726094,45.524675305467156,29.626641722285985,46.18611825017401
vanilla,tvc100,foot_left_damping,0.2,foot_left_damping_0p2,30,-0.3087007121651936,37.9523741705421,25.928554584095664,35.11516309737205,27.03183467735926,41.43361560078831
vanilla,tvc100,foot_left_damping,0.3,foot_left_damping_0p3,30,19.80764167319096,28.751484317209695,11.721448532278554,19.46522287204362,24.284588079631234,26.504055684376844
vanilla,tvc100,foot_left_damping,0.4,foot_left_damping_0p4,30,27.18718451664892,40.35266349893736,20.588871482253293,22.123651099886775,20.699244593590244,17.957069547444917
vanilla,tvc100,foot_left_damping,0.5,foot_left_damping_0p5,30,12.043599874762265,54.4019426603856,3.511120574954227,22.07962650507129,6.361014180176835,20.646453903772453
vanilla,tvc100,foot_left_damping,0.6,foot_left_damping_0p6,30,-20.32646242089786,37.34306905675598,-7.2333100536643675,33.79285245553655,-2.013405249777969,34.376361152184664
vanilla,tvc100,foot_left_damping,0.7,foot_left_damping_0p7,30,20.050180974923492,35.40726218825926,18.194346596424914,20.497618968270004,25.633515418289434,25.946333624754747
vanilla,tvc100,foot_left_damping,0.8,foot_left_damping_0p8,30,-8.951409201594213,33.530216445009025,-0.11536565527040542,24.84605274331379,-3.3912504213426113,22.6765729596651
vanilla,tvc100,foot_left_damping,0.9,foot_left_damping_0p9,30,26.80444928018043,33.975559346880345,10.828552709353694,19.25305599152818,26.371407159918274,35.28980848290736
vanilla,tvc100,foot_left_damping,1.0,foot_left_damping_1,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc100,foot_left_damping,1.1,foot_left_damping_1p1,30,17.015402415495068,55.41238035593768,-0.7919276170817094,17.08670266277323,9.966365799536442,27.378839925882403
vanilla,tvc100,foot_left_damping,1.3,foot_left_damping_1p3,30,17.383400271026396,46.121110161651224,14.799400172509413,18.93634153649075,21.434937969805734,23.471588489051268
vanilla,tvc100,foot_left_damping,1.5,foot_left_damping_1p5,30,8.564197057771858,35.0627153766702,14.788541515066019,29.292830163292574,21.07225772146398,34.334520779869955
vanilla,tvc100,foot_left_damping,1.7,foot_left_damping_1p7,30,8.555554625042499,30.10893996487293,-1.8871381811242032,25.01418412037559,6.5739947938232905,25.78261994600382
vanilla,tvc100,foot_left_damping,2.0,foot_left_damping_2,30,-17.248288312973607,47.20546768509351,-16.500450822741207,23.181461933118175,-15.989764558853063,21.54665252204628
vanilla,tvc100,foot_left_friction,0.0,foot_left_friction_0,30,242.89553613567605,189.7681590047503,149.46924094193412,174.24388153491364,150.81276938963893,181.5462641203077
vanilla,tvc100,foot_left_friction,0.1,foot_left_friction_0p1,30,232.67406426391196,197.0671013315824,147.5300743000993,174.81138972235695,152.58192948480948,180.60916536047537
vanilla,tvc100,foot_left_friction,0.2,foot_left_friction_0p2,30,222.5013466853429,184.42484136042611,138.8576743227462,160.7425090389925,135.8191805412601,164.05076989672312
vanilla,tvc100,foot_left_friction,0.3,foot_left_friction_0p3,30,222.5013466853429,184.42484136042611,138.8576743227462,160.7425090389925,135.8191805412601,164.05076989672312
vanilla,tvc100,foot_left_friction,0.4,foot_left_friction_0p4,30,178.55291822731752,176.14321759105206,129.5669035273918,173.20693544796322,132.64211378142693,169.6418362650879
vanilla,tvc100,foot_left_friction,0.5,foot_left_friction_0p5,30,77.49125679142324,98.49241444458059,15.835977500833028,72.63224477466862,22.406295491530347,70.32245813928951
vanilla,tvc100,foot_left_friction,0.6,foot_left_friction_0p6,30,16.759264750826063,71.14161528346534,-1.4173068710015437,42.489003398965075,-11.040083317411115,48.77719077686813
vanilla,tvc100,foot_left_friction,0.7,foot_left_friction_0p7,30,-15.155501281663447,66.73600812312036,-5.197847684083252,36.021038519895455,-15.835490873330892,44.76793014716794
vanilla,tvc100,foot_left_friction,0.8,foot_left_friction_0p8,30,-7.451517305319224,61.82901559778584,0.7556106347467827,33.5629163282431,-8.258897362205238,41.16425804532318
vanilla,tvc100,foot_left_friction,0.9,foot_left_friction_0p9,30,23.92927375752926,45.263504359985184,25.6501485176724,35.86457873507975,28.037287194912174,51.4922388066332
vanilla,tvc100,foot_left_friction,1.0,foot_left_friction_1,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc100,foot_left_friction,1.1,foot_left_friction_1p1,30,50.85455977861976,78.73399330802727,40.462015527562535,72.08333157729928,34.49004744296188,69.44997584963079
vanilla,tvc100,foot_left_friction,1.3,foot_left_friction_1p3,30,275.6069163467984,181.6668323242397,222.10320960696797,205.77226155629458,236.9222812929605,200.20959755845652
vanilla,tvc100,foot_left_friction,1.5,foot_left_friction_1p5,30,607.7393269206793,315.28128334461036,625.3049816546088,353.86794077951345,607.8334773711924,341.02161721801235
vanilla,tvc100,foot_left_friction,1.7,foot_left_friction_1p7,30,1101.477188463709,390.26763019356247,1076.355668497559,425.2096564304606,1076.8001923090721,417.09293556042394
vanilla,tvc100,foot_left_friction,2.0,foot_left_friction_2,30,1942.6636119852478,462.9586482422892,1994.0481462621801,504.41268347197337,1986.7448476553534,495.40230261939536
vanilla,tvc100,foot_left_mass,0.1,foot_left_mass_0p1,30,1454.3066594063434,417.1307390745873,1386.3594993462457,483.28712638878244,1408.1446873134898,469.9111498855193
vanilla,tvc100,foot_left_mass,0.2,foot_left_mass_0p2,30,1076.8633240623208,348.4893418078821,880.3254340286429,419.30213691994817,982.753629301642,393.09918988979246
vanilla,tvc100,foot_left_mass,0.3,foot_left_mass_0p3,30,579.3210989705997,317.80337074971976,508.1610169267806,375.80580225340367,515.289839406316,362.7121135625068
vanilla,tvc100,foot_left_mass,0.4,foot_left_mass_0p4,30,423.2556218949488,276.657149948499,314.88918654075485,290.1423736025045,365.4527709996331,282.21450133439646
vanilla,tvc100,foot_left_mass,0.5,foot_left_mass_0p5,30,246.2460301571654,221.09544928695254,166.8823779526194,224.65298003037634,182.11153796513645,225.31712325543555
vanilla,tvc100,foot_left_mass,0.6,foot_left_mass_0p6,30,132.74204839964506,154.50583197700797,128.89006970061865,203.47914670496425,129.54129075791465,188.20103048651052
vanilla,tvc100,foot_left_mass,0.7,foot_left_mass_0p7,30,32.260163250480495,126.81795735001495,75.46950084523084,175.7459421059606,62.70530361232134,151.25574380227638
vanilla,tvc100,foot_left_mass,0.8,foot_left_mass_0p8,30,-3.1360481274793246,75.26089960357082,23.15042942897457,70.6559030720079,22.471856671755226,56.79623769702433
vanilla,tvc100,foot_left_mass,0.9,foot_left_mass_0p9,30,42.83393558024407,50.61132999508863,24.341484801476266,42.47664254338064,39.83121011560846,52.27038277770767
vanilla,tvc100,foot_left_mass,1.0,foot_left_mass_1,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc100,foot_left_mass,1.1,foot_left_mass_1p1,30,10.027934401515475,48.16550398204603,12.708282331293868,17.799305659709532,18.75265496887969,20.597649857614446
vanilla,tvc100,foot_left_mass,1.3,foot_left_mass_1p3,30,60.513515785969275,90.04181118595801,97.35375743206578,69.14938572281778,90.26877043465376,71.78900651904546
vanilla,tvc100,foot_left_mass,1.5,foot_left_mass_1p5,30,133.70579416849176,109.8303911438537,160.79493803810553,97.6757515707814,159.22943752395696,91.0427646434949
vanilla,tvc100,foot_left_mass,1.7,foot_left_mass_1p7,30,287.3055479288988,196.24381228225647,306.41734241636726,218.9276363549607,301.6704868128018,216.58187395702245
vanilla,tvc100,foot_left_mass,2.0,foot_left_mass_2,30,438.4633809467378,239.68398583496213,438.03987078962314,250.52796105050578,438.49583238271475,242.76208537969816
vanilla,tvc100,leg_left_actuator_gain,0.0,leg_left_actuator_gain_0,30,2925.8291617849177,355.57645119060487,3052.9951331803672,355.05376604878666,3038.4357522450296,357.0118656236226
vanilla,tvc100,leg_left_actuator_gain,0.1,leg_left_actuator_gain_0p1,30,2347.3882585606343,388.98179126511997,2471.488887189254,436.52186011297084,2435.067065084845,427.94806374938094
vanilla,tvc100,leg_left_actuator_gain,0.2,leg_left_actuator_gain_0p2,30,1394.1126206141187,346.8720913606801,1443.9904795007646,409.7090327366826,1407.8107659941788,393.43498587437864
vanilla,tvc100,leg_left_actuator_gain,0.3,leg_left_actuator_gain_0p3,30,671.4684957409768,276.2985419437041,591.5856098546021,328.7601519313877,602.7794434226066,316.08222272641336
vanilla,tvc100,leg_left_actuator_gain,0.4,leg_left_actuator_gain_0p4,30,305.5075151004752,202.98440543956792,318.59320928947585,233.40424134869681,317.5228738634538,225.8309024179585
vanilla,tvc100,leg_left_actuator_gain,0.5,leg_left_actuator_gain_0p5,30,144.2070002871083,181.52305322885167,203.87452331513344,219.1748976904667,195.32546594401518,218.58276888821766
vanilla,tvc100,leg_left_actuator_gain,0.6,leg_left_actuator_gain_0p6,30,48.025658112725175,64.64836110327906,49.729079530329166,64.67036980962514,50.173707983091184,62.34535452725438
vanilla,tvc100,leg_left_actuator_gain,0.7,leg_left_actuator_gain_0p7,30,-6.273983575291212,52.2738629998013,-5.262696032361955,30.32076060628588,17.580877113244192,31.523345241563757
vanilla,tvc100,leg_left_actuator_gain,0.8,leg_left_actuator_gain_0p8,30,-6.124187704653436,36.42391084367168,3.3918880592874774,20.404253608675347,14.511826210777038,22.760822313509504
vanilla,tvc100,leg_left_actuator_gain,0.9,leg_left_actuator_gain_0p9,30,-21.53390482363069,39.32620170493903,-7.056592148967441,23.14028481744926,-5.511454752682833,19.087625884474313
vanilla,tvc100,leg_left_actuator_gain,1.0,leg_left_actuator_gain_1,30,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,tvc100,leg_left_actuator_gain,1.1,leg_left_actuator_gain_1p1,30,11.644199322746935,74.67029897796098,22.77277588211332,81.99526864462521,18.241824701087943,64.69905020383969
vanilla,tvc100,leg_left_actuator_gain,1.3,leg_left_actuator_gain_1p3,30,49.53731730857006,90.38915185266653,41.63212159741248,70.05081243060293,42.73943881034909,73.88852815696868
