env_id,axis,stress_factor,best_model_by_median_return,best_median_return,vanilla_median_return,best_minus_vanilla_median
Walker2d-v5,action_noise,0.5,tvc400,2600.838649524166,2139.37224159283,461.4664079313361
Walker2d-v5,action_replace,0.5,tvc100,297.09774730389233,161.26075104005815,135.83699626383418
Walker2d-v5,actuator_gain,0.5,tvc100,349.91401477201146,325.6747490187712,24.23926575324026
Walker2d-v5,damping,0.5,tvc400,4142.271504644696,4013.1775944179194,129.0939102267762
Walker2d-v5,foot_left_actuator_gain,0.5,vanilla,1464.857507173176,1464.857507173176,0.0
Walker2d-v5,foot_left_damping,0.5,tvc400,4139.168964789875,4049.1106710322033,90.05829375767144
Walker2d-v5,foot_left_friction,0.5,tvc400,4078.3457604438854,3911.8297266327518,166.51603381113364
Walker2d-v5,foot_left_mass,0.5,tvc400,4088.1703933808412,3976.0893772294967,112.08101615134456
Walker2d-v5,friction,0.5,tvc400,3689.6376677765447,3496.8475293916713,192.79013838487344
Walker2d-v5,friction_damping,0.5,tvc400,3719.1649493113814,3470.272098227405,248.89285108397644
Walker2d-v5,friction_mass,0.5,tvc300,2429.8004739210505,2203.4482463232325,226.352227597818
Walker2d-v5,friction_mass_damping,0.5,tvc300,2368.371950376701,2284.5169833772125,83.85496699948862
Walker2d-v5,leg_left_actuator_gain,0.5,tvc400,4033.4141678730302,3978.6930953818332,54.72107249119699
Walker2d-v5,leg_left_damping,0.5,tvc400,4143.836254752122,4021.7579060358157,122.07834871630621
Walker2d-v5,leg_left_mass,0.5,tvc400,4103.084538681724,4041.7905599345404,61.293978747183246
Walker2d-v5,mass,0.5,vanilla,2550.461643743606,2550.461643743606,0.0
Walker2d-v5,mass_damping,0.5,vanilla,2678.2127424903406,2678.2127424903406,0.0
Walker2d-v5,thigh_left_actuator_gain,0.5,tvc400,3584.69851692192,3517.2143365901143,67.48418033180587
Walker2d-v5,thigh_left_damping,0.5,tvc400,4153.282108467665,4080.943150022158,72.33895844550716
Walker2d-v5,thigh_left_mass,0.5,tvc400,3986.225283476316,3827.705823189248,158.5194602870679
