env_id,model_label,comparison,reliability_auc_delta,catastrophe_recovery_area,catastrophe_harm_area,dominance_threshold_fraction,strict_improvement_threshold_fraction,worst_survival_delta,worst_survival_delta_threshold,max_survival_delta,max_survival_delta_threshold
Walker2d-v5,tvc400,tvc400_minus_vanilla,0.007687916666666664,0.007783908730158728,9.599206349206347e-05,0.9154228855721394,0.9154228855721394,-0.002642857142857147,0.07,0.07503968253968255,1.0
Walker2d-v5,vanilla,vanilla_minus_vanilla,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Walker2d-v5,tvc500,tvc500_minus_vanilla,-0.045941527777777776,1.2698412698412814e-06,0.04594279761904761,0.009950248756218905,0.009950248756218905,-0.13014285714285714,0.925,0.00019047619047619092,0.07
Walker2d-v5,tvc300,tvc300_minus_vanilla,-0.0529107738095238,0.005322142857142857,0.05823291666666666,0.5472636815920398,0.5472636815920398,-0.3202936507936508,0.93,0.02073809523809524,0.24
Walker2d-v5,tvc275,tvc275_minus_vanilla,-0.1355147619047619,0.0,0.1355147619047619,0.0,0.0,-0.38064285714285717,0.935,-0.00011111111111111738,0.005
Walker2d-v5,tvc250,tvc250_minus_vanilla,-0.1898011507936508,4.162698412698395e-05,0.18984277777777778,0.03482587064676617,0.03482587064676617,-0.4630873015873016,0.88,0.0017936507936507917,0.02
Walker2d-v5,tvc225,tvc225_minus_vanilla,-0.34933117063492064,7.65873015873014e-06,0.3493388293650793,0.014925373134328358,0.014925373134328358,-0.5959603174603174,0.8,0.001103174603174606,0.04
Walker2d-v5,tvc200,tvc200_minus_vanilla,-0.4262364484126984,0.0,0.4262364484126984,0.0,0.0,-0.6526269841269842,0.675,-0.0006666666666666655,0.0
Walker2d-v5,tvc150,tvc150_minus_vanilla,-0.5473469841269841,0.00020857142857142857,0.5475555555555556,0.05472636815920398,0.05472636815920398,-0.727047619047619,0.35000000000000003,0.006912698412698415,0.04
Walker2d-v5,tvc100,tvc100_minus_vanilla,-0.5833467261904761,0.0014530952380952384,0.5847998214285715,0.0845771144278607,0.0845771144278607,-0.7793968253968254,0.21,0.027095238095238082,0.06
