model_label,n_seeds,training_return_auc__median,training_return_auc__q25,training_return_auc__q75,final__charts/episodic_return__median,final__charts/episodic_return__q25,final__charts/episodic_return__q75,final__charts/episodic_length__median,final__charts/episodic_length__q25,final__charts/episodic_length__q75,final__eval/episodic_return__median,final__eval/episodic_return__q25,final__eval/episodic_return__q75,final__losses/qf_loss__median,final__losses/qf_loss__q25,final__losses/qf_loss__q75,final__losses/actor_loss__median,final__losses/actor_loss__q25,final__losses/actor_loss__q75,final__losses/qf1_values__median,final__losses/qf1_values__q25,final__losses/qf1_values__q75,final__targets/min_q_next_p95_pre_clip__median,final__targets/min_q_next_p95_pre_clip__q25,final__targets/min_q_next_p95_pre_clip__q75,final__targets/td_target_mean__median,final__targets/td_target_mean__q25,final__targets/td_target_mean__q75,final__robust/td3_q_target_clip_fraction__median,final__robust/td3_q_target_clip_fraction__q25,final__robust/td3_q_target_clip_fraction__q75,mean__robust/td3_q_target_clip_fraction__median,mean__robust/td3_q_target_clip_fraction__q25,mean__robust/td3_q_target_clip_fraction__q75,max__robust/td3_q_target_clip_fraction__median,max__robust/td3_q_target_clip_fraction__q25,max__robust/td3_q_target_clip_fraction__q75,first_step__robust/td3_q_target_clip_fraction__ge_0p01__median,first_step__robust/td3_q_target_clip_fraction__ge_0p01__q25,first_step__robust/td3_q_target_clip_fraction__ge_0p01__q75,final__robust/td3_q_target_excess_mean__median,final__robust/td3_q_target_excess_mean__q25,final__robust/td3_q_target_excess_mean__q75,final_q_p95_over_cap__median,final_q_p95_over_cap__q25,final_q_p95_over_cap__q75,cap_active_final_fraction,cap_active_ever_fraction
vanilla,30,2418.4199848394746,2107.3316208215383,2880.3685845224522,4100.6744384765625,3846.096466064453,4354.599365234375,1000.0,1000.0,1000.0,4113.0985107421875,3945.307403564453,4426.924377441406,18.232189178466797,14.344502687454224,24.880593299865723,-292.04632568359375,-313.6252670288086,-269.9736022949219,289.08042907714844,266.86580657958984,311.6587371826172,380.47288513183594,353.70018005371094,406.6468276977539,289.1675720214844,266.9187469482422,311.71429443359375,,,,,,,,,,,,,,,,,,,,
tvc100,30,507.90581307464686,471.6137063402969,524.5753018270509,562.7786712646484,527.268913269043,615.6151580810547,244.0,229.0,276.0,587.2723236083984,512.3676490783691,646.1309661865234,3.3400776386260986,2.6856738328933716,4.065195262432098,-94.52386093139648,-95.00937461853027,-94.30696678161621,93.9080581665039,93.61272621154785,94.21891593933105,102.26192092895508,102.14842796325684,102.43697547912598,93.93746566772461,93.61675834655762,94.21171188354492,0.6953125,0.65625,0.7216796875,0.5246742053672171,0.5049619472189455,0.5550786659208636,0.798828125,0.779296875,0.8154296875,52100.0,49800.0,54375.0,0.6474540531635284,0.6125625371932983,0.6998292207717896,1.0226192092895507,1.0214842796325683,1.0243697547912598,1.0,1.0
tvc150,30,612.4842649506262,533.8374676605065,665.7128250448702,752.7230682373047,653.8340835571289,901.700798034668,244.5,208.25,274.25,837.3461608886719,664.5051727294922,1094.833137512207,8.65450143814087,6.855476379394531,10.069526672363281,-137.05221557617188,-138.40265655517578,-134.92314529418945,135.40459442138672,133.62492752075195,137.11162185668945,152.67051696777344,152.3878402709961,152.82333755493164,135.4438934326172,133.626220703125,137.09569931030273,0.44140625,0.412109375,0.482421875,0.2745283570750846,0.24441409054774849,0.31491340858677813,0.55078125,0.5283203125,0.5927734375,114850.0,81500.0,151750.0,0.6353736817836761,0.5630120784044266,0.7827279269695282,1.0178034464518229,1.015918935139974,1.018822250366211,1.0,1.0
tvc200,30,1089.7584615600033,822.8932648865649,1304.026585172193,1381.1932983398438,970.2362518310547,1703.2938842773438,372.0,297.5,439.875,1403.7831726074219,1066.7634735107422,1851.732192993164,12.706336975097656,10.236446380615234,16.280277729034424,-179.30233764648438,-181.26205825805664,-176.37310791015625,177.60728454589844,174.52918243408203,179.4899787902832,202.60360717773438,202.16007614135742,202.84245681762695,177.59589385986328,174.50790405273438,179.5152702331543,0.361328125,0.32421875,0.39453125,0.1692319003872192,0.15297011632603344,0.22804061634526618,0.4609375,0.4228515625,0.5029296875,217950.0,189175.0,249375.0,0.5301524996757507,0.4740850180387497,0.6361996829509735,1.0130180358886718,1.0108003807067871,1.014212284088135,1.0,1.0
tvc225,30,1245.813930746359,1031.157362676775,1732.7249074588315,1709.220703125,1153.7321472167969,2182.953079223633,419.5,329.5,583.25,1950.7451782226562,1167.595443725586,3214.913787841797,11.92243242263794,10.210265398025513,14.843736171722412,-197.8104705810547,-202.77244567871094,-196.40826416015625,195.81383514404297,194.50811386108398,200.75638961791992,227.2926254272461,227.09972763061523,227.61738204956055,195.81890869140625,194.46169662475586,200.78141021728516,0.310546875,0.251953125,0.37890625,0.1444525159631757,0.09331846535542107,0.20407321423992206,0.416015625,0.3525390625,0.4951171875,263150.0,223575.0,325925.0,0.43730470538139343,0.3835451751947403,0.5894498229026794,1.010189446343316,1.0093321228027343,1.011632809109158,1.0,1.0
tvc250,30,2151.284019450729,1502.9549070391326,2347.6064117780343,3132.8228149414062,2196.327880859375,3683.8615112304688,961.5,592.5,1000.0,3375.9759521484375,2483.2433166503906,3896.1469116210938,13.64397144317627,9.280018329620361,17.537991523742676,-222.8266830444336,-224.1675682067871,-216.94334030151367,221.13961791992188,215.11987686157227,222.35142517089844,252.0670166015625,251.51285552978516,252.2989387512207,221.09918212890625,215.16380310058594,222.3035774230957,0.287109375,0.224609375,0.3818359375,0.09841734568930147,0.07245675037183301,0.17641462826315518,0.400390625,0.3154296875,0.48046875,354900.0,271425.0,452250.0,0.36669132113456726,0.23540009558200836,0.5209158360958099,1.00826806640625,1.0060514221191406,1.0091957550048827,1.0,1.0
tvc275,30,2246.9265288007564,1858.07445645361,2636.966955866951,3629.2691650390625,3053.764617919922,3843.1784057617188,1000.0,1000.0,1000.0,3699.0281372070312,3178.1074829101562,3933.5738220214844,13.574150085449219,9.585186004638672,15.907826900482178,-239.67807006835938,-246.4187126159668,-233.05356216430664,237.59446716308594,231.1984977722168,244.7025260925293,276.5861053466797,275.95052337646484,276.9228820800781,237.5944061279297,231.1234130859375,244.83340454101562,0.236328125,0.0947265625,0.37890625,0.06737369698174173,0.020865922145861117,0.14983708264950252,0.34375,0.16796875,0.486328125,435400.0,318100.0,554700.0,0.2832720875740051,0.11831742525100708,0.4476109743118286,1.005767655806108,1.0034564486416904,1.0069922984730113,0.9666666666666667,0.9666666666666667
tvc300,30,2476.8107861345397,2142.4733671467175,2661.354979690642,3695.3660888671875,3427.1082763671875,3972.0704956054688,1000.0,1000.0,1000.0,3675.0816650390625,3429.7188720703125,4090.239959716797,15.281033515930176,11.488039255142212,17.991154193878174,-253.40084838867188,-263.39234161376953,-245.62831497192383,251.1880340576172,243.42260360717773,261.3104782104492,301.04148864746094,299.17396545410156,302.1150588989258,251.19782257080078,243.36811447143555,261.26371002197266,0.1875,0.0380859375,0.2392578125,0.044445664298902454,0.005544739364293774,0.07335958736152426,0.291015625,0.09375,0.33984375,475350.0,384775.0,722175.0,0.15183138847351074,0.05347663164138794,0.3486965596675873,1.0034716288248697,0.9972465515136718,1.0070501963297527,0.9666666666666667,1.0
tvc400,30,2418.2848342234893,2098.2418216741526,2917.1896148059423,4167.3270263671875,3866.9722595214844,4428.36962890625,1000.0,1000.0,1000.0,4179.09765625,3961.9511108398438,4426.20263671875,19.97212505340576,16.7527437210083,25.280599117279053,-290.6805725097656,-314.59667205810547,-263.0797882080078,287.78028869628906,260.54178619384766,311.5814971923828,381.87025451660156,345.47574615478516,398.62945556640625,287.7764892578125,260.5259094238281,311.5312042236328,0.0,0.0,0.029296875,1.1219099394809724e-05,0.0,0.0054743194814852805,0.0078125,0.0,0.0693359375,736600.0,608725.0,907125.0,0.0,0.0,0.03880396485328674,0.9546756362915039,0.8636893653869628,0.9965736389160156,0.3333333333333333,0.4666666666666667
tvc500,30,2222.0299708012203,1942.0871497876942,2656.158222821995,3900.1019287109375,3629.4255981445312,4215.17626953125,1000.0,1000.0,1000.0,3904.8441162109375,3693.1948852539062,4268.856140136719,17.114802360534668,13.921740770339966,20.559118270874023,-270.3958740234375,-308.2361526489258,-244.85272979736328,267.5304718017578,242.78324127197266,305.5450973510742,353.31614685058594,314.94698333740234,383.4817581176758,267.5852355957031,242.76168823242188,305.5778274536133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.7066322937011719,0.6298939666748047,0.7669635162353515,0.0,0.0
