version,model_label,n_seeds,nominal_retention_median,reliability_auc,delta_reliability_auc_vs_vanilla,delta_reliability_auc_vs_vanilla_ci95_low,delta_reliability_auc_vs_vanilla_ci95_high,cvar20,delta_cvar20_vs_vanilla,delta_cvar20_vs_vanilla_ci95_low,delta_cvar20_vs_vanilla_ci95_high,catastrophe_prob_t0p50,delta_catastrophe_prob_t0p50_vs_vanilla,delta_catastrophe_prob_t0p50_vs_vanilla_ci95_low,delta_catastrophe_prob_t0p50_vs_vanilla_ci95_high
Walker2d-v4,tvc100,30,0.5231171259813266,0.5072100972965384,-0.24999857198391717,-0.30715641104905655,-0.188523224052719,0.39687555820739473,-0.3300165388885312,-0.48281962423539343,-0.19588478593430983,0.5045238095238095,0.3019285714285714,0.19545972222222227,0.41018015873015873
Walker2d-v4,tvc150,30,0.5518133977200861,0.5018503896268788,-0.2553582796535768,-0.3083152790255328,-0.1992434372960708,0.36625150464867395,-0.360640592447252,-0.5112143784867414,-0.22784057576649105,0.47339682539682537,0.27080158730158727,0.1634277777777778,0.3771994047619047
Walker2d-v4,tvc200,30,0.7414909566501282,0.6478950026533605,-0.10931366662709507,-0.17287943168956368,-0.04423571435608178,0.47289089282316765,-0.2540012042727583,-0.40476991008644353,-0.11555242742226322,0.2675634920634921,0.06496825396825401,-0.005936706349206345,0.1450577380952381
Walker2d-v4,tvc225,30,0.8646722909519287,0.713627306272509,-0.04358136300794657,-0.1064413682682862,0.020256011188683552,0.5920028969292087,-0.13488920016671724,-0.30905813866746773,0.03646533043596215,0.21922222222222223,0.01662698412698413,-0.04024027777777783,0.07944464285714287
Walker2d-v4,tvc250,30,0.8356358777802307,0.7341059385137368,-0.02310273076671876,-0.08631345214684982,0.0429016079077885,0.7087137009463087,-0.01817839614961725,-0.2236150695877396,0.1902778981800112,0.20312698412698413,0.0005317460317460221,-0.05702499999999998,0.06377043650793657
Walker2d-v4,tvc275,30,0.8840948244969792,0.7228176564781748,-0.03439101280228085,-0.09661467414197945,0.028228124025115132,0.6493045730654806,-0.07758752403044533,-0.268581336484999,0.11159432810755342,0.2119603174603175,0.009365079365079382,-0.03835099206349204,0.05382539682539683
Walker2d-v4,tvc300,30,1.0705830682867061,0.7767083027341244,0.019499633453668785,-0.04020062700668636,0.07833889671034933,0.7323600132503095,0.005467916154383579,-0.18384660121845633,0.20090056402741321,0.18184920634920634,-0.020746031746031762,-0.06634980158730157,0.020715476190476197
Walker2d-v4,vanilla,30,1.0,0.7572086692804556,0.0,-0.06473316291112977,0.06389080878761799,0.726892097095926,0.0,-0.19910109256029065,0.20176720761318565,0.2025952380952381,0.0,-0.05109583333333335,0.051604563492063465
Walker2d-v5,tvc100,30,0.13290277128566969,0.12302496316251556,-0.5833712649238725,-0.6203213672323764,-0.5341122617221314,0.09213934887216767,-0.33456029061404835,-0.36293370453219925,-0.3018640430691981,1.0,0.7178174603174603,0.6569277777777779,0.7590962301587302
Walker2d-v5,tvc150,30,0.18042517827384358,0.15899856120066724,-0.5473976668857208,-0.5867800000335921,-0.49644652951130047,0.10186977991845299,-0.32482985956776306,-0.353984068468901,-0.29122746844144176,0.9983730158730159,0.7161904761904763,0.6566474206349207,0.7572380952380952
Walker2d-v5,tvc200,30,0.34729190328211634,0.28011258575631753,-0.4262836423300705,-0.47621946215792654,-0.36866857111633455,0.15225647234345238,-0.2744431671427636,-0.3059185416532709,-0.23902406172864651,0.8698333333333333,0.5876507936507938,0.49865793650793633,0.6650874999999999
Walker2d-v5,tvc225,30,0.4076357378765153,0.3570058888919945,-0.3493903391943935,-0.40722323914829633,-0.2848575910273862,0.19424751718723335,-0.23245212229898268,-0.2688337191197229,-0.1921235889756619,0.7193650793650793,0.4371825396825397,0.32367182539682526,0.5463672619047617
Walker2d-v5,tvc250,30,0.7631501902218493,0.5165970997444704,-0.1897991283419176,-0.2519896686670424,-0.12474427502323672,0.28335590137432426,-0.14334373811189177,-0.18279666496341315,-0.10058503218452082,0.4487142857142857,0.16653174603174603,0.06785714285714295,0.26770297619047617
Walker2d-v5,tvc275,30,0.8340189806598883,0.5708257019617495,-0.1355705261246385,-0.19937355457273936,-0.07019989771105355,0.32146727155074145,-0.10523236793547458,-0.14640645918778125,-0.0612962057131654,0.37604761904761896,0.09386507936507932,0.007538690476190498,0.18481845238095226
Walker2d-v5,tvc300,30,0.8747293617975751,0.6534423820957791,-0.05295384599060893,-0.09835458717007547,0.0012190948251789406,0.3732252952698481,-0.05347434421636793,-0.08708001584472512,-0.01626691545703737,0.27575396825396825,-0.006428571428571395,-0.0685246031746032,0.040667460317460324
Walker2d-v5,tvc400,30,1.022379688808284,0.7140582983295342,0.007662070243146135,-0.05675260021824067,0.07006209796068234,0.4390152276268574,0.012315588140641376,-0.03232285028920709,0.05781012973075072,0.27895238095238095,-0.0032301587301586943,-0.07932103174603174,0.07344861111111103
Walker2d-v5,tvc500,30,0.9614069330518209,0.6604454983632443,-0.045950729723143735,-0.11343985240963754,0.019122953046672747,0.3928792622097735,-0.03382037727644255,-0.08000081576955272,0.012515206991122059,0.3238333333333335,0.04165079365079383,-0.04165218253968255,0.12836646825396816
Walker2d-v5,vanilla,30,1.0,0.706396228086388,0.0,-0.06173490224645147,0.06084232354115815,0.42669963948621603,0.0,-0.04345947428281063,0.04453374439414588,0.28218253968253965,0.0,-0.07488293650793645,0.0751984126984126
