env,variant,seed,cap,robust/td3_q_target_clip_fraction,robust/td3_q_target_excess_mean,targets/min_q_next_p95_pre_clip,targets/min_q_next_p99_pre_clip,targets/min_q_next_max_pre_clip,targets/min_q_next_mean_pre_clip
Walker2d,q1000,1,1000.0,0.0,0.0,271.50407257080076,279.7082260131836,284.52259368896483,202.73070373535157
Walker2d,q1000,2,1000.0,0.0,0.0,311.8539245605469,319.3817886352539,324.9984985351563,231.13963928222657
Walker2d,q1000,3,1000.0,0.0,0.0,278.7373077392578,284.2199417114258,287.81444396972654,209.23859634399415
Walker2d,q1000,4,1000.0,0.0,0.0,181.80750122070313,190.98271865844725,197.20905303955078,144.93703842163086
Walker2d,q1000,5,1000.0,0.0,0.0,203.22631225585937,208.44936752319336,211.9387008666992,156.2066619873047
Walker2d,q1e9,1,,0.0,0.0,271.50407257080076,279.7082260131836,284.52259368896483,202.73070373535157
Walker2d,q1e9,2,,0.0,0.0,311.8539245605469,319.3817886352539,324.9984985351563,231.13963928222657
Walker2d,q1e9,3,,0.0,0.0,229.09499130249023,235.63578414916992,263.8072250366211,178.48895492553712
Walker2d,q1e9,4,,0.0,0.0,179.22969284057618,184.91552658081054,199.1755157470703,136.56989669799805
Walker2d,q1e9,5,,0.0,0.0,212.4511505126953,221.03964538574218,227.73726119995118,162.5858932495117
Walker2d,q250,1,250.0,0.0001953125,0.0030394136905670167,204.35514907836915,210.9280921936035,218.84943084716798,165.38352966308594
Walker2d,q250,2,250.0,0.077734375,0.10531042516231537,250.7764778137207,252.30036468505858,253.78070755004882,197.59082107543946
Walker2d,q250,3,250.0,0.0595703125,0.06115949749946594,250.19595489501953,251.56101989746094,252.9028450012207,188.4883590698242
Walker2d,q250,4,250.0,0.0,0.0,176.28949203491212,182.87397232055665,191.3782760620117,137.74421234130858
Walker2d,q250,5,250.0,0.0,0.0,214.26164703369142,222.47649536132812,226.17127380371093,161.4576156616211
Walker2d,q350,1,350.0,0.0,0.0,270.8855377197266,280.0682769775391,284.6187240600586,204.7119041442871
Walker2d,q350,2,350.0,0.0,0.0,312.7306076049805,318.97550201416016,324.9960479736328,230.43126525878907
Walker2d,q350,3,350.0,0.0,0.0,279.0816589355469,284.03470306396486,290.36739654541014,210.59219131469726
Walker2d,q350,4,350.0,0.0,0.0,187.88332901000976,192.23599548339843,203.44827423095703,141.87847061157225
Walker2d,q350,5,350.0,0.0,0.0,199.13027420043946,205.49601821899415,211.676358795166,147.34064331054688
Walker2d,q450,1,450.0,0.0,0.0,199.58869171142578,206.49492568969725,214.8354034423828,163.58194961547852
Walker2d,q450,2,450.0,0.0,0.0,219.0304084777832,228.33040542602538,232.90876235961915,171.8841796875
Walker2d,q450,3,450.0,0.0,0.0,278.7373077392578,284.2199417114258,287.81444396972654,209.23859634399415
Walker2d,q450,4,450.0,0.0,0.0,179.3655029296875,185.13749313354492,199.9902145385742,136.7837173461914
Walker2d,q450,5,450.0,0.0,0.0,212.4511505126953,221.03964538574218,227.73726119995118,162.5858932495117
Walker2d,q550,1,550.0,0.0,0.0,271.50407257080076,279.7082260131836,284.52259368896483,202.73070373535157
Walker2d,q550,2,550.0,0.0,0.0,311.8539245605469,319.3817886352539,324.9984985351563,231.13963928222657
Walker2d,q550,3,550.0,0.0001953125,0.008353281021118163,228.1890510559082,234.94699935913087,257.33619155883787,177.6844284057617
Walker2d,q550,4,550.0,0.0,0.0,181.80750122070313,190.98271865844725,197.20905303955078,144.93703842163086
Walker2d,q550,5,550.0,0.0,0.0,203.22631225585937,208.44936752319336,211.9387008666992,156.2066619873047
Walker2d,q650,1,650.0,0.0,0.0,271.50407257080076,279.7082260131836,284.52259368896483,202.73070373535157
Walker2d,q650,2,650.0,0.0,0.0,311.8539245605469,319.3817886352539,324.9984985351563,231.13963928222657
Walker2d,q650,3,650.0,0.0,0.0,278.7373077392578,284.2199417114258,287.81444396972654,209.23859634399415
Walker2d,q650,4,650.0,0.0,0.0,179.22969284057618,184.91552658081054,199.1755157470703,136.56989669799805
Walker2d,q650,5,650.0,0.0,0.0,212.4511505126953,221.03964538574218,227.73726119995118,162.5858932495117
Walker2d,q800,1,800.0,0.0,0.0,199.58869171142578,206.49492568969725,214.8354034423828,163.58194961547852
Walker2d,q800,2,800.0,0.0,0.0,219.0304084777832,228.33040542602538,232.90876235961915,171.8841796875
Walker2d,q800,3,800.0,0.0,0.0,229.09499130249023,235.63578414916992,263.8072250366211,178.48895492553712
Walker2d,q800,4,800.0,0.0,0.0,179.22969284057618,184.91552658081054,199.1755157470703,136.56989669799805
Walker2d,q800,5,800.0,0.0,0.0,212.4511505126953,221.03964538574218,227.73726119995118,162.5858932495117
Walker2d,vanilla,1,,,,271.50407257080076,279.7082260131836,284.52259368896483,202.73070373535157
Walker2d,vanilla,2,,,,311.8539245605469,319.3817886352539,324.9984985351563,231.13963928222657
Walker2d,vanilla,3,,,,278.7373077392578,284.2199417114258,287.81444396972654,209.23859634399415
Walker2d,vanilla,4,,,,181.80750122070313,190.98271865844725,197.20905303955078,144.93703842163086
Walker2d,vanilla,5,,,,212.4511505126953,221.03964538574218,227.73726119995118,162.5858932495117
HalfCheetah,q1000,1,1000.0,0.0,0.0,697.5611389160156,709.387646484375,717.4493774414062,620.2819366455078
HalfCheetah,q1000,2,1000.0,0.0,0.0,810.8726837158204,823.8163208007812,831.4512176513672,699.131689453125
HalfCheetah,q1000,3,1000.0,0.0,0.0,746.3299194335938,754.6744415283204,761.5825103759765,677.2765991210938
HalfCheetah,q1000,4,1000.0,0.0,0.0,786.6993011474609,796.2486297607422,802.881591796875,692.6126220703125
HalfCheetah,q1000,5,1000.0,0.0,0.0,772.4543518066406,782.8755981445313,790.7614532470703,693.5729888916015
HalfCheetah,q1e9,1,,0.0,0.0,631.5778289794922,639.6409545898438,644.783740234375,577.2321319580078
HalfCheetah,q1e9,2,,0.0,0.0,577.4388092041015,584.6395324707031,590.2853271484375,529.6668731689454
HalfCheetah,q1e9,3,,0.0,0.0,636.865933227539,646.0865051269532,651.6185791015625,584.5798034667969
HalfCheetah,q1e9,4,,0.0,0.0,786.6993011474609,796.2486297607422,802.881591796875,692.6126220703125
HalfCheetah,q1e9,5,,0.0,0.0,788.7941833496094,796.2152130126954,801.5090270996094,693.2304565429688
HalfCheetah,q250,1,250.0,0.638671875,0.5275771945714951,251.9982162475586,252.7148323059082,253.27924575805665,245.9815986633301
HalfCheetah,q250,2,250.0,0.68515625,0.606357479095459,252.2275863647461,253.30337219238282,253.95427932739258,248.25705490112304
HalfCheetah,q250,3,250.0,0.638671875,0.4931697160005569,251.97699508666992,252.84128189086914,253.6143684387207,247.87455215454102
HalfCheetah,q250,4,250.0,0.62109375,0.4335823833942413,251.90106277465821,252.79318084716797,253.6674919128418,247.7592758178711
HalfCheetah,q250,5,250.0,0.6529296875,0.5758380949497223,252.4439697265625,253.5395622253418,254.60278701782227,245.24469223022462
HalfCheetah,q350,1,350.0,0.5736328125,0.6037163019180298,352.085302734375,352.65893707275393,353.1332489013672,342.42562408447264
HalfCheetah,q350,2,350.0,0.6658203125,0.7813163995742798,352.50874481201174,353.3119552612305,353.98435668945314,344.40344696044923
HalfCheetah,q350,3,350.0,0.6294921875,0.6434324502944946,352.16124114990237,352.8395935058594,353.47740631103517,344.97565307617185
HalfCheetah,q350,4,350.0,0.61015625,0.6651261985301972,352.39136505126953,353.04194793701174,353.6261245727539,344.89929962158203
HalfCheetah,q350,5,350.0,0.6337890625,0.6829224765300751,352.49432067871095,353.18323669433596,353.6381240844727,340.27601470947263
HalfCheetah,q450,1,450.0,0.5619140625,0.661521053314209,452.2018188476562,452.8160125732422,453.31077575683594,438.5397415161133
HalfCheetah,q450,2,450.0,0.4189453125,0.5466347217559815,452.3806854248047,453.0586669921875,453.6122222900391,438.770458984375
HalfCheetah,q450,3,450.0,0.5171875,0.6459236025810242,452.36188354492185,453.0165740966797,453.66490173339844,438.95825653076173
HalfCheetah,q450,4,450.0,0.4666015625,0.6006170809268951,452.40931243896483,453.00592651367185,453.6225158691406,440.5442260742187
HalfCheetah,q450,5,450.0,0.5501953125,0.815028041601181,452.8434539794922,453.53082275390625,454.1477996826172,434.5197525024414
HalfCheetah,q550,1,550.0,0.084765625,0.1314316511154175,550.9836395263671,552.838916015625,554.3604095458984,515.6938415527344
HalfCheetah,q550,2,550.0,0.5291015625,0.7077981948852539,552.4634521484375,553.2631378173828,554.1568054199219,530.9021209716797
HalfCheetah,q550,3,550.0,0.4943359375,0.6527028799057006,552.593637084961,553.4351593017578,554.4856842041015,534.6900390625
HalfCheetah,q550,4,550.0,0.267578125,0.3432425260543823,552.0986022949219,552.9062408447265,553.9787689208985,527.9533203125
HalfCheetah,q550,5,550.0,0.5263671875,0.7324471354484559,552.7917907714843,553.4994293212891,554.2746948242187,531.7173156738281
HalfCheetah,q650,1,650.0,0.000390625,0.0006974577903747558,631.2082244873047,638.8250946044922,644.1409301757812,576.6128662109375
HalfCheetah,q650,2,650.0,0.0,0.0,577.4388092041015,584.6395324707031,590.2853271484375,529.6668731689454
HalfCheetah,q650,3,650.0,0.330859375,0.39286344051361083,652.1010803222656,652.8810882568359,653.7381164550782,620.8527069091797
HalfCheetah,q650,4,650.0,0.340625,0.5412780523300171,652.7016082763672,653.6300476074218,654.5628143310547,614.6082061767578
HalfCheetah,q650,5,650.0,0.3541015625,0.5876893162727356,652.8546661376953,653.7820678710938,654.6837707519531,609.9825592041016
HalfCheetah,q800,1,800.0,0.0,0.0,581.4916381835938,588.77314453125,593.6731781005859,527.9761016845703
HalfCheetah,q800,2,800.0,0.0,0.0,661.2509582519531,669.0024291992188,675.9505096435547,592.9820220947265
HalfCheetah,q800,3,800.0,0.0,0.0,636.865933227539,646.0865051269532,651.6185791015625,584.5798034667969
HalfCheetah,q800,4,800.0,0.0,0.0,630.5165069580078,639.8423431396484,646.495849609375,577.7777221679687
HalfCheetah,q800,5,800.0,0.0,0.0,734.9715301513672,742.9166107177734,748.8562469482422,665.787075805664
HalfCheetah,vanilla,1,,,,581.4916381835938,588.77314453125,593.6731781005859,527.9761016845703
HalfCheetah,vanilla,2,,,,783.4028411865235,790.1306030273438,795.1201934814453,699.836294555664
HalfCheetah,vanilla,3,,,,746.3299194335938,754.6744415283204,761.5825103759765,677.2765991210938
HalfCheetah,vanilla,4,,,,786.6993011474609,796.2486297607422,802.881591796875,692.6126220703125
HalfCheetah,vanilla,5,,,,772.4543518066406,782.8755981445313,790.7614532470703,693.5729888916015
