damping_scale,friction_scale,mass_scale,tv90_delta_mean_from_nominal,tv90_delta_median_from_nominal,tv90_drop_mean_from_nominal,tv90_drop_median_from_nominal,tv90_max_return,tv90_mean_return,tv90_median_return,tv90_min_return,tv90_nominal_mean_return,tv90_nominal_median_return,tv90_std_return,vanilla_delta_mean_from_nominal,vanilla_delta_median_from_nominal,vanilla_drop_mean_from_nominal,vanilla_drop_median_from_nominal,vanilla_max_return,vanilla_mean_return,vanilla_median_return,vanilla_min_return,vanilla_nominal_mean_return,vanilla_nominal_median_return,vanilla_std_return
0.8,0.6,1.3,-1529.2754180908203,-1495.257080078125,1529.2754180908203,1495.257080078125,2691.7353515625,1349.6973602294922,1220.1822509765625,392.3392639160156,2878.9727783203125,2715.4393310546875,741.2366097660131,-1318.9088500976563,-2407.8286743164062,1318.9088500976563,2407.8286743164062,9591.1865234375,2357.209436035156,1418.9183959960938,809.8233032226562,3676.1182861328125,3826.7470703125,2639.631639528795
0.6,0.6,1.1,-1705.0541888833045,-1953.58349609375,1705.0541888833045,1953.58349609375,4096.71435546875,1173.918589437008,761.8558349609375,1.9302486181259155,2878.9727783203125,2715.4393310546875,1202.7722983042363,-648.7311462402345,-2025.4846801757812,648.7311462402345,2025.4846801757812,13851.3779296875,3027.387139892578,1801.2623901367188,838.609130859375,3676.1182861328125,3826.7470703125,3906.288682729631
1.0,0.6,0.7,-1609.831118774414,-1931.569580078125,1609.831118774414,1931.569580078125,3787.969482421875,1269.1416595458984,783.8697509765625,339.460205078125,2878.9727783203125,2715.4393310546875,1126.0149166402068,-362.5710510253907,-2022.09765625,362.5710510253907,2022.09765625,9566.9453125,3313.547235107422,1804.6494140625,858.2894287109375,3676.1182861328125,3826.7470703125,3097.6951721531204
1.4,0.6,0.9,-2119.655154418945,-2085.0794067382812,2119.655154418945,2085.0794067382812,1516.802490234375,759.3176239013671,630.3599243164062,386.25323486328125,2878.9727783203125,2715.4393310546875,329.64532119533123,-1291.6492004394531,-1998.1455078125,1291.6492004394531,1998.1455078125,5343.60107421875,2384.4690856933594,1828.6015625,458.37420654296875,3676.1182861328125,3826.7470703125,1627.9117563509847
1.4,0.6,1.3,-1917.88837890625,-2006.753173828125,1917.88837890625,2006.753173828125,2490.27587890625,961.0843994140625,708.6861572265625,517.7066040039062,2878.9727783203125,2715.4393310546875,602.9717650341927,-1262.9887451171876,-1919.5068359375,1262.9887451171876,1919.5068359375,5697.0205078125,2413.129541015625,1907.240234375,957.8331298828125,3676.1182861328125,3826.7470703125,1630.7826322159758
1.2,0.6,0.9,-1951.157958984375,-1895.536376953125,1951.157958984375,1895.536376953125,1820.0399169921875,927.8148193359375,819.9029541015625,270.5677795410156,2878.9727783203125,2715.4393310546875,531.5429519588254,-610.3247680664062,-1883.2537231445312,610.3247680664062,1883.2537231445312,7629.02880859375,3065.7935180664062,1943.4933471679688,848.52392578125,3676.1182861328125,3826.7470703125,2499.352593455266
1.2,0.6,1.3,-2006.516131591797,-1885.22802734375,2006.516131591797,1885.22802734375,1343.2882080078125,872.4566467285156,830.2113037109375,384.953369140625,2878.9727783203125,2715.4393310546875,332.2583088778062,-1432.8708862304688,-1804.0409545898438,1432.8708862304688,1804.0409545898438,3707.9384765625,2243.2473999023437,2022.7061157226562,954.1340942382812,3676.1182861328125,3826.7470703125,904.0906326724407
0.8,0.6,0.9,-1266.2543365478516,-1341.8958435058594,1266.2543365478516,1341.8958435058594,4364.16748046875,1612.718441772461,1373.5434875488281,472.6509094238281,2878.9727783203125,2715.4393310546875,1236.9896841916436,45.14146728515607,-1716.96435546875,-45.14146728515607,1716.96435546875,10804.8408203125,3721.2597534179686,2109.78271484375,835.681884765625,3676.1182861328125,3826.7470703125,3438.040192789887
1.4,0.6,0.7,-1749.41572265625,-1983.4856872558594,1749.41572265625,1983.4856872558594,3595.833984375,1129.5570556640625,731.9536437988281,365.0413513183594,2878.9727783203125,2715.4393310546875,1014.1625210382343,-947.4432739257813,-1688.8524780273438,947.4432739257813,1688.8524780273438,6303.05615234375,2728.675012207031,2137.8945922851562,942.2855224609375,3676.1182861328125,3826.7470703125,1772.7515710697674
0.6,0.8,1.3,-1326.506787109375,-1478.21923828125,1326.506787109375,1478.21923828125,3494.5439453125,1552.4659912109375,1237.2200927734375,570.97216796875,2878.9727783203125,2715.4393310546875,868.0163302997344,2288.210827636719,-1637.8973388671875,-2288.210827636719,1637.8973388671875,23292.357421875,5964.329113769531,2188.8497314453125,1558.23291015625,3676.1182861328125,3826.7470703125,6996.443512929482
