run_name,exp_name,seed,tv_fixed_cap,max_step,auc,auc_norm,final_return
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap2500__1__1771808919,ppo_cont_tv_cap_sweep200k_cap2500,1,2500.0,198527.0,66554254.572684884,335.24031780405124,403.92303466796875
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap2000__2__1771808919,ppo_cont_tv_cap_sweep200k_cap2000,2,2000.0,198501.0,64626097.86820538,325.5706412975521,361.91973876953125
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap4000__2__1771808920,ppo_cont_tv_cap_sweep200k_cap4000,2,4000.0,198198.0,116624971.01516148,588.4265785485296,293.9005432128906
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap4000__3__1771808920,ppo_cont_tv_cap_sweep200k_cap4000,3,4000.0,198337.0,89445765.23202182,450.9787141684195,714.7598266601562
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap4000__5__1771808920,ppo_cont_tv_cap_sweep200k_cap4000,5,4000.0,198591.0,91774029.18342423,462.1258223354746,631.7275390625
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap4000__4__1771808920,ppo_cont_tv_cap_sweep200k_cap4000,4,4000.0,198588.0,68980946.54869851,347.35707368369947,524.32861328125
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap3500__4__1771808919,ppo_cont_tv_cap_sweep200k_cap3500,4,3500.0,198588.0,68980946.54869851,347.35707368369947,524.32861328125
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap3500__5__1771808919,ppo_cont_tv_cap_sweep200k_cap3500,5,3500.0,198591.0,91774029.18342423,462.1258223354746,631.7275390625
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap3500__1__1771808919,ppo_cont_tv_cap_sweep200k_cap3500,1,3500.0,198481.0,70995249.4166731,357.69292484758284,487.3292236328125
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap3000__4__1771808919,ppo_cont_tv_cap_sweep200k_cap3000,4,3000.0,198588.0,68980946.54869851,347.35707368369947,524.32861328125
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap2500__3__1771808920,ppo_cont_tv_cap_sweep200k_cap2500,3,2500.0,198590.0,70748460.5670022,356.2538927791037,514.1258544921875
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap3500__3__1771808919,ppo_cont_tv_cap_sweep200k_cap3500,3,3500.0,198337.0,89445765.23202182,450.9787141684195,714.7598266601562
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap2000__1__1771808919,ppo_cont_tv_cap_sweep200k_cap2000,1,2000.0,198645.0,75323173.50448906,379.18484484627885,629.4937133789062
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap3000__1__1771808919,ppo_cont_tv_cap_sweep200k_cap3000,1,3000.0,198527.0,66554254.572684884,335.24031780405124,403.92303466796875
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap3000__5__1771808919,ppo_cont_tv_cap_sweep200k_cap3000,5,3000.0,198591.0,91774029.18342423,462.1258223354746,631.7275390625
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap4000__1__1771808919,ppo_cont_tv_cap_sweep200k_cap4000,1,4000.0,198481.0,70995249.4166731,357.69292484758284,487.3292236328125
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap2500__2__1771808919,ppo_cont_tv_cap_sweep200k_cap2500,2,2500.0,198501.0,64626097.86820538,325.5706412975521,361.91973876953125
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap3500__2__1771808919,ppo_cont_tv_cap_sweep200k_cap3500,2,3500.0,198198.0,116624971.01516148,588.4265785485296,293.9005432128906
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap3000__2__1771808921,ppo_cont_tv_cap_sweep200k_cap3000,2,3000.0,198198.0,116624971.01516148,588.4265785485296,293.9005432128906
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap3000__3__1771808921,ppo_cont_tv_cap_sweep200k_cap3000,3,3000.0,198337.0,89445765.23202182,450.9787141684195,714.7598266601562
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap2000__5__1771808919,ppo_cont_tv_cap_sweep200k_cap2000,5,2000.0,198418.0,106395314.34472941,536.2180565509652,1493.074951171875
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap2500__5__1771808921,ppo_cont_tv_cap_sweep200k_cap2500,5,2500.0,198418.0,106395314.34472941,536.2180565509652,1493.074951171875
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap2500__4__1771808922,ppo_cont_tv_cap_sweep200k_cap2500,4,2500.0,198562.0,79430464.28810072,400.028526546372,277.6993713378906
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap2000__4__1771808922,ppo_cont_tv_cap_sweep200k_cap2000,4,2000.0,198416.0,69781460.87214616,351.69271062891175,542.1270751953125
Walker2d-v4__ppo_cont_tv_cap_sweep200k_cap2000__3__1771808922,ppo_cont_tv_cap_sweep200k_cap2000,3,2000.0,198590.0,70748460.5670022,356.2538927791037,514.1258544921875
